GEO_ID,C01001F_001E,C01001F_001M,C01001F_002E,C01001F_002M,C01001F_003E,C01001F_003M,C01001F_004E,C01001F_004M,C01001F_005E,C01001F_005M,C01001F_006E,C01001F_006M,C01001F_007E,C01001F_007M,C01001F_008E,C01001F_008M,C01001F_009E,C01001F_009M,NAME,C01001F_001EA,C01001F_001MA,C01001F_002EA,C01001F_002MA,C01001F_003MA,C01001F_003EA,C01001F_004MA,C01001F_004EA,C01001F_005EA,C01001F_005MA,C01001F_006EA,C01001F_006MA,C01001F_007EA,C01001F_007MA,C01001F_008EA,C01001F_008MA,C01001F_009EA,C01001F_009MA,state
0400000US08,196831,13409,103190,8220,26324,4531,70498,5726,6368,1120,93641,7101,23134,3190,62983,5466,7524,1321,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,162303,10635,84366,6506,27013,2936,53598,4322,3755,949,77937,5142,26165,2655,48896,3260,2876,833,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,51887,6124,30005,3775,10775,2560,18484,2380,746,524,21882,3452,10516,2355,10679,1810,687,535,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,65366,7711,36292,4644,11946,2603,23414,3090,932,457,29074,3954,10123,1996,16928,2722,2023,786,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,712778,25545,364258,14933,107544,7013,238618,9274,18096,2003,348520,13554,104557,6911,222553,8790,21410,2097,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,30713,5286,16434,2821,3942,1366,11975,1997,517,304,14279,2876,4094,1388,9922,1978,263,184,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,9013,2733,4984,1713,1380,836,3284,1128,320,247,4029,1402,1276,784,2297,753,456,347,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,84917,6739,42344,4500,13138,2350,28118,2889,1088,451,42573,3482,16018,1929,25876,2488,679,399,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,19652,4198,9577,2374,3155,1168,6128,1553,294,302,10075,2231,3729,1414,5768,1504,578,287,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,102814,7851,53410,4850,16213,2410,35906,3184,1291,537,49404,4171,18238,2408,29626,2605,1540,625,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,5828,1858,3120,1302,699,539,2184,908,237,225,2708,816,820,561,1641,666,247,170,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,3264,1154,1813,680,340,227,1426,632,47,80,1451,733,611,484,821,384,19,31,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,326630,16675,164245,9229,62260,5435,98313,6014,3672,1349,162385,9594,59992,5324,97228,5891,5165,1444,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,301148,17722,158691,10824,53180,5315,100023,7195,5488,1442,142457,9475,52849,5135,84954,6131,4654,1410,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,9780,2618,5617,1690,741,592,4463,1311,413,257,4163,1227,708,450,3132,994,323,272,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,84027,7439,44988,4513,19059,2686,25428,2918,501,391,39039,4295,16747,2593,21037,2299,1255,598,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,2815,938,1097,512,352,280,657,335,88,76,1718,656,441,209,1196,615,81,87,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,358786,16689,181169,8649,53524,4248,120724,6025,6921,1467,177617,9603,54378,4957,113626,6047,9613,1578,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,6430,2273,3316,1316,1611,885,1681,700,24,42,3114,1222,917,511,1949,877,248,254,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,110013,8511,58503,4726,18215,2318,38213,3420,2075,585,51510,4492,18371,2227,30541,2920,2598,567,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,121475,8843,65326,5215,20281,2770,42854,3269,2191,762,56149,4636,20130,2680,33490,2397,2529,865,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,551773,17132,263291,8498,55083,3721,162304,6046,45904,2995,288482,10370,56872,3812,176172,6784,55438,4061,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,215743,13057,113243,7490,36385,3757,73739,4991,3119,753,102500,7177,31831,3930,67100,4595,3569,950,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,9569,2523,5485,1889,1879,997,3417,1186,189,221,4084,1279,674,414,3273,1196,137,134,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,92980,8350,48056,5173,16309,2683,30014,3423,1733,658,44924,4582,16632,2867,26254,2816,2038,681,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,137973,11792,75162,6505,23055,3031,49045,4604,3062,1134,62811,6698,19124,3173,40922,4297,2765,947,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,8798,2427,4248,1267,1713,776,2197,935,338,377,4550,1590,1208,675,3153,1147,189,147,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,5453229,70977,2789095,38530,772009,15814,1852563,26506,164523,5520,2664134,38993,735125,18513,1723281,23772,205728,6230,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,29778,4251,17726,2899,6748,1829,10680,1980,298,243,12052,2004,3950,1021,7877,1583,225,189,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,195208,12191,100635,6111,27032,3116,67958,4396,5645,1165,94573,7443,28396,3283,58996,4390,7181,1256,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
