GEO_ID,C21001G_001E,C21001G_001M,C21001G_002E,C21001G_002M,C21001G_003E,C21001G_003M,C21001G_004E,C21001G_004M,C21001G_005E,C21001G_005M,C21001G_006E,C21001G_006M,C21001G_007E,C21001G_007M,C21001G_008E,C21001G_008M,C21001G_009E,C21001G_009M,C21001G_010E,C21001G_010M,C21001G_011E,C21001G_011M,C21001G_012E,C21001G_012M,C21001G_013E,C21001G_013M,C21001G_014E,C21001G_014M,C21001G_015E,C21001G_015M,NAME,C21001G_001EA,C21001G_001MA,C21001G_002EA,C21001G_002MA,C21001G_003MA,C21001G_003EA,C21001G_004MA,C21001G_004EA,C21001G_005MA,C21001G_005EA,C21001G_006MA,C21001G_006EA,C21001G_007MA,C21001G_007EA,C21001G_008MA,C21001G_008EA,C21001G_009MA,C21001G_009EA,C21001G_010MA,C21001G_010EA,C21001G_011EA,C21001G_011MA,C21001G_012EA,C21001G_012MA,C21001G_013MA,C21001G_013EA,C21001G_014MA,C21001G_014EA,C21001G_015MA,C21001G_015EA,state
0400000US08,124509,6868,60398,4867,56505,4768,5368,1143,51137,4772,3893,795,1409,440,2484,723,64111,4218,58893,3921,1296,614,57597,3830,5218,1121,225,190,4993,1082,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,88501,5756,42596,3673,40583,3579,3166,1075,37417,3509,2013,703,1087,491,926,430,45905,3689,42106,3578,392,228,41714,3558,3799,924,103,125,3696,908,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,50004,4912,23078,3383,20602,3106,1765,739,18837,2927,2476,975,731,433,1745,909,26926,3288,24626,3056,351,329,24275,3081,2300,779,0,197,2300,779,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,50665,4373,24631,2864,22252,2784,1641,657,20611,2644,2379,824,621,297,1758,781,26034,3132,22666,2889,352,267,22314,2823,3368,930,0,217,3368,930,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,175268,8571,84546,5135,77654,5094,5247,1222,72407,4902,6892,1079,2579,823,4313,924,90722,5076,82302,4752,894,370,81408,4783,8420,1309,20,38,8400,1307,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,30545,3133,14623,2199,13950,2214,1413,797,12537,1946,673,328,417,277,256,202,15922,1882,14606,1724,477,381,14129,1685,1316,485,61,87,1255,500,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,16943,2382,9186,1721,8408,1621,430,356,7978,1623,778,388,535,325,243,225,7757,1594,6725,1468,137,166,6588,1443,1032,574,0,192,1032,574,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,45271,3617,22956,2582,20694,2361,2099,764,18595,2267,2262,713,709,393,1553,549,22315,2089,19320,1898,773,607,18547,1741,2995,780,34,54,2961,777,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,13924,2193,7314,1522,6961,1511,1289,727,5672,1356,353,232,92,125,261,196,6610,1399,6063,1345,76,128,5987,1353,547,354,0,200,547,354,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,83534,5264,41534,3859,39339,3780,2435,705,36904,3656,2195,603,630,365,1565,474,42000,3427,38837,3480,420,302,38417,3457,3163,709,47,83,3116,715,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,19528,2129,10252,1675,9125,1636,926,397,8199,1620,1127,436,398,186,729,381,9276,1383,7637,1352,0,172,7637,1352,1639,557,0,172,1639,557,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,18574,1822,8387,1267,7642,1241,725,342,6917,1222,745,333,350,239,395,225,10187,1546,9004,1454,415,430,8589,1372,1183,529,0,170,1183,529,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,149872,8962,72405,5556,65322,5299,7201,1459,58121,5222,7083,1437,2963,840,4120,975,77467,5411,71036,5210,2143,857,68893,5121,6431,1142,218,229,6213,1151,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,148490,9114,71940,6051,66152,5966,5788,1416,60364,5678,5788,1432,1827,791,3961,1371,76550,6085,69559,5696,2058,812,67501,5599,6991,1406,424,448,6567,1375,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,32832,3453,17121,2073,16065,2013,2411,1070,13654,2085,1056,406,685,393,371,214,15711,2133,14431,1809,249,212,14182,1764,1280,737,76,98,1204,704,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,56791,4649,26573,2908,23493,2770,2574,936,20919,2609,3080,757,1230,540,1850,644,30218,3218,25839,2962,448,329,25391,2985,4379,1038,69,97,4310,1039,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
