B08406_025E,B08406_025M,B08406_049E,B08406_026E,B08406_049M,B08406_026M,B08406_050E,B08406_050M,B08406_027E,B08406_051E,B08406_051M,B08406_027M,B08406_028E,B08406_028M,B08406_029E,B08406_029M,B08406_030E,B08406_030M,B08406_031E,B08406_031M,B08406_032E,B08406_032M,B08406_033E,B08406_033M,B08406_034E,B08406_034M,B08406_035E,B08406_035M,B08406_036E,B08406_036M,B08406_037E,B08406_037M,B08406_038E,B08406_038M,B08406_039E,B08406_039M,B08406_040E,B08406_040M,B08406_041E,B08406_041M,B08406_042E,B08406_042M,B08406_043E,B08406_043M,B08406_044E,B08406_044M,B08406_045E,B08406_045M,B08406_046E,B08406_046M,B08406_047E,B08406_047M,B08406_048E,B08406_048M,GEO_ID,B08406_001E,B08406_001M,B08406_002E,B08406_002M,B08406_003E,B08406_003M,B08406_004E,B08406_004M,B08406_005E,B08406_005M,B08406_006E,B08406_006M,B08406_007E,B08406_007M,B08406_008E,B08406_008M,B08406_009E,B08406_009M,B08406_010E,B08406_010M,B08406_011E,B08406_011M,B08406_012E,B08406_012M,B08406_013E,B08406_013M,B08406_014E,B08406_014M,B08406_015E,B08406_015M,B08406_016E,B08406_016M,B08406_017E,B08406_017M,B08406_018E,B08406_018M,B08406_019E,B08406_019M,B08406_020E,B08406_020M,B08406_021E,B08406_021M,B08406_022E,B08406_022M,B08406_023E,B08406_023M,B08406_024E,B08406_024M,B08406_025MA,B08406_025EA,B08406_049MA,B08406_049EA,B08406_026EA,B08406_026MA,B08406_050EA,B08406_050MA,B08406_027EA,B08406_027MA,B08406_051EA,B08406_051MA,B08406_028MA,B08406_028EA,B08406_029MA,B08406_029EA,B08406_030EA,B08406_030MA,B08406_031EA,B08406_031MA,B08406_032EA,B08406_032MA,B08406_033MA,B08406_033EA,B08406_034MA,B08406_034EA,B08406_035EA,B08406_035MA,B08406_036MA,B08406_036EA,B08406_037EA,B08406_037MA,B08406_038MA,B08406_038EA,B08406_039MA,B08406_039EA,B08406_040EA,B08406_040MA,B08406_041EA,B08406_041MA,B08406_042EA,B08406_042MA,B08406_043MA,B08406_043EA,B08406_044MA,B08406_044EA,B08406_045EA,B08406_045MA,B08406_046EA,B08406_046MA,B08406_047MA,B08406_047EA,B08406_048MA,B08406_048EA,NAME,B08406_001MA,B08406_001EA,B08406_002MA,B08406_002EA,B08406_003MA,B08406_003EA,B08406_004EA,B08406_004MA,B08406_005MA,B08406_005EA,B08406_006MA,B08406_006EA,B08406_007MA,B08406_007EA,B08406_008EA,B08406_008MA,B08406_009EA,B08406_009MA,B08406_010MA,B08406_010EA,B08406_011MA,B08406_011EA,B08406_012MA,B08406_012EA,B08406_013MA,B08406_013EA,B08406_014MA,B08406_014EA,B08406_015EA,B08406_015MA,B08406_016EA,B08406_016MA,B08406_017EA,B08406_017MA,B08406_018MA,B08406_018EA,B08406_019MA,B08406_019EA,B08406_020EA,B08406_020MA,B08406_021EA,B08406_021MA,B08406_022EA,B08406_022MA,B08406_023MA,B08406_023EA,B08406_024MA,B08406_024EA,state
46276,3651,39917,31564,3671,3153,10617,1757,2046,129459,4919,775,7493,1424,5133,1266,40,64,24292,2561,47982,3850,18559,2154,124061,6273,1362912,12686,1136253,12440,1022389,13319,113864,5278,87223,4562,18167,2803,8474,1548,35217,3092,27490,2989,868,656,4470,914,2389,910,0,198,11449,1819,0400000US08,2957533,19044,2469704,19397,2217788,20053,251916,10548,193001,8486,38900,4570,20015,2633,81493,5074,59054,4823,2914,1056,11963,1594,7522,1674,40,64,35741,3059,87899,5439,29176,2734,253520,8712,1594621,12256,1333451,13544,1195399,13414,138052,7272,105778,5948,20733,3178,11541,2028,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
11773,1947,29029,10557,2886,1836,14013,2138,268,65047,3753,398,181,246,319,355,448,314,8092,1628,33030,2894,22123,2753,57238,4492,1479558,12784,1356678,13007,1221495,12826,135183,5693,105307,5440,18045,2208,11831,1865,11319,1810,10817,1820,176,185,117,141,83,151,126,168,3472,981,0400000US18,3110716,18136,2855580,18616,2575963,19050,279617,9259,217121,8669,34470,3310,28026,3188,23092,2619,21374,2589,444,435,298,264,402,382,574,358,11564,1970,62059,3615,36136,3738,122285,5492,1631158,12139,1498902,12436,1354468,12605,144434,6532,111814,5553,16425,2226,16195,2411,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
8775,1819,14245,8501,1989,1784,8262,1454,39,40444,2740,66,180,291,46,73,9,17,1914,645,24183,3018,11824,1781,39320,2728,930599,11813,857039,11886,763270,12382,93769,4483,74337,4171,11765,1720,7667,1428,9921,1702,9802,1712,119,150,0,198,0,198,0,198,688,315,0400000US21,1980353,16709,1820777,17639,1633433,18870,187344,8488,149197,7309,21708,2620,16439,2607,18696,2570,18303,2556,158,186,180,291,46,73,9,17,2602,753,38428,3298,20086,2407,79764,4166,1049754,9896,963738,10198,870163,10902,93575,5522,74860,4691,9943,1960,8772,1767,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
10630,2013,18128,8919,2426,1862,9135,1936,1026,35662,3601,463,250,267,0,198,435,498,7096,1407,17559,3196,18489,2970,31270,3591,969467,13370,889917,13420,802158,13607,87759,6426,65429,5551,13697,2256,8633,2088,13031,2239,12275,2190,512,284,244,219,0,198,0,198,3594,990,0400000US22,2002142,18569,1837548,17729,1656149,17739,181399,8891,133935,7458,27091,3133,20373,3460,23661,2959,21194,2811,1538,566,494,367,0,198,435,498,10690,1745,35687,4203,27624,3936,66932,4870,1032675,11461,947631,11159,853991,10757,93640,5802,68506,4804,13394,2029,11740,2142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
292613,8681,79138,99977,4198,6172,32574,2785,1151,157591,5977,713,105843,4324,85336,4617,306,285,27982,3072,91248,4980,38977,2967,161002,6119,2919314,15911,2344023,17428,2099920,15628,244103,8601,185888,7482,35510,3057,22705,2421,295001,9294,123608,6592,1359,637,103362,5181,66318,4472,354,507,10987,1970,0400000US17,6175357,24033,4988244,26951,4480777,24809,507467,14824,392952,13202,69820,4994,44695,3591,587614,14545,223585,10284,2510,825,209205,7403,151654,6965,660,575,38969,3581,170386,6859,71551,4072,318593,9126,3256043,15876,2644221,17635,2380857,17644,263364,8908,207064,8167,34310,3299,21990,2380,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
9244,1690,21340,8881,1981,1650,4602,1055,182,40373,2954,161,0,198,0,198,181,201,4213,936,25492,2407,7688,1402,40933,3223,752320,8474,677042,8706,613867,8138,63175,3342,47370,2952,10077,1369,5728,1186,6876,1436,6766,1446,31,52,71,95,0,198,8,13,2087,893,0400000US19,1584558,11154,1421710,11989,1292215,12295,129495,5754,100426,4958,17049,1699,12020,1798,16120,2446,15647,2416,213,183,71,95,0,198,189,201,6300,1270,46832,3310,12290,1732,81306,3953,832238,7140,744668,7437,678348,7881,66320,3784,53056,3338,6972,1072,6292,1227,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2169,1062,8250,1985,1396,1092,2718,923,0,24129,2225,198,184,219,0,198,0,198,1304,591,10074,1872,4724,1228,24857,2295,331613,6326,294555,6866,267268,6597,27287,3011,19941,2515,4105,1509,3241,1003,1533,804,1462,792,0,198,71,120,0,198,0,198,428,330,0400000US33,678998,8606,598812,8765,544813,8403,53999,4733,40790,3934,6912,1830,6297,1619,3702,1320,3447,1328,0,198,255,247,0,198,0,198,1732,695,18324,2502,7442,1539,48986,3627,347385,5527,304257,5488,277545,5327,26712,2819,20849,2411,2807,937,3056,1061,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
1880,735,6736,1880,1192,735,5353,1931,0,22814,2540,198,0,198,0,198,0,198,1701,714,12849,2034,9032,1675,25952,3231,615857,8043,577637,8639,513481,7930,64156,4692,47138,3925,11023,1860,5995,1310,2740,1198,2429,1094,0,198,212,265,0,198,99,161,577,318,0400000US05,1296811,13164,1207177,14045,1072570,13291,134607,6887,101736,6382,18732,2378,14139,2198,4620,1307,4309,1213,0,198,212,265,0,198,99,161,2278,805,19585,2462,14385,2610,48766,4552,680954,9685,629540,9862,559089,9497,70451,4568,54598,4277,7709,1447,8144,1751,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
3708,1028,5194,3086,1098,945,2054,834,80,11513,1612,137,0,198,542,365,0,198,886,541,4651,1096,1284,574,14226,1941,217514,6548,194297,6599,173665,6123,20632,2552,15699,2264,3266,936,1667,736,3928,1062,3434,1034,0,198,46,78,448,292,0,198,528,395,0400000US10,445816,9167,397844,8945,358429,8760,39415,4133,30122,3610,5183,1392,4110,1631,7636,1401,6520,1350,80,137,46,78,990,508,0,198,1414,667,9845,1501,3338,975,25739,2523,228302,5714,203547,5758,184764,5986,18783,2504,14423,2222,1917,745,2443,1170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
48222,3931,38679,42717,2824,3852,9670,1496,690,93910,3391,335,2774,980,1825,587,216,164,12383,1526,41584,3187,16757,1661,83795,3634,1413849,9488,1209992,10546,1090253,10424,119739,4731,90759,3799,17049,2111,11931,1620,55246,3355,50101,3290,895,488,2085,790,2048,792,117,110,6352,1041,0400000US27,2939577,12818,2532979,13556,2287243,14490,245736,7117,185975,6507,34027,3088,25734,2891,103468,5425,92818,5247,1585,582,4859,1324,3873,1029,333,210,18735,2097,80263,4302,26427,2220,177705,5568,1525728,9341,1322987,8949,1196990,9803,125997,4612,95216,4296,16978,1963,13803,1722,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
