GEO_ID,B14007_001E,B14007_001M,B14007_002E,B14007_002M,B14007_003E,B14007_003M,B14007_004E,B14007_004M,B14007_005E,B14007_005M,B14007_006E,B14007_006M,B14007_007E,B14007_007M,B14007_008E,B14007_008M,B14007_009E,B14007_009M,B14007_010E,B14007_010M,B14007_011E,B14007_011M,B14007_012E,B14007_012M,B14007_013E,B14007_013M,B14007_014E,B14007_014M,B14007_015E,B14007_015M,B14007_016E,B14007_016M,B14007_017E,B14007_017M,B14007_018E,B14007_018M,B14007_019E,B14007_019M,NAME,B14007_001MA,B14007_001EA,B14007_002MA,B14007_002EA,B14007_003MA,B14007_003EA,B14007_004MA,B14007_004EA,B14007_005EA,B14007_005MA,B14007_006MA,B14007_006EA,B14007_007MA,B14007_007EA,B14007_008MA,B14007_008EA,B14007_009MA,B14007_009EA,B14007_010EA,B14007_010MA,B14007_011EA,B14007_011MA,B14007_012EA,B14007_012MA,B14007_013EA,B14007_013MA,B14007_014EA,B14007_014MA,B14007_015EA,B14007_015MA,B14007_016MA,B14007_016EA,B14007_017EA,B14007_017MA,B14007_018EA,B14007_018MA,B14007_019EA,B14007_019MA,state
0400000US08,5502126,5505,1404986,12912,94179,4353,67900,4247,66628,3840,69244,4461,71735,4616,72396,3700,71697,3863,74154,3652,71570,3783,71508,3907,73715,3978,72349,3729,74438,4231,73662,4480,297300,8862,82511,5157,4097140,12919,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6443607,5414,1657592,12074,98329,4588,84405,4928,81331,5414,85923,4677,91726,5438,83810,4842,91036,4528,87784,4647,90924,5694,89421,4348,92070,4355,89814,4003,85194,4518,94284,5138,339022,7770,72519,5055,4786015,12109,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4301941,4618,1049367,9640,65166,3548,51800,3401,51754,3543,58031,3648,55057,4118,59422,3589,58068,3807,55434,3923,55068,3596,61256,3896,55674,3905,57132,3389,53142,3097,55445,3818,207557,6979,49361,4171,3252574,10098,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4478976,5261,1149802,12719,78277,4477,56326,4782,63652,4974,61359,4909,61263,4334,56287,4825,65482,4657,62447,4874,60974,4578,65463,5118,65716,4867,56724,3359,63027,4834,61269,4146,222235,9155,49301,3815,3329174,11973,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12291165,6715,3173587,15570,216968,7299,149310,6761,144122,6492,146459,4907,153895,6352,163560,6242,162810,6644,167847,5065,164701,5829,162617,6010,170754,5701,165204,4922,167563,5694,185045,5979,655832,11937,196900,9223,9117578,13753,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3039855,3255,791595,7666,52320,3075,41666,2748,35777,2516,40265,2950,39473,2241,39337,3002,46010,2938,43246,2308,42379,2720,40687,2479,40664,2585,41247,2406,39783,2405,42632,2719,170707,6587,35402,2970,2248260,7862,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1319426,1877,303448,4169,18907,2026,12692,1995,14809,2034,14582,1685,12453,1863,13561,1726,15650,1903,15199,1663,15827,1789,16169,1877,14722,1811,18073,1947,15235,1745,18350,1884,70678,2945,16541,2115,1015978,4033,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2901703,4037,723650,7753,47591,3722,36776,2922,34503,3288,39310,3246,42101,3444,38697,3253,45035,3743,39753,3550,37465,2966,38300,3156,38053,2897,37720,2645,40188,3025,39484,3197,139935,6071,28739,3056,2178053,7818,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,937066,2146,223499,3992,13363,1842,9538,1733,11213,1760,10313,1639,11401,1772,11522,1706,12895,2001,11551,1861,12897,2297,13423,1995,10516,1914,11241,1433,12449,1485,11666,1595,49835,3329,9676,1625,713567,3948,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5395964,4336,1403727,10509,100494,3697,68759,2831,70295,3510,71830,3671,69545,2699,74186,3554,71553,3492,73427,3443,71180,3159,76740,3790,72990,3567,73677,3106,67537,3025,79034,3684,288024,7566,74456,4210,3992237,10455,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,1028186,2056,238739,4905,16214,1754,12878,1882,11126,1393,10082,1298,12971,1513,14864,1686,13948,1587,13503,1692,13909,1701,12639,1562,12472,1599,12341,1304,11741,1320,11781,1366,47339,3435,10931,1699,789447,5004,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1298513,1782,270425,5096,16685,2275,11246,1605,13296,1812,11927,1523,13914,1621,12988,1637,12646,1628,15212,1742,17014,1937,14531,1890,14628,1872,11957,1637,14548,1796,16975,2012,59156,3248,13702,1706,1028088,5048,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
