GEO_ID,B27023_001E,B27023_001M,B27023_002E,B27023_002M,B27023_003E,B27023_003M,B27023_004E,B27023_004M,B27023_005E,B27023_005M,B27023_006E,B27023_006M,B27023_007E,B27023_007M,B27023_008E,B27023_008M,B27023_009E,B27023_009M,B27023_010E,B27023_010M,B27023_011E,B27023_011M,B27023_012E,B27023_012M,B27023_013E,B27023_013M,B27023_014E,B27023_014M,B27023_015E,B27023_015M,NAME,B27023_001MA,B27023_001EA,B27023_002MA,B27023_002EA,B27023_003MA,B27023_003EA,B27023_004MA,B27023_004EA,B27023_005MA,B27023_005EA,B27023_006MA,B27023_006EA,B27023_007MA,B27023_007EA,B27023_008MA,B27023_008EA,B27023_009MA,B27023_009EA,B27023_010MA,B27023_010EA,B27023_011MA,B27023_011EA,B27023_012MA,B27023_012EA,B27023_013EA,B27023_013MA,B27023_014MA,B27023_014EA,B27023_015MA,B27023_015EA,state
0400000US08,522391,7413,265288,5735,88251,5032,72070,4404,16181,2221,177037,6928,121533,5712,55504,4648,257103,4280,106952,5256,85707,5358,21245,2978,150151,5402,103302,4293,46849,3594,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,642413,8812,327421,6483,122830,5140,104958,4644,17872,3087,204591,7024,146610,5892,57981,4820,314992,5403,136412,4931,113964,4590,22448,2319,178580,6612,117064,5812,61516,3986,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,414331,6592,208890,4722,70199,3930,56490,3859,13709,1801,138691,5449,89887,5131,48804,3819,205441,4981,83848,4262,67320,3744,16528,2234,121593,5214,69925,4308,51668,3645,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,421043,6947,207993,5607,70983,4272,53968,4246,17015,2469,137010,6055,77042,5038,59968,5412,213050,4356,91205,5078,66274,4746,24931,2803,121845,5116,59435,4764,62410,4662,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1156647,9928,581862,6383,235783,6583,195467,6571,40316,3331,346079,8457,240280,7943,105799,5894,574785,6842,256892,5985,204510,5834,52382,4093,317893,7762,201698,6496,116195,5137,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,301481,5169,152836,3935,61400,3562,52618,3477,8782,1901,91436,4344,66877,3798,24559,2702,148645,3478,69020,3623,58099,3262,10921,1910,79625,3813,55797,2926,23828,2692,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,121941,3403,62974,2374,24588,2034,21732,1857,2856,900,38386,2875,28578,2591,9808,1714,58967,2191,25266,2184,22001,2035,3265,921,33701,2443,24289,2198,9412,1630,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,275496,6568,140213,4675,47445,3952,36993,3638,10452,1675,92768,5174,56863,4158,35905,3580,135283,4053,52417,3957,41464,3537,10953,1717,82866,4383,49386,3846,33480,2817,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,81739,2726,40833,1620,17362,2014,14143,1615,3219,1098,23471,2134,16629,2032,6842,1561,40906,2237,19677,2094,16198,1793,3479,925,21229,2026,13458,2002,7771,1548,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,493074,5544,251483,4144,95238,4353,80068,4233,15170,2053,156245,4970,116152,4513,40093,3748,241591,3246,111513,4320,94022,4007,17491,2075,130078,3968,93143,3761,36935,2949,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
