GEO_ID,C17001G_001E,C17001G_001M,C17001G_002E,C17001G_002M,C17001G_003E,C17001G_003M,C17001G_004E,C17001G_004M,C17001G_005E,C17001G_005M,C17001G_006E,C17001G_006M,C17001G_007E,C17001G_007M,C17001G_008E,C17001G_008M,C17001G_009E,C17001G_009M,C17001G_010E,C17001G_010M,C17001G_011E,C17001G_011M,C17001G_012E,C17001G_012M,C17001G_013E,C17001G_013M,C17001G_014E,C17001G_014M,C17001G_015E,C17001G_015M,C17001G_016E,C17001G_016M,C17001G_017E,C17001G_017M,C17001G_018E,C17001G_018M,C17001G_019E,C17001G_019M,NAME,C17001G_001EA,C17001G_001MA,C17001G_002EA,C17001G_002MA,C17001G_003EA,C17001G_003MA,C17001G_004EA,C17001G_004MA,C17001G_005EA,C17001G_005MA,C17001G_006EA,C17001G_006MA,C17001G_007EA,C17001G_007MA,C17001G_008EA,C17001G_008MA,C17001G_009EA,C17001G_009MA,C17001G_010MA,C17001G_010EA,C17001G_011EA,C17001G_011MA,C17001G_012EA,C17001G_012MA,C17001G_013EA,C17001G_013MA,C17001G_014EA,C17001G_014MA,C17001G_015EA,C17001G_015MA,C17001G_016EA,C17001G_016MA,C17001G_017EA,C17001G_017MA,C17001G_018EA,C17001G_018MA,C17001G_019EA,C17001G_019MA,state
0400000US08,224223,11023,28955,5177,13882,2845,6317,1822,7227,1893,338,226,15073,2982,6061,1802,8636,2139,376,200,195268,9640,98630,6312,46565,4071,48513,3922,3552,787,96638,5693,42095,3695,49787,3566,4756,1077,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,173746,10260,41796,6030,19857,3414,12561,2351,6902,1711,394,290,21939,3678,13189,2606,8273,1832,477,385,131950,8880,66815,4999,33763,3707,31433,2814,1619,582,65135,5941,30599,3716,31453,3433,3083,884,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,101540,7160,21514,3666,11268,2750,8059,2307,3002,1149,207,200,10246,1959,6349,1493,3747,1026,150,258,80026,6533,38739,4227,21168,2757,15640,2685,1931,737,41287,3903,19300,2393,19837,2972,2150,761,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,102547,7760,23957,4598,10048,2200,6431,1606,3348,1303,269,203,13909,2917,6959,1808,6117,1799,833,510,78590,6196,42553,4161,22754,3388,17829,2390,1970,798,36037,3528,17427,2418,16178,1969,2432,731,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,333348,12444,52725,5504,24133,3164,13691,2446,9636,1921,806,463,28592,3715,14669,3116,12736,1909,1187,569,280623,12357,145464,7435,72904,4978,66520,4708,6040,1061,135159,6933,60197,4627,67797,4269,7165,1208,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,65675,5519,16650,3276,7849,2012,5888,1871,1909,706,52,58,8801,1803,4925,1411,3632,877,244,280,49025,4439,24483,2762,13032,1968,10830,2035,621,319,24542,2966,13515,1996,10025,1509,1002,438,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,27752,3193,2509,924,1068,625,664,500,384,402,20,36,1441,668,627,476,454,283,360,358,25243,3066,12426,1989,4639,1139,7111,1533,676,379,12817,2404,6578,1648,5644,1442,595,354,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,86539,5859,23658,3751,10033,1764,6420,1596,3564,947,49,59,13625,2755,7892,1982,5154,1267,579,305,62881,6114,33547,3995,14853,2742,16529,2223,2165,695,29334,3183,12955,2089,13963,1971,2416,763,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,25337,3658,6065,1823,2601,982,1676,896,925,499,0,200,3464,1310,1212,603,2184,1035,68,90,19272,3298,10033,2077,3928,1197,5752,1563,353,232,9239,2008,4975,1627,3798,1079,466,345,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,168444,8662,25680,3934,11110,2423,5684,1529,5057,1355,369,307,14570,2429,6770,1761,7385,1284,415,220,142764,8139,73786,5080,39077,2982,32883,3414,1826,531,68978,4764,35784,3431,30446,2958,2748,675,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,31798,3330,5469,1831,3229,1216,1416,724,1657,788,156,244,2240,944,986,527,1004,608,250,256,26329,3243,14607,2111,6507,1716,7143,1532,957,396,11722,1835,3828,1013,6505,1331,1389,520,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,28350,2611,5198,1137,2456,778,1153,500,1192,470,111,133,2742,721,775,282,1677,552,290,188,23152,2564,10750,1496,4362,1057,5754,1118,634,303,12402,2110,4705,1140,6804,1469,893,492,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,286801,13163,55880,5657,26629,3466,15596,2548,10426,1917,607,365,29251,3970,14586,2850,13708,2017,957,555,230921,11936,114431,7329,54853,4583,53579,5126,5999,1347,116490,6877,55496,4926,55701,4662,5293,1057,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,277615,13705,51673,6564,22719,3359,14717,2890,7418,1732,584,475,28954,4552,16709,3393,11620,2221,625,420,225942,12498,110820,8109,49962,4543,55762,5494,5096,1460,115122,7348,52860,4260,56156,5140,6106,1373,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,60449,4593,7228,2002,3673,1127,1715,783,1782,775,176,198,3555,1184,1996,777,1547,595,12,21,53221,4214,26934,2536,12039,1814,14015,1841,880,354,26287,2498,12262,1647,12781,1655,1244,733,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,97667,7637,24898,3782,10992,2261,5866,1621,4801,1457,325,222,13906,2551,7170,1667,6095,1420,641,503,72769,7039,36099,3943,15397,2562,17947,2365,2755,723,36670,4613,13980,2491,18959,3148,3731,972,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,11952,1670,2342,1268,1114,675,286,304,767,527,61,97,1228,829,520,459,708,447,0,157,9610,1715,4917,1375,2130,826,1962,986,825,445,4693,1012,1797,604,2110,713,786,330,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,153750,9792,25191,4032,10927,2481,6219,1710,4546,1552,162,157,14264,2336,6503,1768,6495,1242,1266,586,128559,8637,65681,5028,31560,3797,31426,3104,2695,666,62878,5370,27014,3478,33193,3203,2671,688,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,32434,2914,10032,2477,5259,1759,3409,1369,1712,678,138,244,4773,1364,2524,876,2155,1060,94,113,22402,3324,11288,2253,5354,1695,5080,1226,854,450,11114,1985,4232,1007,6144,1479,738,451,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
