GEO_ID,B12504_001E,B12504_001M,B12504_002E,B12504_002M,B12504_003E,B12504_003M,B12504_004E,B12504_004M,B12504_005E,B12504_005M,B12504_006E,B12504_006M,B12504_007E,B12504_007M,B12504_008E,B12504_008M,B12504_009E,B12504_009M,NAME,B12504_001MA,B12504_001EA,B12504_002EA,B12504_002MA,B12504_003MA,B12504_003EA,B12504_004EA,B12504_004MA,B12504_005EA,B12504_005MA,B12504_006MA,B12504_006EA,B12504_007MA,B12504_007EA,B12504_008MA,B12504_008EA,B12504_009EA,B12504_009MA,state
0400000US01,19.7,0.4,19.8,0.4,20.7,0.4,11.1,2.7,13.7,0.6,19.6,0.4,20.7,0.4,11.5,1.9,14.1,1.1,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16.2,0.8,16.2,0.8,16.8,0.9,13.9,1.4,15.0,4.3,16.1,0.8,16.6,0.9,11.6,2.4,13.2,6.7,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,19.0,0.3,19.0,0.3,19.6,0.3,12.5,1.7,15.3,2.1,19.0,0.3,19.6,0.3,13.4,1.2,15.2,1.1,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18.9,0.4,19.1,0.5,19.9,0.6,14.6,3.9,12.7,1.6,18.8,0.4,19.9,0.6,11.1,1.2,12.7,1.1,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18.6,0.2,18.5,0.2,19.0,0.1,12.6,0.5,16.4,0.5,18.7,0.1,19.1,0.1,13.1,0.6,18.4,0.4,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,17.8,0.3,17.9,0.3,18.4,0.3,11.6,1.9,12.1,1.0,17.8,0.3,18.3,0.3,12.4,1.6,13.3,1.1,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20.5,0.3,20.4,0.3,20.6,0.3,15.6,3.6,19.1,2.7,20.6,0.4,20.9,0.4,13.8,3.0,15.0,2.0,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20.1,0.9,20.3,0.9,21.0,1.0,11.8,2.7,14.7,4.0,20.0,1.0,20.9,1.0,15.2,3.5,14.6,1.7,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12.3,0.8,12.1,0.9,12.0,1.0,10.1,3.4,18.9,11.4,12.6,1.0,12.5,1.1,9.7,5.6,17.4,8.9,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20.5,0.2,20.6,0.2,21.5,0.3,12.9,0.6,16.6,0.7,20.5,0.2,21.4,0.3,14.3,1.1,15.0,0.7,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
