C24070_042M,C24070_043E,C24070_043M,C24070_044E,C24070_044M,C24070_045E,C24070_045M,C24070_046E,C24070_046M,C24070_047E,C24070_047M,C24070_048E,C24070_048M,C24070_049E,C24070_049M,C24070_050E,C24070_050M,C24070_051E,C24070_051M,C24070_052E,C24070_052M,C24070_053E,C24070_053M,C24070_054E,C24070_054M,C24070_055E,C24070_055M,C24070_056E,C24070_056M,C24070_057E,C24070_057M,C24070_058E,C24070_058M,C24070_059E,C24070_059M,C24070_060E,C24070_060M,C24070_061E,C24070_061M,C24070_062E,C24070_062M,C24070_063E,C24070_063M,C24070_064E,C24070_064M,C24070_065E,C24070_065M,C24070_066E,C24070_066M,C24070_067E,C24070_067M,C24070_068E,C24070_068M,C24070_069E,C24070_069M,C24070_070E,C24070_070M,C24070_071E,C24070_071M,C24070_072E,C24070_072M,C24070_073E,C24070_073M,C24070_074E,C24070_074M,C24070_075E,C24070_075M,C24070_076E,C24070_076M,C24070_077E,C24070_077M,C24070_078E,C24070_078M,C24070_079E,C24070_079M,C24070_080E,C24070_080M,C24070_081E,C24070_081M,C24070_082E,C24070_082M,C24070_083E,C24070_083M,C24070_084E,C24070_084M,GEO_ID,C24070_001E,C24070_001M,C24070_002E,C24070_002M,C24070_003E,C24070_003M,C24070_004E,C24070_004M,C24070_005E,C24070_005M,C24070_006E,C24070_006M,C24070_007E,C24070_007M,C24070_008E,C24070_008M,C24070_009E,C24070_009M,C24070_010E,C24070_010M,C24070_011E,C24070_011M,C24070_012E,C24070_012M,C24070_013E,C24070_013M,C24070_014E,C24070_014M,C24070_015E,C24070_015M,C24070_016E,C24070_016M,C24070_017E,C24070_017M,C24070_018E,C24070_018M,C24070_019E,C24070_019M,C24070_020E,C24070_020M,C24070_021E,C24070_021M,C24070_022E,C24070_022M,C24070_023E,C24070_023M,C24070_024E,C24070_024M,C24070_025E,C24070_025M,C24070_026E,C24070_026M,C24070_027E,C24070_027M,C24070_028E,C24070_028M,C24070_029E,C24070_029M,C24070_030E,C24070_030M,C24070_031E,C24070_031M,C24070_032E,C24070_032M,C24070_033E,C24070_033M,C24070_034E,C24070_034M,C24070_035E,C24070_035M,C24070_036E,C24070_036M,C24070_037E,C24070_037M,C24070_038E,C24070_038M,C24070_039E,C24070_039M,C24070_040E,C24070_040M,C24070_041E,C24070_041M,C24070_042E,C24070_042MA,C24070_043EA,C24070_043MA,C24070_044MA,C24070_044EA,C24070_045EA,C24070_045MA,C24070_046MA,C24070_046EA,C24070_047MA,C24070_047EA,C24070_048EA,C24070_048MA,C24070_049EA,C24070_049MA,C24070_050EA,C24070_050MA,C24070_051MA,C24070_051EA,C24070_052MA,C24070_052EA,C24070_053MA,C24070_053EA,C24070_054EA,C24070_054MA,C24070_055EA,C24070_055MA,C24070_056EA,C24070_056MA,C24070_057MA,C24070_057EA,C24070_058EA,C24070_058MA,C24070_059EA,C24070_059MA,C24070_060EA,C24070_060MA,C24070_061EA,C24070_061MA,C24070_062EA,C24070_062MA,C24070_063MA,C24070_063EA,C24070_064EA,C24070_064MA,C24070_065EA,C24070_065MA,C24070_066EA,C24070_066MA,C24070_067EA,C24070_067MA,C24070_068MA,C24070_068EA,C24070_069MA,C24070_069EA,C24070_070EA,C24070_070MA,C24070_071EA,C24070_071MA,C24070_072MA,C24070_072EA,C24070_073EA,C24070_073MA,C24070_074MA,C24070_074EA,C24070_075MA,C24070_075EA,C24070_076EA,C24070_076MA,C24070_077MA,C24070_077EA,C24070_078MA,C24070_078EA,C24070_079EA,C24070_079MA,C24070_080MA,C24070_080EA,C24070_081EA,C24070_081MA,C24070_082EA,C24070_082MA,C24070_083EA,C24070_083MA,C24070_084MA,C24070_084EA,NAME,C24070_001EA,C24070_001MA,C24070_002EA,C24070_002MA,C24070_003MA,C24070_003EA,C24070_004EA,C24070_004MA,C24070_005MA,C24070_005EA,C24070_006MA,C24070_006EA,C24070_007EA,C24070_007MA,C24070_008MA,C24070_008EA,C24070_009MA,C24070_009EA,C24070_010MA,C24070_010EA,C24070_011EA,C24070_011MA,C24070_012MA,C24070_012EA,C24070_013MA,C24070_013EA,C24070_014MA,C24070_014EA,C24070_015MA,C24070_015EA,C24070_016EA,C24070_016MA,C24070_017MA,C24070_017EA,C24070_018MA,C24070_018EA,C24070_019EA,C24070_019MA,C24070_020MA,C24070_020EA,C24070_021EA,C24070_021MA,C24070_022EA,C24070_022MA,C24070_023MA,C24070_023EA,C24070_024EA,C24070_024MA,C24070_025MA,C24070_025EA,C24070_026MA,C24070_026EA,C24070_027EA,C24070_027MA,C24070_028EA,C24070_028MA,C24070_029MA,C24070_029EA,C24070_030EA,C24070_030MA,C24070_031MA,C24070_031EA,C24070_032MA,C24070_032EA,C24070_033EA,C24070_033MA,C24070_034EA,C24070_034MA,C24070_035MA,C24070_035EA,C24070_036MA,C24070_036EA,C24070_037EA,C24070_037MA,C24070_038EA,C24070_038MA,C24070_039EA,C24070_039MA,C24070_040EA,C24070_040MA,C24070_041MA,C24070_041EA,C24070_042EA,state
192,130614,5777,440,303,996,477,2398,854,513,421,2883,813,2179,637,868,522,6048,1429,3783,1004,73802,4370,6327,1524,30377,2556,0,192,326226,9284,546,305,10030,1691,2718,635,104,109,2679,906,21495,2627,2368,812,2909,789,7627,1325,159905,6726,5071,1011,594,425,110180,5415,110140,6264,5660,1039,23546,3108,2274,748,1944,701,9933,1557,3921,1027,1298,563,6334,1507,21588,2514,7674,1394,5418,1448,20550,2156,0,192,0400000US01,2010934,16887,34914,3828,128182,6451,289087,8520,46274,3655,245564,8786,99242,4528,33429,2563,109839,5328,181165,8089,460874,9827,169574,8143,102610,5469,110180,5415,1391521,13748,25348,3293,86318,5339,279839,8274,41560,3521,222416,8110,69740,3719,28486,2439,90068,4952,137782,6265,214788,5820,149418,7425,45758,4200,0,192,52433,3535,2920,832,7292,1221,1858,650,2153,784,7653,1456,1907,694,409,240,4480,1316,10385,1776,4705,903,3340,1125,5331,1438,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
147,35185,2708,527,328,1205,894,284,294,0,147,1125,567,621,301,538,487,1455,573,1737,876,20775,2042,1491,539,5427,1118,0,147,82824,4274,1504,519,2412,654,117,101,0,147,307,186,5426,1009,566,360,587,303,1346,479,31624,3166,2985,869,67,82,35883,2598,21502,2454,2939,847,2743,680,539,250,533,411,922,521,1261,744,117,102,651,269,3084,913,3965,1027,2388,679,2360,681,0,147,0400000US02,352822,5552,22040,2397,26590,2580,13174,1880,6687,1413,40145,3583,27869,2479,6506,1125,15201,2201,33271,3287,79891,4475,30891,3814,14674,2001,35883,2598,203560,5716,16435,2068,18389,2102,11839,1778,6024,1362,36964,3342,19932,2049,5213,907,11652,2070,25047,3139,22159,2049,23476,3546,6430,1379,0,147,9751,1716,635,327,1841,689,395,317,130,160,827,405,629,330,72,122,856,536,2057,750,1368,559,551,310,390,251,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
203,178461,7412,688,431,1859,892,3542,1001,739,398,6185,1620,3733,904,512,304,6263,1333,5283,1366,108319,5096,7745,1477,33593,2943,0,203,410398,9932,2304,991,6074,1371,1284,831,245,137,1957,798,22340,2781,3353,846,2082,576,6201,1087,198675,6636,13879,2165,873,461,151131,6231,168474,7449,2820,977,24057,2487,4546,1076,3668,1053,11262,1910,5134,1182,1782,734,16070,2183,40289,3887,17271,2111,12482,2138,29093,3434,0,203,0400000US04,2791546,16636,44188,4218,187652,6955,209861,7897,65232,4460,341813,9733,134719,6072,49037,3884,215003,7168,331200,10401,619034,12905,305243,9931,137433,6975,151131,6231,1931449,15564,36480,3710,138786,6302,196409,7747,58150,4180,313574,9233,98703,5196,42733,3557,179075,6797,251411,7948,282420,9999,266383,9197,67325,5047,0,203,102764,5100,1896,765,16876,2474,4080,929,2430,917,8835,1603,4809,1264,657,406,11513,1784,28016,2545,12349,1594,4754,1144,6549,1495,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
192,94368,4935,1007,603,727,393,2063,894,438,268,1952,772,3157,1026,1136,515,2596,924,1932,746,54149,3969,3059,1076,22152,2753,0,192,198558,6487,749,417,6600,1291,1003,403,35,46,717,477,9910,1553,866,423,1747,596,3811,1000,114610,4963,3491,1198,427,371,54592,3382,76930,4533,7271,1387,17411,2301,1709,617,1802,616,6075,925,3153,795,653,410,3908,912,12513,2002,4946,1147,3849,1085,13640,2308,0,192,0400000US05,1241828,12352,36986,3366,81921,4156,169226,5983,29602,2953,168097,6524,68313,4076,20688,2760,58655,4267,89101,5123,301197,8401,102498,6375,60952,5239,54592,3382,833849,9028,25249,2479,51522,3229,162050,6002,25291,2699,154838,6419,49817,3892,17859,2566,46975,4121,65551,4264,122430,4859,90745,6324,21522,3048,0,192,38123,3272,2710,852,5661,1358,2401,757,2036,697,4515,1099,2276,803,174,152,3429,1052,5294,1204,5062,1299,1354,486,3211,1019,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
203,1140062,19197,6132,1334,15095,2171,26179,2795,7860,1388,35738,3191,15658,1992,12131,2056,44067,3148,59902,4729,656775,13483,53348,3969,207177,7730,0,203,2308375,25789,6363,1254,36596,3120,8449,1593,1185,587,10974,1620,154716,6816,16997,1887,22179,2314,53967,3599,1184193,18354,56444,4618,7364,1515,748948,14567,1446599,24861,26248,3186,198155,8502,42518,3425,28310,3215,108933,6213,43388,4090,28619,2739,102542,6019,349578,11022,165689,7197,110546,6042,242073,9187,0,203,0400000US06,17132696,40053,408168,13031,1043307,18142,1678501,22372,527348,11065,1937264,27144,792378,14802,498423,12889,1082074,19910,2190371,26554,3556495,33545,1753663,24320,915756,17856,748948,14567,11677579,49237,362492,12780,731320,15159,1569709,20843,464549,10440,1726454,24259,557366,14166,424620,12234,851736,17453,1586226,21555,1485846,22449,1486909,21536,430352,11245,0,203,560081,11906,6933,1264,62141,4250,31646,2622,25444,2523,55165,5322,21250,2615,16056,2169,61550,4397,140698,7387,63992,4456,46416,5109,28790,2756,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
195,199093,7008,310,172,2672,1035,2388,787,927,680,4094,1213,3623,1172,1236,451,9129,1472,7519,1259,116126,5067,12521,1677,38548,3375,0,195,358894,8061,2903,936,6811,1130,1166,657,286,221,1402,568,25096,2505,5781,1170,2302,651,8982,1521,166413,6171,12774,1401,1010,471,123968,4942,171847,6894,9725,1420,27198,2572,3666,1164,3146,830,9910,1663,4549,856,1641,554,13196,1638,39028,3407,20419,2497,12818,2006,26551,2924,0,195,0400000US08,2593798,15783,67102,4294,187884,6619,184678,7813,67897,4471,292836,9801,119096,6121,78468,4127,181062,7085,353353,9393,522895,9857,284910,10058,129649,6567,123968,4942,1733076,16557,50436,3755,130424,5848,172923,7340,59342,4175,265759,9220,82005,5062,68170,3901,141376,6113,262287,8130,208010,7049,236675,9763,55669,4493,0,195,130888,6206,3728,891,20779,2429,4535,1153,4196,1142,11671,1691,3823,988,1640,580,15059,2033,35537,3147,11927,1503,10122,1872,7871,1350,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
201,169228,6228,159,168,1211,606,2852,1016,435,368,4703,1330,1150,493,2160,592,5551,1245,4330,987,112827,4600,7833,1512,26017,2430,0,201,229771,6573,96,99,5291,1196,2354,705,30,50,1180,610,12197,1743,2809,724,2459,889,3383,993,125959,6071,9801,2070,92,103,64120,4402,117322,5612,1492,660,21405,2291,3367,878,1352,528,7062,1434,1730,665,804,329,9940,1376,29527,2715,16420,1821,8739,1436,15484,2341,0,201,0400000US09,1771141,10471,7743,1462,98566,5725,193129,7008,44934,3595,199037,7776,60517,4355,37216,3184,157222,7159,212247,8074,456675,10067,155850,7701,83885,5236,64120,4402,1193508,13322,5499,1288,61784,4723,180640,7007,41200,3456,178271,7134,44449,4045,31055,3053,132792,6837,158973,7206,195539,7878,124748,7097,38558,3574,0,201,61312,4132,497,252,8875,1511,3916,972,1917,495,7821,1563,991,583,388,220,6480,1248,16034,2023,5930,1182,4729,1075,3734,1069,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
189,41786,3553,7,13,253,206,765,470,336,373,1353,536,634,361,322,266,1318,649,2442,935,26050,2954,940,398,7366,1193,0,189,61200,3840,197,204,804,393,18,33,45,76,271,244,3734,1139,524,344,270,250,1073,484,28426,2497,2011,716,144,144,23683,2824,16008,2089,435,416,2474,878,424,239,146,150,1024,416,944,689,43,70,1373,626,4484,1187,1891,776,1015,557,1755,888,0,189,0400000US10,430247,5961,2940,982,23196,2440,36879,3178,7150,1281,53037,3678,22036,2753,5045,1029,41306,3386,45536,3430,108663,5479,39242,3322,21534,2212,23683,2824,297164,5965,2301,848,16182,2187,35058,3185,6414,1196,48947,3485,16210,2298,4146,876,37143,3156,34723,2979,50986,4225,34355,3000,10699,1702,0,189,14089,1793,0,189,3483,946,614,501,209,244,1442,528,514,336,10,18,1202,511,2814,756,1310,532,921,312,1570,879,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
203,64305,3168,0,203,578,503,183,213,182,241,436,324,432,361,1404,658,2595,852,8566,1350,25090,1981,2421,667,22418,1934,0,203,83350,4225,119,117,1036,629,149,149,0,203,110,140,1897,696,954,408,2218,737,3633,853,13171,1753,2675,809,515,492,56873,3545,14523,1865,0,203,1316,788,193,128,93,108,483,339,674,420,401,311,1130,483,5407,1181,1597,584,1313,616,1916,542,0,203,0400000US11,333111,4763,277,282,8293,1701,4492,1205,1848,819,18078,1802,7924,1602,10770,1740,16480,2117,79915,3891,67816,4465,30479,3004,29866,2281,56873,3545,162799,5708,158,254,4625,1190,3859,1215,1523,663,16614,1926,4867,1145,7701,1382,9964,1662,58014,3487,27387,3451,23483,2950,4604,1108,0,203,8134,1443,0,203,738,528,108,134,50,82,435,573,54,91,310,219,573,361,4295,1045,571,347,587,309,413,371,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
218,526558,14436,1270,699,5725,1306,4679,1158,2650,875,19553,2726,6916,1521,3361,1134,24036,2480,20859,3184,299903,10706,29378,3853,108228,5784,0,218,1042700,15047,1671,699,15714,2031,3061,939,483,284,4503,1165,83142,4992,8250,1904,9552,1820,22262,2615,486681,11716,24633,2808,3076,929,379672,9546,488162,12258,7975,1762,67055,5434,9862,1950,8494,1777,34969,4557,19263,2468,4976,1166,42781,4137,125983,6601,45363,4050,26892,3365,94549,5537,0,218,0400000US12,8459990,34236,87734,6785,575346,16658,436499,12178,246113,9334,1143428,20865,425324,11931,175355,8613,655929,16083,1056064,18614,1770023,25251,1042305,20398,466198,11691,379672,9546,5913854,32867,70924,5812,398992,16154,396688,11552,212536,9308,1039675,18984,299156,9979,152010,7927,531627,14177,763535,15347,894995,17953,928523,20521,225193,9795,0,218,488716,12776,5894,1513,87860,6347,22209,2809,21950,2484,44728,4097,16847,2311,6758,1443,47933,3795,123425,6824,43081,3951,32879,3470,35152,3275,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
