GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,NAME,B15002A_001EA,B15002A_001MA,B15002A_002MA,B15002A_002EA,B15002A_003MA,B15002A_003EA,B15002A_004EA,B15002A_004MA,B15002A_005EA,B15002A_005MA,B15002A_006EA,B15002A_006MA,B15002A_007EA,B15002A_007MA,B15002A_008MA,B15002A_008EA,B15002A_009EA,B15002A_009MA,B15002A_010EA,B15002A_010MA,B15002A_011EA,B15002A_011MA,B15002A_012MA,B15002A_012EA,B15002A_013MA,B15002A_013EA,B15002A_014MA,B15002A_014EA,B15002A_015EA,B15002A_015MA,B15002A_016MA,B15002A_016EA,B15002A_017EA,B15002A_017MA,B15002A_018MA,B15002A_018EA,B15002A_019MA,B15002A_019EA,state
0400000US01,2323633,4623,1121328,3574,54792,3664,103731,5141,274953,6495,68641,4240,246440,6339,78947,4008,189176,5865,104648,4548,1202305,2673,49026,3583,113413,5857,297158,7495,69829,4277,265232,7332,106885,4099,187551,6422,113211,4933,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,332078,1404,176008,1093,2094,681,6806,1144,40132,2534,10240,1711,49744,2921,14132,1925,33613,2633,19247,1817,156070,964,2103,829,4364,782,29193,2301,4563,913,43334,2785,15191,1764,36489,2344,20833,2027,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3569676,11051,1746049,6133,99808,5777,127463,5991,338230,9624,81885,5146,437596,10428,145022,6259,324051,7665,191994,6989,1823627,7084,90194,4239,118532,5485,403496,8841,60656,3818,472188,10051,169399,7075,320899,7821,188263,6125,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1586438,4163,766167,2790,40896,2788,70956,3923,228773,6538,54801,3853,165823,5606,38906,3266,106922,4764,59090,3344,820271,2523,40483,3558,73571,4124,228076,5733,47611,2666,192004,6483,58942,3544,118527,5279,61057,3287,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16141795,35423,7964031,20668,663574,13604,634192,11770,1452234,20009,227384,7482,1795959,19139,595091,12377,1581757,14805,1013840,15072,8177764,18348,679676,11832,556728,11392,1567063,20292,154392,5569,1940481,23087,728920,12292,1584307,16755,966197,12876,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3030562,8495,1501212,5345,46580,3486,82221,5935,251407,7762,66826,4025,339513,9021,115647,4803,376893,7605,222125,6592,1529350,4947,41179,3174,73851,4334,276961,7187,46957,3289,345420,6466,139594,5190,387718,8180,217670,5566,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1983092,7024,942935,4666,31105,2844,44669,3227,229874,6880,34865,2969,161276,5708,63660,4075,211641,6781,165845,5553,1040157,3590,33473,2840,49427,3741,253043,5970,24028,2310,181480,6196,88989,3973,226496,6689,183221,6518,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,458722,2584,219802,1941,8356,1306,15770,2004,61794,3076,9355,1406,41708,2454,14833,1811,40189,2448,27797,1865,238920,1231,6466,1269,15247,1707,71358,3550,7251,1070,44189,2859,21496,1952,43135,2838,29778,2005,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,199325,3151,101292,1973,1411,755,711,589,2372,836,500,316,6021,1559,1199,491,33367,2546,55711,2793,98033,1555,1808,794,652,370,2694,917,324,279,5996,1503,1345,541,31716,2605,53498,2771,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10933884,13865,5277611,9467,262535,8938,398914,11836,1249191,18842,260728,7987,1083750,17666,451737,13176,988236,15393,582520,12415,5656273,9848,254418,10103,373739,9932,1495515,18689,205140,7158,1191429,16547,589985,13238,1019817,13462,526230,12948,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
