GEO_ID,B08412_001E,B08412_001M,B08412_002E,B08412_002M,B08412_003E,B08412_003M,B08412_004E,B08412_004M,B08412_005E,B08412_005M,B08412_006E,B08412_006M,B08412_007E,B08412_007M,B08412_008E,B08412_008M,B08412_009E,B08412_009M,B08412_010E,B08412_010M,B08412_011E,B08412_011M,B08412_012E,B08412_012M,B08412_013E,B08412_013M,B08412_014E,B08412_014M,B08412_015E,B08412_015M,B08412_016E,B08412_016M,B08412_017E,B08412_017M,B08412_018E,B08412_018M,B08412_019E,B08412_019M,B08412_020E,B08412_020M,B08412_021E,B08412_023E,B08412_021M,B08412_022E,B08412_022M,B08412_023M,B08412_024E,B08412_024M,B08412_025E,B08412_025M,B08412_026E,B08412_026M,B08412_027E,B08412_027M,B08412_028E,B08412_028M,B08412_029E,B08412_029M,B08412_030E,B08412_030M,B08412_031E,B08412_031M,B08412_032E,B08412_032M,B08412_033E,B08412_033M,B08412_034E,B08412_034M,B08412_035E,B08412_035M,B08412_036E,B08412_036M,B08412_037E,B08412_037M,B08412_038E,B08412_038M,B08412_039E,B08412_039M,NAME,B08412_001MA,B08412_001EA,B08412_002MA,B08412_002EA,B08412_003MA,B08412_003EA,B08412_004EA,B08412_004MA,B08412_005EA,B08412_005MA,B08412_006MA,B08412_006EA,B08412_007EA,B08412_007MA,B08412_008MA,B08412_008EA,B08412_009EA,B08412_009MA,B08412_010EA,B08412_010MA,B08412_011MA,B08412_011EA,B08412_012MA,B08412_012EA,B08412_013MA,B08412_013EA,B08412_014EA,B08412_014MA,B08412_015EA,B08412_015MA,B08412_016MA,B08412_016EA,B08412_017EA,B08412_017MA,B08412_018EA,B08412_018MA,B08412_019MA,B08412_019EA,B08412_020EA,B08412_020MA,B08412_021EA,B08412_021MA,B08412_023EA,B08412_023MA,B08412_022MA,B08412_022EA,B08412_024MA,B08412_024EA,B08412_025MA,B08412_025EA,B08412_026EA,B08412_026MA,B08412_027EA,B08412_027MA,B08412_028MA,B08412_028EA,B08412_029MA,B08412_029EA,B08412_030MA,B08412_030EA,B08412_031MA,B08412_031EA,B08412_032EA,B08412_032MA,B08412_033EA,B08412_033MA,B08412_034EA,B08412_034MA,B08412_035EA,B08412_035MA,B08412_036MA,B08412_036EA,B08412_037EA,B08412_037MA,B08412_038EA,B08412_038MA,B08412_039EA,B08412_039MA,state
0400000US01,1882672,17651,51724,3860,189354,6979,274075,9441,330372,9619,295180,8652,118990,7112,277916,9772,50065,3821,54263,4225,137225,6684,70988,4910,32520,2861,993843,13466,26988,2596,92350,5356,131549,6378,171227,6370,153303,5795,60532,4619,153387,30125,6257,25500,2233,3052,81016,4852,46738,3722,21128,2370,888829,10517,24736,2975,97004,4250,142526,6875,159145,7223,141877,6514,58458,4618,124529,6740,24565,2838,24138,2649,56209,3971,24250,2901,11392,1842,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,351438,5540,28370,2540,57764,3754,74333,4716,66141,4302,48254,3890,14742,1914,23544,3260,3794,1235,5146,1121,11837,1703,8763,1076,8750,1646,198412,4384,15822,1529,34146,3038,41033,3255,34691,3073,26439,2627,6890,1215,14525,3217,2406,2310,1057,763,6851,1230,5101,792,7387,1564,153026,3669,12548,1786,23618,2118,33300,2661,31450,2814,21815,2510,7852,1458,9019,1636,1484,657,1929,725,4986,1145,3662,807,1363,624,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2577101,17718,75445,4559,248116,7940,357075,9422,391290,12674,398952,10780,186886,7874,384581,9174,71783,3734,105692,5221,203107,7423,109941,4475,44233,3325,1388399,11419,39275,2886,117631,5365,177045,6513,201540,7831,215518,7817,102554,5203,225720,55226,7944,43097,2723,3777,113847,6062,67340,4385,29606,2910,1188702,13541,36170,3380,130485,5980,180030,6268,189750,8288,183434,6613,84332,5240,158861,5004,28686,2446,50466,3624,89260,4443,42601,3001,14627,1982,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1191166,11239,53627,4242,160475,5816,205523,8083,215096,8325,169291,7266,62908,4256,140535,6523,26968,3495,30144,3046,69596,4680,37550,3033,19453,2540,635653,6945,30916,3298,78385,4577,109313,5950,110449,5369,92451,5115,31442,2849,71442,17749,4386,14082,1975,2299,42127,3625,22406,2439,14891,2203,555513,8455,22711,2294,82090,3730,96210,4775,104647,5609,76840,4900,31466,2659,69093,4538,12886,2193,12395,1841,27469,2599,15144,2111,4562,1045,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15862205,41178,313410,9948,1289423,21930,2096457,26393,2432996,27581,2355274,28834,934807,15930,2365572,27603,411733,10628,645998,13527,1313098,19772,1168500,20895,534937,13800,8722710,30988,166203,6857,620468,13848,1084270,19849,1276051,18982,1274810,20892,509948,12212,1352650,369787,22426,239204,7922,10379,769255,16042,714871,15105,345193,10679,7139495,29344,147207,6688,668955,13271,1012187,16690,1156945,16630,1080464,16558,424859,9748,1012922,14597,172529,6470,276211,8475,543843,11722,453629,12382,189744,7578,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2386424,18005,75745,3679,247082,8761,340091,11328,386404,10205,371731,10555,157344,7331,320623,8843,69396,3977,90723,4390,177540,5625,104898,5995,44847,3435,1299100,11424,41026,3028,120597,5224,178063,8358,201519,7335,199096,7464,85695,5410,178137,53158,6393,40107,2710,3456,105386,4285,66503,4760,29813,2945,1087324,11334,34719,2926,126485,5866,162028,6290,184885,7242,172635,6993,71649,4268,142486,5444,29289,2769,37565,3056,72154,3546,38395,3100,15034,1881,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1643913,11999,46069,3509,159587,6940,251564,7453,270584,8499,268240,8325,105081,5894,208099,8399,47637,3687,61699,5234,114295,5863,77654,4784,33404,2994,850744,8735,25105,2493,72231,4368,124841,5147,133054,5794,132026,5970,54909,4247,110586,35022,5464,26441,2790,3433,66068,3886,50292,4124,20169,2345,793169,9319,20964,2443,87356,4523,126723,5736,137530,6016,136214,5143,50172,3469,97513,5421,21196,2439,26677,2941,48227,3803,27362,2696,13235,2257,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,408196,7685,9905,1574,34462,3141,60266,4610,66351,3593,67206,3879,29462,2719,55947,4544,12003,1760,15281,1696,29875,3202,19802,2557,7636,1449,207294,5205,4989,1138,16819,1994,30487,3264,31657,2951,32073,2554,13855,2109,29875,7610,2852,5913,1239,1118,15877,2055,12702,2135,5437,1337,200902,5293,4916,1082,17643,2214,29779,2808,34694,3188,35133,2978,15607,2030,26072,3163,6090,1303,7671,1381,13998,2315,7100,1287,2199,692,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,784692,13877,7785,1980,15222,2151,29449,2916,52577,4104,74618,4777,42239,3226,131003,6272,35904,3015,55333,3830,141137,5717,138427,6044,60998,3888,406341,10718,4819,1520,7358,1333,14793,1868,26658,2810,39139,3110,23801,2395,64854,29147,4419,17818,1990,2646,73585,4197,71108,4187,33261,2851,378351,7512,2966,992,7864,1346,14656,1802,25919,2986,35479,3068,18438,2187,66149,4031,18086,2148,26186,2201,67552,3537,67319,3602,27737,2332,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7889508,34250,163857,8432,601512,15231,997119,21146,1224436,17482,1302525,24903,530912,13463,1307541,22097,244983,9976,319896,10358,657556,15903,393929,12239,145242,7238,4106705,26277,85495,5923,286954,9219,497564,12921,610760,13356,655349,16053,273876,9147,704365,174092,15250,129754,7423,7311,367377,11566,232352,10490,88767,5552,3782803,22923,78362,5614,314558,10799,499555,14343,613676,14153,647176,14423,257036,9219,603176,15282,115229,6489,145804,7972,290179,10350,161577,7431,56475,4107,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
