GEO_ID,B20017I_001E,B20017I_001M,B20017I_002E,B20017I_002M,B20017I_003E,B20017I_003M,B20017I_004E,B20017I_004M,B20017I_005E,B20017I_005M,B20017I_006E,B20017I_006M,B20017I_007E,B20017I_007M,NAME,B20017I_001MA,B20017I_001EA,B20017I_002EA,B20017I_002MA,B20017I_003EA,B20017I_003MA,B20017I_004MA,B20017I_004EA,B20017I_005EA,B20017I_005MA,B20017I_006EA,B20017I_006MA,B20017I_007MA,B20017I_007EA,state
0400000US01,18515,1246,20366,1199,22607,2553,9877,2751,15255,1646,20322,1713,7271,1123,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31143,3062,35716,3953,45157,5241,16814,5840,22387,3816,40188,6171,7410,5373,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,21683,307,23999,930,31343,391,10414,484,18923,802,27878,898,8959,545,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20015,945,20739,807,24982,2581,10387,1278,17784,2186,21948,1271,9687,1944,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,21561,122,24028,280,31772,201,11497,155,18215,271,30063,255,9477,188,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,23092,796,27178,831,35437,837,10674,636,19262,952,30760,621,8371,679,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,22242,540,25288,935,34199,3009,11416,646,19697,1229,31096,1230,10028,905,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21407,1774,21997,4136,30413,3700,10179,1597,20751,3086,30277,2229,8151,2161,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,31009,4970,31755,10420,51345,10897,8813,2193,30382,7058,51172,15088,13280,1811,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,22641,392,25138,383,31138,350,11295,304,20639,327,30025,856,10524,232,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,20422,438,21730,454,25470,810,11989,674,16594,588,23253,1025,9077,852,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,28958,2587,31609,2240,43919,4694,11966,2367,25262,1911,36038,2359,10698,1198,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21196,665,24496,1433,29599,1964,10548,2777,15611,1443,25072,2340,6280,830,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,22386,317,25768,401,31690,435,12608,716,19321,587,27152,646,9614,494,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,20645,533,22256,799,29767,1696,10927,1193,16479,1329,25816,1729,7387,772,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,22559,1640,26054,1066,31260,1519,10306,1636,18425,3413,26895,2592,6138,1584,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21809,724,25385,884,31444,875,11380,1024,16958,1361,25444,958,7375,797,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20565,809,22034,1699,27635,1747,12138,1594,16965,997,24895,4012,10756,1428,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22692,2266,26575,2924,31493,1304,12354,2344,17246,1872,27900,5048,8525,1606,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,20481,4936,17470,9001,31220,10951,4932,7179,20950,3595,35237,23808,10722,5987,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,27654,1144,31205,751,36977,1159,13712,2548,22223,915,32264,1454,10209,985,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,22290,711,26380,948,36481,1634,11002,650,20188,837,32446,2593,10325,742,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,20974,653,24659,1762,35717,939,10350,1182,17338,937,29344,1712,8231,925,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,21309,756,24583,1595,31444,944,10947,1248,16818,891,28688,1942,8696,823,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,21313,1200,23118,2435,26407,1084,10754,713,16973,2597,27841,4331,5309,1773,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,21527,741,24617,1333,30788,1448,11378,1406,16883,964,25198,1706,7997,1414,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,16004,4356,24262,6222,45793,17736,12600,1843,12172,2947,24796,10645,6561,2118,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,21862,741,24229,1011,30141,1279,9970,1789,18799,2005,24397,1580,7782,1614,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,23580,857,24560,927,31091,671,12872,1127,22076,893,28532,1336,10903,794,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,21638,1524,21907,2936,35758,5771,5901,1488,20509,5721,28871,3048,7306,1705,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,24299,754,27162,696,35857,661,12074,591,20829,564,31077,741,10163,520,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,22350,618,25973,1215,36539,1116,8716,897,19466,944,30281,835,9041,595,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,24230,528,25937,421,32332,577,10850,445,21639,386,34872,1121,10553,262,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,19732,570,21565,422,25513,520,12450,835,14999,732,22182,749,7787,749,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,21486,3957,26048,4342,35656,7423,11156,4657,9852,3643,21208,1668,7584,2102,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,21443,941,24627,2186,34654,2921,8571,1223,17832,1393,28161,1654,7127,719,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,21298,583,24861,996,30262,658,10654,850,16383,730,23608,1265,8351,805,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,19219,765,22154,932,28948,2092,10853,879,15014,1256,23959,2252,8535,930,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
