GEO_ID,B16005B_001E,B16005B_001M,B16005B_002E,B16005B_002M,B16005B_003E,B16005B_003M,B16005B_004E,B16005B_004M,B16005B_005E,B16005B_005M,B16005B_006E,B16005B_006M,B16005B_007E,B16005B_007M,B16005B_008E,B16005B_008M,B16005B_009E,B16005B_009M,B16005B_010E,B16005B_010M,B16005B_011E,B16005B_011M,NAME,B16005B_001MA,B16005B_001EA,B16005B_002EA,B16005B_002MA,B16005B_003EA,B16005B_003MA,B16005B_004EA,B16005B_004MA,B16005B_005EA,B16005B_005MA,B16005B_006EA,B16005B_006MA,B16005B_007MA,B16005B_007EA,B16005B_008MA,B16005B_008EA,B16005B_009EA,B16005B_009MA,B16005B_010EA,B16005B_010MA,B16005B_011EA,B16005B_011MA,state
0400000US01,1194913,5143,1183939,6533,1172493,6929,11446,2059,8817,1858,2629,911,10974,3200,6164,2074,4810,1895,2911,1217,1899,1093,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23252,1653,20465,1661,19510,1755,955,570,925,573,30,52,2787,1000,1000,795,1787,795,1082,621,705,495,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,257477,5034,227849,7198,218120,7319,9729,1761,8440,1672,1289,554,29628,4560,11301,2552,18327,3983,10004,2716,8323,2798,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,428477,3860,426276,3891,423214,3810,3062,944,2152,818,910,524,2201,690,601,484,1600,547,1107,466,493,283,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2133671,11776,1973879,16572,1889555,15458,84324,6355,73838,5741,10486,1742,159792,11201,51114,3947,108678,10020,69116,8498,39562,4147,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,195675,5134,167248,6031,159746,6569,7502,1784,6422,1601,1080,611,28427,4294,5169,1259,23258,4192,9233,2250,14025,3476,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,346009,5797,269531,7319,250235,7346,19296,4309,14663,3558,4633,1708,76478,6235,45141,5009,31337,4171,18035,3379,13302,2358,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,186391,4047,171983,4457,167223,4834,4760,1442,4019,1255,741,461,14408,3115,5771,1767,8637,2441,5841,1743,2796,1455,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,294872,3034,271430,4556,262753,4232,8677,1738,7777,1778,900,455,23442,3828,8351,1866,15091,3232,9192,2262,5899,1868,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2906407,15963,2287420,16714,2109920,17800,177500,8800,152920,8109,24580,3256,618987,16387,279606,12737,339381,15758,146896,9673,192485,10158,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2874520,11239,2718410,13934,2647905,16514,70505,7876,58390,6570,12115,3165,156110,11467,69086,6593,87024,8591,52008,5400,35016,5430,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,28206,1977,26129,1971,24361,1966,1768,854,1531,822,237,264,2077,883,824,540,1253,755,829,523,424,294,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8482,1813,5808,1513,5392,1507,416,356,416,356,0,193,2674,1707,298,303,2376,1735,920,561,1456,1674,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1710132,7787,1638282,8647,1600643,10496,37639,5280,30730,4530,6909,2359,71850,7239,17311,2849,54539,6377,33260,4229,21279,3795,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,557885,6373,536256,7741,525177,8062,11079,1919,7907,1379,3172,1287,21629,4084,5630,2016,15999,3571,11114,2795,4885,1620,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
