GEO_ID,C08113_001E,C08113_001M,C08113_002E,C08113_002M,C08113_003E,C08113_003M,C08113_004E,C08113_004M,C08113_005E,C08113_005M,C08113_006E,C08113_006M,C08113_007E,C08113_007M,C08113_008E,C08113_008M,C08113_009E,C08113_009M,C08113_010E,C08113_010M,C08113_011E,C08113_011M,C08113_012E,C08113_012M,C08113_013E,C08113_013M,C08113_014E,C08113_014M,C08113_015E,C08113_015M,C08113_016E,C08113_016M,C08113_017E,C08113_017M,C08113_018E,C08113_018M,C08113_019E,C08113_019M,C08113_020E,C08113_020M,C08113_021E,C08113_021M,C08113_022E,C08113_022M,C08113_023E,C08113_023M,C08113_024E,C08113_024M,C08113_025E,C08113_025M,C08113_026E,C08113_026M,C08113_027E,C08113_027M,C08113_028E,C08113_028M,C08113_029E,C08113_029M,C08113_030E,C08113_030M,NAME,C08113_001MA,C08113_001EA,C08113_002MA,C08113_002EA,C08113_003EA,C08113_003MA,C08113_004MA,C08113_004EA,C08113_005MA,C08113_005EA,C08113_006MA,C08113_006EA,C08113_007EA,C08113_007MA,C08113_008EA,C08113_008MA,C08113_009MA,C08113_009EA,C08113_010MA,C08113_010EA,C08113_011EA,C08113_011MA,C08113_012MA,C08113_012EA,C08113_013MA,C08113_013EA,C08113_014EA,C08113_014MA,C08113_015EA,C08113_015MA,C08113_016EA,C08113_016MA,C08113_017EA,C08113_017MA,C08113_018EA,C08113_018MA,C08113_019MA,C08113_019EA,C08113_020EA,C08113_020MA,C08113_021EA,C08113_021MA,C08113_022MA,C08113_022EA,C08113_023EA,C08113_023MA,C08113_024EA,C08113_024MA,C08113_025EA,C08113_025MA,C08113_026MA,C08113_026EA,C08113_027MA,C08113_027EA,C08113_028EA,C08113_028MA,C08113_029MA,C08113_029EA,C08113_030EA,C08113_030MA,state
0400000US01,1983610,17231,1877434,16481,106176,5075,54320,4515,51856,4800,1713067,16092,1630996,15414,82071,4822,45212,4057,36859,3955,169281,7633,153346,7254,15935,2702,5998,1533,9937,2394,9592,1522,9040,1485,552,309,217,168,335,273,41615,3929,36575,3198,5040,1857,1162,511,3878,1861,50055,3837,47477,3561,2578,1266,1731,1029,847,544,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,357776,5366,304035,5644,53741,3569,35429,3023,18312,1965,238572,6380,210699,6042,27873,2814,18966,2440,8907,1348,46463,3762,38861,3633,7602,1695,4901,1310,2701,903,6589,1186,5551,1092,1038,522,740,426,298,276,50781,3871,36628,3564,14153,1285,8943,1089,5210,976,15371,2129,12296,1880,3075,1183,1879,645,1196,928,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2754451,16364,2016529,17123,737922,13231,469616,11551,268306,9294,2100376,17326,1561823,15876,538553,11600,353177,10125,185376,6476,304044,12325,195409,8495,108635,7308,59426,5078,49209,4620,64986,5490,44279,4392,20707,2950,12496,2404,8211,1763,134698,7413,92258,5952,42440,3870,25720,2672,16720,2897,150347,7170,122760,6648,27587,3034,18797,2585,8790,1694,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1223214,12038,1131006,12008,92208,5208,46823,3895,45385,4029,1020341,11819,953335,11488,67006,4546,35212,3295,31794,3923,124069,6716,106094,6118,17975,2764,8119,1698,9856,1805,5803,1288,5181,1113,622,467,313,267,309,382,38412,3101,34248,2984,4164,1239,1784,730,2380,962,34589,3457,32148,3217,2441,966,1395,584,1046,729,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16745843,39207,9281090,37736,7464753,37828,4168873,30889,3295880,31446,12260080,42986,7002719,32566,5257361,35230,3131177,28693,2126184,25033,1825475,24341,769071,16021,1056404,19111,473698,11113,582706,14695,889921,17947,410533,12047,479388,13930,211083,9205,268305,10622,892534,18223,499870,12095,392664,12031,191353,7723,201311,8237,877833,17079,598897,11780,278936,10431,161562,8098,117374,5786,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2577184,15140,2171188,15800,405996,10269,245220,8473,160776,7209,1923952,17524,1637539,17420,286413,9241,180067,7632,106346,6000,250316,8641,183587,7539,66729,4482,33423,3073,33306,3685,86249,4528,68306,3931,17943,2502,9627,1865,8316,1626,139047,5633,120671,5517,18376,2508,10355,1885,8021,1542,177620,7065,161085,6631,16535,2004,11748,1685,4787,1173,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1736156,10689,1358502,12143,377654,8114,223740,7700,153914,7064,1353252,13031,1091460,13606,261792,7715,166440,7240,95352,5452,143902,6763,90260,5322,53642,4712,22886,2720,30756,3948,89137,5194,60058,4352,29079,2844,15147,1983,13932,2690,74736,4683,51587,3609,23149,3265,12426,1994,10723,2149,75129,4216,65137,3791,9992,1724,6841,1357,3151,935,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,423542,6339,368528,6250,55014,4144,34958,3089,20056,2665,340270,7136,300520,6530,39750,3726,26184,2752,13566,2394,38451,3555,30003,2998,8448,1792,4146,1302,4302,1265,14919,2159,12052,2029,2867,853,1891,649,976,559,14056,1969,11744,1934,2312,811,1290,638,1022,584,15846,1986,14209,1923,1637,705,1447,667,190,212,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,330087,4834,265791,5239,64296,3993,44579,3678,19717,2416,106657,5460,87879,4335,18778,2491,13055,2228,5723,1486,17512,2064,13343,1881,4169,869,2479,812,1690,605,127045,5859,103207,5326,23838,2816,15632,2345,8206,1808,64399,4235,49962,3654,14437,2182,11436,2035,3001,855,14474,2265,11400,2007,3074,1045,1977,803,1097,627,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8353263,33034,5868691,31710,2484572,24722,1467157,23375,1017415,20736,6652563,35087,4777525,32551,1875038,22021,1168704,19311,706334,15857,786821,18680,469436,14697,317385,12731,148161,7967,169224,10757,175495,7663,89372,5255,86123,6475,31445,3282,54678,5447,314203,10765,209263,8399,104940,7351,50122,3994,54818,6355,424181,12099,323095,11069,101086,7385,68725,5733,32361,3836,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
