GEO_ID,B08105G_001E,B08105G_001M,B08105G_002E,B08105G_002M,B08105G_003E,B08105G_003M,B08105G_004E,B08105G_004M,B08105G_005E,B08105G_005M,B08105G_006E,B08105G_006M,B08105G_007E,B08105G_007M,NAME,B08105G_001MA,B08105G_001EA,B08105G_002EA,B08105G_002MA,B08105G_003EA,B08105G_003MA,B08105G_004MA,B08105G_004EA,B08105G_005EA,B08105G_005MA,B08105G_006MA,B08105G_006EA,B08105G_007EA,B08105G_007MA,state
0400000US01,19860,2368,15911,2143,1675,696,0,192,221,173,853,692,1200,920,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21131,2633,14550,2337,3370,1152,718,448,896,275,974,507,623,355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,61870,5203,46508,4185,7927,1278,1443,532,1899,794,1308,634,2785,987,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17079,1943,13573,1713,1958,655,186,183,218,261,760,607,384,338,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,563487,12586,402295,9366,63530,4392,35241,4072,17608,2177,14647,1516,30166,2863,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,67448,4514,50148,3770,7671,1469,2557,891,2133,733,1631,646,3308,920,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31368,3557,21082,2504,4791,1380,2475,967,1656,651,683,543,681,360,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6707,1775,5043,1459,1222,909,155,146,184,194,0,189,103,127,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9703,1829,2215,717,577,355,3696,1104,1991,751,764,456,460,260,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,153796,8746,118439,7331,16932,2633,5037,1279,2655,796,3828,1129,6905,1737,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,59554,4344,45117,4128,7509,1556,1213,479,1283,546,1005,587,3427,1153,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,129687,6683,90760,5568,19412,2112,8295,1542,3410,1023,3798,940,4012,906,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11404,2264,8421,1840,1120,532,251,239,281,182,640,670,691,380,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
