GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,NAME,B24082_001MA,B24082_001EA,B24082_002EA,B24082_002MA,B24082_003MA,B24082_003EA,B24082_004MA,B24082_004EA,B24082_005EA,B24082_005MA,B24082_006MA,B24082_006EA,B24082_007EA,B24082_007MA,B24082_008MA,B24082_008EA,B24082_009MA,B24082_009EA,B24082_010EA,B24082_010MA,B24082_011MA,B24082_011EA,B24082_012MA,B24082_012EA,B24082_013EA,B24082_013MA,B24082_014MA,B24082_014EA,B24082_015EA,B24082_015MA,B24082_016EA,B24082_016MA,B24082_017MA,B24082_017EA,B24082_018EA,B24082_018MA,state
0400000US01,36246,481,35636,537,35169,797,51900,6732,36970,2343,36731,1886,42174,3020,71527,1951,23793,3464,24970,518,22108,323,22010,328,35678,8718,27564,2255,32019,3121,37309,2162,50056,3336,14483,2374,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47341,2215,45727,2899,44859,3637,71345,20011,45011,8244,54614,11491,55736,8048,61359,6749,35930,8069,35060,1512,29868,2806,28690,3037,50218,14791,37546,4108,41357,2110,43147,4618,47192,8439,20277,3567,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,35916,394,35075,675,33170,1166,51793,1386,35446,3326,41943,931,42123,1363,53926,3680,25686,1858,27334,372,25903,401,25710,409,35385,3872,34129,2684,32411,1119,35018,1499,49016,3862,15711,1437,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32470,709,32097,503,31601,523,51219,1987,34419,2345,34135,1971,37069,2982,56500,4651,23859,3607,24103,700,22187,473,22097,486,30186,7003,29570,1975,26793,2182,33810,2532,50921,2232,12495,1915,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38354,456,36340,222,35431,241,63156,4667,43291,2154,60656,609,56915,2074,59719,1412,30280,388,29906,311,26943,191,26726,185,38354,3111,38173,1164,41038,589,40380,913,54211,1737,17434,537,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41507,336,40919,407,40166,521,53426,4110,44110,2676,50763,1159,44730,3003,61118,2449,29838,3823,29616,668,27427,473,27206,379,35796,2985,32909,1630,35487,928,40314,1786,50384,2369,16387,1181,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50091,683,48809,1585,47162,970,72480,8533,47247,4240,60616,1694,60876,4761,62029,5984,36741,3140,33665,1080,30969,411,30963,428,31161,3127,39919,1826,45793,2518,53901,3071,56164,4587,20524,1245,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41083,813,41178,969,40582,1068,56732,7374,39829,4142,46950,7319,41376,4851,56051,3632,22369,6627,30778,545,28392,1693,27901,1620,45713,12691,35285,3211,34948,9512,40188,4292,51106,9301,16007,2785,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,56619,1767,50444,2449,48814,4181,120596,40727,56721,3895,54552,6664,48302,14277,92201,3560,29647,14722,49563,1778,40774,1194,40537,1290,57406,17120,50493,1965,54848,6920,50582,5637,78624,2643,24383,8453,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,32010,204,31251,208,30537,230,46624,1518,37460,2094,42968,1596,40540,832,58469,2680,22017,543,26219,200,25040,260,24791,346,31423,784,31175,508,36383,576,35022,1399,47450,4247,14387,939,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,36297,358,35993,450,35334,470,50462,2431,39417,3202,38631,1660,38610,2520,57752,4083,24356,1729,26522,295,24746,497,24455,531,32179,2771,31185,818,32410,1525,35073,1802,46975,2425,15376,1259,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,40171,949,35890,1031,35490,1149,42497,12055,46420,8352,49959,4347,43635,3026,62403,3259,30754,2217,30381,572,26842,804,26585,762,38696,9731,35445,4196,35751,3782,40288,1833,46901,4017,18075,2625,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,33623,1585,32169,603,31520,587,46856,3999,31243,2439,40664,2233,43028,3223,51710,2825,31269,1138,21908,485,20532,581,20526,600,20711,4447,28606,2367,24383,2378,32013,2464,36612,10932,13988,2653,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41747,208,41208,232,40724,257,55279,4675,40406,1121,56275,1412,51979,1291,58926,3226,30914,661,29396,463,26886,236,26729,243,32374,3810,34434,990,38117,1502,39271,1563,51096,1418,16898,742,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,38130,774,37865,896,37248,411,50441,2160,36480,1494,43686,2047,37459,3209,59641,3293,27361,3532,25321,298,23935,560,23812,569,27133,3087,29343,1594,30256,1042,34107,2125,41861,3604,13875,1444,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
