GEO_ID,B05003B_001E,B05003B_001M,B05003B_002E,B05003B_002M,B05003B_003E,B05003B_003M,B05003B_004E,B05003B_004M,B05003B_005E,B05003B_005M,B05003B_006E,B05003B_006M,B05003B_007E,B05003B_007M,B05003B_008E,B05003B_008M,B05003B_009E,B05003B_009M,B05003B_010E,B05003B_010M,B05003B_011E,B05003B_011M,B05003B_012E,B05003B_012M,B05003B_013E,B05003B_013M,B05003B_014E,B05003B_014M,B05003B_015E,B05003B_015M,B05003B_016E,B05003B_016M,B05003B_017E,B05003B_017M,B05003B_018E,B05003B_018M,B05003B_019E,B05003B_019M,B05003B_020E,B05003B_020M,B05003B_021E,B05003B_021M,B05003B_022E,B05003B_022M,B05003B_023E,B05003B_023M,NAME,B05003B_001MA,B05003B_001EA,B05003B_002MA,B05003B_002EA,B05003B_003MA,B05003B_003EA,B05003B_004EA,B05003B_004MA,B05003B_005EA,B05003B_005MA,B05003B_006MA,B05003B_006EA,B05003B_007MA,B05003B_007EA,B05003B_008MA,B05003B_008EA,B05003B_009EA,B05003B_009MA,B05003B_010EA,B05003B_010MA,B05003B_011MA,B05003B_011EA,B05003B_012MA,B05003B_012EA,B05003B_013MA,B05003B_013EA,B05003B_014EA,B05003B_014MA,B05003B_015EA,B05003B_015MA,B05003B_016EA,B05003B_016MA,B05003B_017MA,B05003B_017EA,B05003B_018EA,B05003B_018MA,B05003B_019MA,B05003B_019EA,B05003B_020EA,B05003B_020MA,B05003B_021EA,B05003B_021MA,B05003B_022MA,B05003B_022EA,B05003B_023MA,B05003B_023EA,state
0400000US01,1284102,5822,596857,4665,166628,3229,166127,3358,501,447,105,128,396,426,430229,2988,424507,3280,5722,1623,3046,1006,2676,1330,687245,4533,165757,3222,165369,3304,388,404,192,242,196,322,521488,2624,517120,3027,4368,1430,2011,765,2357,1022,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25077,1949,14196,1299,2650,806,2377,783,273,387,261,383,12,40,11546,970,10220,1022,1326,637,863,445,463,426,10881,1181,4396,723,4131,727,265,244,200,223,65,85,6485,846,5485,913,1000,640,253,255,747,639,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,277973,5853,146735,3795,39230,2539,36904,2632,2326,888,737,468,1589,830,107505,2315,94465,3381,13040,2419,5563,1157,7477,2248,131238,3525,36450,2598,32842,2537,3608,1261,1428,751,2180,1037,94788,1737,83675,2892,11113,2252,4193,986,6920,1976,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,463928,4170,227656,3625,72346,2826,72278,2828,68,77,9,20,59,73,155310,2283,154199,2311,1111,441,542,311,569,294,236272,3386,59516,2416,59475,2406,41,59,8,17,33,56,176756,2091,175775,2162,981,395,395,253,586,312,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2269021,12513,1117770,7942,265827,5510,259662,5761,6165,1789,2221,961,3944,1564,851943,5172,777387,7545,74556,6033,42359,3602,32197,3978,1151251,7868,260510,4683,256228,4955,4282,1521,1535,681,2747,1294,890741,5836,815395,7163,75346,4892,46142,3626,29204,3080,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,209555,5662,112699,3655,27595,1972,25793,2138,1802,1020,359,217,1443,1015,85104,2840,72119,3402,12985,2332,6438,1582,6547,1608,96856,3526,25976,2190,23861,2327,2115,1101,467,411,1648,1125,70880,2262,58878,2644,12002,2189,4901,1349,7101,1499,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,370998,6001,178281,4193,49419,2405,47220,2440,2199,885,975,514,1224,720,128862,3304,98560,3597,30302,3187,16815,2340,13487,2527,192717,3533,45897,2104,43135,2125,2762,863,712,468,2050,799,146820,2529,105330,3712,41490,3783,23661,2769,17829,2662,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,200249,4547,94155,2912,27249,2162,26746,2141,503,422,95,107,408,405,66906,1661,60613,1877,6293,1273,3819,997,2474,954,106094,2614,25714,1873,25260,1911,454,380,284,267,170,296,80380,1202,73222,2252,7158,1945,3721,1078,3437,1253,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,315504,3335,142500,2199,33365,1329,32693,1398,672,432,317,302,355,306,109135,1318,98369,2229,10766,2104,5661,1327,5105,1448,173004,1526,33816,652,33062,921,754,574,50,81,704,566,139188,1431,127699,2303,11489,2108,6101,1497,5388,1379,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3141552,17438,1511856,9451,437109,6342,421002,6658,16107,2586,5104,1618,11003,1993,1074747,6101,811650,9384,263097,9213,150609,6277,112488,6304,1629696,11331,414100,6991,393551,7003,20549,2540,5072,1196,15477,2455,1215596,7056,894776,10377,320820,9746,192587,8594,128233,6675,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
