GEO_ID,C01001B_001E,C01001B_001M,C01001B_002E,C01001B_002M,C01001B_003E,C01001B_003M,C01001B_004E,C01001B_004M,C01001B_005E,C01001B_005M,C01001B_006E,C01001B_006M,C01001B_007E,C01001B_007M,C01001B_008E,C01001B_008M,C01001B_009E,C01001B_009M,NAME,C01001B_001MA,C01001B_001EA,C01001B_002EA,C01001B_002MA,C01001B_003EA,C01001B_003MA,C01001B_004EA,C01001B_004MA,C01001B_005MA,C01001B_005EA,C01001B_006EA,C01001B_006MA,C01001B_007EA,C01001B_007MA,C01001B_008MA,C01001B_008EA,C01001B_009EA,C01001B_009MA,state
0400000US01,1284102,5822,596857,4665,166628,3229,379752,3032,50477,1198,687245,4533,165757,3222,442998,2473,78490,1128,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25077,1949,14196,1299,2650,806,10898,1048,648,327,10881,1181,4396,723,5973,767,512,333,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,277973,5853,146735,3795,39230,2539,98233,2426,9272,683,131238,3525,36450,2598,84239,1841,10549,693,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,463928,4170,227656,3625,72346,2826,138379,2267,16931,816,236272,3386,59516,2416,152145,2044,24611,1113,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2269021,12513,1117770,7942,265827,5510,746491,5248,105452,1608,1151251,7868,260510,4683,748726,5509,142015,1836,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,209555,5662,112699,3655,27595,1972,77812,2892,7292,497,96856,3526,25976,2190,61373,2254,9507,545,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,370998,6001,178281,4193,49419,2405,115542,3150,13320,491,192717,3533,45897,2104,126061,2486,20759,643,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,200249,4547,94155,2912,27249,2162,58782,1601,8124,168,106094,2614,25714,1873,68918,1126,11462,298,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,315504,3335,142500,2199,33365,1329,92713,1321,16422,90,173004,1526,33816,652,111406,1295,27782,490,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3141552,17438,1511856,9451,437109,6342,952504,5950,122243,2383,1629696,11331,414100,6991,1041611,6705,173985,2522,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3095976,12306,1456358,7716,431480,6249,925648,4820,99230,2002,1639618,8603,414539,5469,1068495,4839,156584,2130,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30306,2164,19515,1554,3725,567,14794,1325,996,411,10791,1100,3011,665,7243,756,537,251,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9097,1768,5838,1726,1963,1231,3582,1145,293,438,3259,1156,1456,716,1711,727,92,104,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1833560,8800,856948,5920,241445,3988,538853,3547,76650,1128,976612,5990,237076,3979,620350,3677,119186,1127,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,603521,7160,289932,4658,88775,3246,178987,2836,22170,1192,313589,4816,84745,3242,196822,2762,32022,1020,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,102430,3161,52449,2192,19172,1705,31504,1342,1773,436,49981,1960,17221,1466,30213,1352,2547,335,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,168246,4206,83839,2928,23300,1729,55185,2189,5354,514,84407,2660,22806,1788,53206,1707,8395,693,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,350164,6420,172575,4862,48756,2915,110374,3205,13445,926,177589,4165,43178,2610,115247,2476,19164,1171,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1492915,6267,704902,3967,209152,3225,440972,2741,54778,1417,788013,5543,211134,4019,494184,2658,82695,1501,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13617,1258,8497,1101,2678,665,5578,926,241,161,5120,781,1796,416,3151,675,173,191,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
