GEO_ID,B09010_001E,B09010_001M,B09010_002E,B09010_002M,B09010_003E,B09010_003M,B09010_004E,B09010_004M,B09010_005E,B09010_005M,B09010_006E,B09010_006M,B09010_007E,B09010_007M,B09010_008E,B09010_008M,B09010_009E,B09010_009M,B09010_010E,B09010_010M,B09010_011E,B09010_011M,B09010_012E,B09010_012M,B09010_013E,B09010_013M,NAME,B09010_001MA,B09010_001EA,B09010_002EA,B09010_002MA,B09010_003MA,B09010_003EA,B09010_004MA,B09010_004EA,B09010_005MA,B09010_005EA,B09010_006MA,B09010_006EA,B09010_007EA,B09010_007MA,B09010_008MA,B09010_008EA,B09010_009MA,B09010_009EA,B09010_010EA,B09010_010MA,B09010_011MA,B09010_011EA,B09010_012EA,B09010_012MA,B09010_013EA,B09010_013MA,state
0400000US01,1107267,2845,368814,10267,364697,10122,114338,8242,26163,3912,224196,9157,4117,1636,738453,10225,735346,10160,544958,12106,48228,5924,142160,8588,3107,1068,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,187795,833,43866,3642,43466,3682,21818,3486,7254,2415,14394,2258,400,417,143929,3612,142809,3703,111947,5076,11976,2396,18886,2594,1120,873,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1611890,1152,527255,15877,523709,15894,229157,14312,52504,6722,242048,12371,3546,1528,1084635,15767,1077430,15837,791005,16110,92982,9243,193443,11315,7205,2156,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,707660,2448,235016,10326,233107,10345,97562,7650,23113,4053,112432,7007,1909,1027,472644,9683,468648,9805,349844,9412,34467,4903,84337,6973,3996,1440,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9148924,3072,2514680,36675,2492146,36614,1158615,28132,277828,14296,1055703,26765,22534,4821,6634244,37057,6599028,37394,4965566,39447,516796,18888,1116666,24162,35216,4530,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1238697,3193,257363,11697,255041,11379,118119,9205,20036,2983,116886,8960,2322,1062,981334,12016,975824,12115,754776,12553,68528,6605,152520,9030,5510,1224,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,783006,1158,171365,8181,169728,8145,49425,5331,13780,2736,106523,7479,1637,821,611641,8139,609147,8054,478939,10008,33398,4134,96810,7005,2494,855,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,203150,471,65400,5459,65137,5497,21957,3817,5596,2339,37584,4586,263,243,137750,5389,137014,5379,102380,5603,12586,3094,22048,3045,736,478,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110603,500,45038,3708,44561,3630,7459,1862,3921,1380,33181,3717,477,509,65565,3803,65038,3828,42620,3404,6325,1942,16093,2456,527,378,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4016500,2481,1324218,25317,1308933,24707,530278,19250,120255,9789,658400,24075,15285,4005,2692282,25429,2669565,25460,1916293,27820,207715,12972,545557,18002,22717,4052,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2486103,3743,823237,20113,815765,19483,293689,15676,79302,9751,442774,17494,7472,2462,1662866,20127,1654317,20331,1224850,21036,115523,10097,313944,13598,8549,1637,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,305851,1176,79281,5623,78859,5633,38527,4903,10606,2860,29726,4750,422,294,226570,5697,224800,5557,180130,6683,14619,2642,30051,3907,1770,843,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,425324,1362,117275,9014,116784,9028,63459,6707,16370,5644,36955,4888,491,372,308049,9211,307016,9049,252206,9139,18707,2998,36103,4924,1033,540,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3015143,2597,850919,20212,843884,20107,333407,16703,89438,8976,421039,16912,7035,1681,2164224,20102,2152055,20287,1690432,21238,135245,8193,326378,12407,12169,2053,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1583022,2860,443168,15320,436561,15414,170422,9454,45779,5762,220360,10630,6607,1857,1139854,14696,1128906,14560,876019,15256,76922,6622,175965,11049,10948,2624,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,720969,2061,185900,7659,184171,7623,72932,5547,20418,3172,90821,5746,1729,652,535069,7263,530905,7353,429391,7884,39773,4276,61741,4907,4164,1185,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,718695,2214,158996,7922,157583,8070,69093,6807,13295,3155,75195,7048,1413,636,559699,7831,557544,7722,439851,7364,37954,5161,79739,6237,2155,737,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
