GEO_ID,B07009_001E,B07009_001M,B07009_002E,B07009_002M,B07009_003E,B07009_003M,B07009_004E,B07009_004M,B07009_005E,B07009_005M,B07009_006E,B07009_006M,B07009_007E,B07009_007M,B07009_008E,B07009_008M,B07009_009E,B07009_009M,B07009_010E,B07009_010M,B07009_011E,B07009_011M,B07009_012E,B07009_012M,B07009_013E,B07009_013M,B07009_014E,B07009_014M,B07009_015E,B07009_015M,B07009_016E,B07009_016M,B07009_017E,B07009_017M,B07009_018E,B07009_018M,B07009_019E,B07009_019M,B07009_020E,B07009_020M,B07009_021E,B07009_021M,B07009_022E,B07009_022M,B07009_023E,B07009_023M,B07009_024E,B07009_024M,B07009_025E,B07009_025M,B07009_026E,B07009_026M,B07009_027E,B07009_027M,B07009_028E,B07009_028M,B07009_029E,B07009_029M,B07009_030E,B07009_030M,B07009_031E,B07009_031M,B07009_032E,B07009_032M,B07009_033E,B07009_033M,B07009_034E,B07009_034M,B07009_035E,B07009_035M,B07009_036E,B07009_036M,NAME,B07009_001EA,B07009_001MA,B07009_002EA,B07009_002MA,B07009_003EA,B07009_003MA,B07009_004MA,B07009_004EA,B07009_005MA,B07009_005EA,B07009_006EA,B07009_006MA,B07009_007EA,B07009_007MA,B07009_008EA,B07009_008MA,B07009_009MA,B07009_009EA,B07009_010MA,B07009_010EA,B07009_011MA,B07009_011EA,B07009_012EA,B07009_012MA,B07009_013EA,B07009_013MA,B07009_014MA,B07009_014EA,B07009_015MA,B07009_015EA,B07009_016MA,B07009_016EA,B07009_017EA,B07009_017MA,B07009_018MA,B07009_018EA,B07009_019MA,B07009_019EA,B07009_020MA,B07009_020EA,B07009_021MA,B07009_021EA,B07009_022MA,B07009_022EA,B07009_023EA,B07009_023MA,B07009_024MA,B07009_024EA,B07009_025MA,B07009_025EA,B07009_026MA,B07009_026EA,B07009_027MA,B07009_027EA,B07009_028MA,B07009_028EA,B07009_029MA,B07009_029EA,B07009_030EA,B07009_030MA,B07009_031EA,B07009_031MA,B07009_032MA,B07009_032EA,B07009_033MA,B07009_033EA,B07009_034EA,B07009_034MA,B07009_035EA,B07009_035MA,B07009_036EA,B07009_036MA,state
0400000US01,3225447,5448,498648,11199,1001134,14815,968712,12845,476016,11067,280937,8325,2826859,11150,430746,10872,885105,12921,845173,12204,416985,10500,248850,8091,242830,9466,44432,3939,75209,5715,75769,4430,32538,4133,14882,2234,87736,4900,16267,1962,25671,2766,26393,2913,13363,2089,6042,1403,58901,4661,5405,1149,13037,2530,18906,2324,11621,2296,9932,1860,9121,2031,1798,710,2112,818,2471,917,1509,590,1231,581,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,462659,1764,38677,2519,129029,4752,165540,4573,84038,4340,45375,3058,386174,5172,31655,2246,109660,4656,136488,4278,70862,4431,37509,2765,43487,4351,3546,786,12751,2170,17663,2632,6421,1350,3106,653,10356,1759,1586,783,2625,676,3572,900,1777,538,796,454,18491,2649,1134,891,2898,1062,6709,1294,4553,1282,3197,1051,4151,1183,756,600,1095,499,1108,567,425,242,767,684,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4344737,3583,612204,13203,1079149,14393,1464943,14856,741982,11809,446459,11323,3641409,18701,512257,12909,905976,15975,1222751,14379,619141,10623,381284,10404,451311,14543,69686,6092,114326,6698,157750,8615,75345,4525,34204,2821,69728,5497,10698,1716,18697,2407,26033,3124,9770,1618,4530,917,153654,7981,12479,2370,33530,3197,51930,4165,32520,3348,23195,2784,28635,3131,7084,1461,6620,1168,6479,1458,5206,1496,3246,939,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1960503,4652,305438,8434,691814,10847,559314,11801,262755,8175,141182,5967,1723020,10919,267758,7924,612685,10322,486326,10749,231242,7793,125009,5509,138931,7860,22427,3050,46765,4051,43826,4187,17245,2348,8668,1750,54959,4927,8849,1696,20255,3022,16367,2313,6804,1489,2684,771,37888,4126,5178,1277,10455,2208,12257,1990,6255,1455,3743,1031,5705,1557,1226,635,1654,848,538,300,1209,857,1078,585,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25147232,5443,4608007,33639,5228893,38304,7504598,43011,4905468,31636,2900266,25455,21771642,35020,4052364,33266,4563384,33799,6490908,38642,4193906,30454,2471080,23834,2249843,32301,412351,13795,469613,12364,702022,18607,427251,11550,238606,9023,642301,14295,88901,4968,123176,6658,200987,9557,142486,7209,86751,4677,302702,11316,23882,3140,45009,3977,79527,5438,86521,4909,67763,4776,180744,9582,30509,3702,27711,3274,31154,3046,55304,4196,36066,4306,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3514235,4596,332384,9170,761103,12648,1092467,13552,837913,11378,490368,10278,2926280,15038,277595,8257,639768,11720,908327,13614,683529,12046,417061,9554,294468,12818,29251,3572,66239,5323,94999,6840,71431,5374,32548,3286,153100,7594,15071,2012,30389,3071,49017,4260,41103,3819,17520,2095,120506,7976,7924,1691,21107,2779,34232,3288,37375,3540,19868,2065,19881,2490,2543,760,3600,1078,5892,1642,4475,1086,3371,891,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2465315,2243,254990,9172,673455,11612,619416,11669,508487,10447,408967,9885,2194285,9934,223837,8704,602775,11236,552590,11007,449885,10373,365198,9494,162790,7853,22807,2701,45965,3679,42531,3768,32171,2997,19316,2607,41396,3587,3774,1100,11840,2031,10450,1913,8779,1644,6553,1294,53656,4539,2712,1036,10108,2397,11334,1866,15045,2054,14457,2045,13188,2021,1860,679,2767,1103,2511,779,2607,927,3443,1025,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,629730,1121,73547,4252,196726,5342,172072,5904,108075,5152,79310,3249,559079,5425,61765,3925,177085,5292,154332,6208,96255,4935,69642,3226,40459,3752,6927,1561,12347,2043,10647,1860,6249,1589,4289,1092,5361,1231,1213,429,1976,716,1179,446,437,309,556,491,21515,2981,2819,1027,5040,1246,5689,1223,4226,1145,3741,1195,3316,914,823,522,278,243,225,230,908,606,1082,552,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,453014,428,44846,3643,84220,3589,74342,3536,102958,5690,146648,5412,376292,3966,39630,3374,74295,3745,63824,3449,81645,5260,116898,4910,43351,3722,3962,974,7346,1431,7502,1413,10405,1779,14136,2136,0,203,0,203,0,203,0,203,0,203,0,203,26590,2484,1124,476,2196,931,2817,708,8814,1505,11639,1662,6781,1417,130,132,383,282,199,164,2094,788,3975,1088,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13726996,7120,1807169,22937,4042708,31787,4142944,29423,2409162,26123,1325013,20465,11748144,36563,1516159,19572,3489811,31238,3536213,31968,2067303,23942,1138658,19959,1139050,24974,177832,9501,332446,13176,356946,13535,182621,8361,89205,5523,362879,14682,57373,5862,102969,7204,110359,7613,60674,5218,31504,3786,356252,12967,31188,3517,89541,6181,112371,6380,72703,5398,50449,3927,120671,8271,24617,3397,27941,3202,27055,3971,25861,3146,15197,2820,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
