B16005_035M,B16005_036E,B16005_036M,B16005_037E,B16005_037M,B16005_038E,B16005_038M,B16005_039E,B16005_039M,B16005_040E,B16005_040M,B16005_041E,B16005_041M,B16005_042E,B16005_042M,B16005_043E,B16005_043M,B16005_044E,B16005_044M,B16005_045E,B16005_045M,GEO_ID,B16005_001E,B16005_001M,B16005_002E,B16005_002M,B16005_003E,B16005_003M,B16005_004E,B16005_004M,B16005_005E,B16005_005M,B16005_006E,B16005_006M,B16005_007E,B16005_007M,B16005_008E,B16005_008M,B16005_009E,B16005_009M,B16005_010E,B16005_010M,B16005_011E,B16005_011M,B16005_012E,B16005_012M,B16005_013E,B16005_013M,B16005_014E,B16005_014M,B16005_015E,B16005_015M,B16005_016E,B16005_016M,B16005_017E,B16005_017M,B16005_018E,B16005_018M,B16005_019E,B16005_019M,B16005_020E,B16005_020M,B16005_021E,B16005_021M,B16005_022E,B16005_022M,B16005_023E,B16005_023M,B16005_024E,B16005_024M,B16005_025E,B16005_025M,B16005_026E,B16005_026M,B16005_027E,B16005_027M,B16005_028E,B16005_028M,B16005_029E,B16005_029M,B16005_030E,B16005_030M,B16005_031E,B16005_031M,B16005_032E,B16005_032M,B16005_033E,B16005_033M,B16005_034E,B16005_034M,B16005_035E,B16005_035MA,B16005_036EA,B16005_036MA,B16005_037EA,B16005_037MA,B16005_038EA,B16005_038MA,B16005_039EA,B16005_039MA,B16005_040MA,B16005_040EA,B16005_041EA,B16005_041MA,B16005_042EA,B16005_042MA,B16005_043EA,B16005_043MA,B16005_044EA,B16005_044MA,B16005_045MA,B16005_045EA,NAME,B16005_001MA,B16005_001EA,B16005_002MA,B16005_002EA,B16005_003MA,B16005_003EA,B16005_004EA,B16005_004MA,B16005_005MA,B16005_005EA,B16005_006EA,B16005_006MA,B16005_007MA,B16005_007EA,B16005_008EA,B16005_008MA,B16005_009EA,B16005_009MA,B16005_010EA,B16005_010MA,B16005_011EA,B16005_011MA,B16005_012MA,B16005_012EA,B16005_013EA,B16005_013MA,B16005_014EA,B16005_014MA,B16005_015EA,B16005_015MA,B16005_016EA,B16005_016MA,B16005_017EA,B16005_017MA,B16005_018MA,B16005_018EA,B16005_019EA,B16005_019MA,B16005_020EA,B16005_020MA,B16005_021MA,B16005_021EA,B16005_022EA,B16005_022MA,B16005_023MA,B16005_023EA,B16005_024EA,B16005_024MA,B16005_025EA,B16005_025MA,B16005_026EA,B16005_026MA,B16005_027MA,B16005_027EA,B16005_028EA,B16005_028MA,B16005_029MA,B16005_029EA,B16005_030MA,B16005_030EA,B16005_031EA,B16005_031MA,B16005_032EA,B16005_032MA,B16005_033MA,B16005_033EA,B16005_034EA,B16005_034MA,B16005_035EA,state
353,27355,2743,12885,2037,8592,1632,4411,1118,1467,574,9036,2796,4669,1717,2090,980,1335,1194,942,669,0400000US01,4541368,2912,4379931,7644,4275842,9263,71613,5065,53665,5153,12696,2554,4795,999,457,386,16935,2521,13682,1970,2236,1115,888,463,129,211,9651,1887,7335,1587,1367,821,372,347,577,598,5890,2762,5301,2743,312,300,277,232,0,192,161437,7789,33820,3508,71926,5540,21237,3232,17701,2690,23366,3435,9622,2425,19300,2711,13326,2240,3955,1236,1619,704,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
488,24515,2806,8666,1520,8396,1277,6746,2678,707,390,1450,765,1058,670,390,378,2,6,0,147,0400000US02,680427,1049,629756,3363,564776,5170,13788,2105,13323,2110,353,230,85,95,27,38,7582,1678,7095,1653,393,210,94,118,0,147,9444,1901,6435,1673,2065,910,944,553,0,147,34166,2414,28564,2149,4501,934,1064,349,37,43,50671,3414,10249,1520,6579,1452,2866,762,2367,799,1037,548,309,343,7878,1920,5061,1239,1821,694,580,453,416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
585,93782,5417,45868,3837,25677,2758,16968,2200,5269,1375,37291,6749,19605,3965,8215,1981,6225,2344,3246,1697,0400000US04,6196543,887,5304632,18835,4391566,23524,720494,13023,630709,12856,63369,4318,21939,2736,4477,1313,47907,4416,44774,4241,2076,608,1011,408,46,75,25738,2505,22180,2367,2421,752,1097,481,40,69,118927,5081,95279,4889,13893,1600,6921,890,2834,511,891911,18700,144111,7327,546343,13831,185052,9491,110954,6700,145140,7335,105197,6864,70384,4472,52729,3736,12000,1891,4348,1131,1307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
150,18112,2562,8058,1531,5155,1037,4113,1204,786,342,3959,1704,2569,1482,1012,714,378,428,0,192,0400000US05,2769171,2391,2636713,5966,2550484,8676,67161,5253,53272,4711,9013,1922,4750,1362,126,155,11144,3093,9151,2838,1624,803,369,315,0,192,5154,1327,2709,857,1161,625,1048,886,236,304,2770,1285,2192,1141,139,243,365,356,74,90,132458,5314,28456,3539,72393,4375,19522,2888,21027,2605,20936,3207,10908,2247,9538,2005,6570,1649,2148,998,710,548,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
5955,2677991,24333,1133158,19579,780091,15203,565931,13096,198811,8507,255978,16190,147737,11712,64689,5168,29297,3854,14255,2785,0400000US06,35831956,3033,25564561,52918,19098143,52185,5172018,38829,4401684,39833,583907,12435,156040,6126,30387,3307,430275,12070,390799,11419,27536,3225,10818,1570,1122,725,767281,15142,633266,14393,96724,4982,34749,3672,2542,795,96844,8018,86989,7861,6677,1546,2903,1154,275,181,10267395,53292,1032856,17937,5150436,37827,1464165,20262,1194768,21593,1527100,23203,964403,19654,1150134,21571,679550,15307,260192,10614,147898,6857,62494,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
489,69969,3567,30438,2361,22982,2276,11222,1620,5327,1377,27961,4957,12455,2528,10192,3007,4325,1685,989,664,0400000US08,4934794,2520,4436886,11741,4025857,16543,328690,11858,272428,10486,39766,3884,15201,1934,1295,727,45555,3855,41425,3796,2748,769,1360,546,22,37,28185,2950,23841,2609,3338,922,964,524,42,75,8599,1932,7235,1615,1201,605,163,185,0,195,497908,11444,83183,4849,249134,8674,87243,5744,65099,3671,71331,4771,25461,3718,67661,5010,45052,3763,14661,2097,6844,1673,1104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
903,63809,4602,30746,2728,22897,3053,8375,1892,1791,879,15722,3433,9928,2598,4451,1746,1137,506,206,197,0400000US09,3405334,868,2908729,12783,2553656,12667,247686,8548,186497,7599,31364,3148,22578,2533,7247,1235,84349,5154,74650,5181,7140,1466,2470,627,89,141,15701,2016,14098,1915,903,432,700,309,0,201,7337,2264,6488,2137,329,231,520,385,0,201,496605,12800,118109,6701,140823,7383,42614,4395,41955,3527,40584,4626,15670,3038,158142,8376,88179,6146,46055,3728,20578,2411,3330,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
286,13970,1958,8001,1446,4158,1171,1272,576,539,446,4691,1390,3747,1223,329,202,431,378,184,219,0400000US10,869514,423,793113,4493,746277,5311,33036,3195,25204,2735,4535,1076,2610,882,687,600,8435,1669,6813,1296,1107,686,469,300,46,76,4343,1260,4257,1236,86,137,0,189,0,189,1022,560,1022,560,0,189,0,189,0,189,76401,4389,17880,2908,21797,2759,5727,1395,4682,1606,8652,1849,2736,935,18063,3045,11815,2301,4821,1206,1190,701,237,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
460,9818,1654,5122,1196,3097,1030,1211,742,388,395,11522,2421,7759,1797,3098,1268,603,458,62,102,0400000US11,605388,270,513573,5398,472091,6083,23691,2428,20868,2435,2608,948,215,158,0,203,10502,1986,9849,1771,607,520,46,77,0,203,4665,870,4306,870,270,260,89,121,0,203,2624,886,2198,764,343,350,83,133,0,203,91815,5389,24937,3253,29404,2877,13911,2085,6079,1389,7360,1728,2054,779,16134,2808,11157,2005,3473,1128,940,409,564,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
3607,226986,9244,112095,7334,63792,4976,38544,4316,12555,2760,65731,6327,39779,4735,18856,3399,6315,1499,781,576,0400000US12,18478811,3217,14696750,37854,12637008,37875,1685727,26993,1361530,23919,196945,9398,94792,6187,32460,5398,289041,12701,255335,11079,24316,3271,8106,1607,1284,1127,53131,4675,43893,3838,5804,1465,3310,1069,124,129,31843,4684,28914,4409,2145,868,784,677,0,218,3782061,37276,774837,21578,2078774,24284,757058,16397,464425,10317,477843,12984,379448,14330,635733,20152,344144,14438,173236,9160,90823,6953,27530,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
