GEO_ID,C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,NAME,C15010I_001MA,C15010I_001EA,C15010I_002EA,C15010I_002MA,C15010I_003EA,C15010I_003MA,C15010I_004EA,C15010I_004MA,C15010I_005MA,C15010I_005EA,C15010I_006EA,C15010I_006MA,state
0400000US01,12415,2194,4942,1558,1539,747,2675,929,1202,515,2057,734,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5025,1047,1557,732,486,400,721,368,669,443,1592,575,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,108648,5914,34760,3102,8874,1842,24271,3075,18783,2495,21960,2539,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7418,1676,2674,1186,464,333,2024,727,1462,795,794,448,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,904723,15359,317596,9345,65349,4347,191454,7373,78706,4811,251618,8081,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,75069,4673,28059,2874,4830,1141,17229,1908,7223,1267,17728,1905,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42009,3928,15801,2205,2954,833,9526,1975,3693,977,10035,1473,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6379,1384,2559,824,50,79,1645,578,799,495,1326,782,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21770,2076,11831,1980,864,608,2354,878,911,525,5810,1413,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,637738,12371,204361,7451,63252,5841,178282,7611,77636,5496,114207,6307,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,58629,4664,21395,2944,5082,1372,14340,2164,5331,1372,12481,2032,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13631,1880,5418,1268,1210,617,2903,999,1223,507,2877,971,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9270,2009,4183,1035,532,441,1345,963,1340,633,1870,963,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,143015,6893,47246,3690,12081,1957,35329,3444,15084,1942,33275,3010,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,23120,2574,6406,1342,2898,945,6433,1613,2809,950,4574,1129,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,8948,1773,3219,950,607,298,1367,618,1209,701,2546,936,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
