B27021_051M,B27021_052E,B27021_052M,B27021_053E,B27021_053M,GEO_ID,B27021_001E,B27021_001M,B27021_002E,B27021_002M,B27021_003E,B27021_003M,B27021_004E,B27021_004M,B27021_005E,B27021_005M,B27021_006E,B27021_006M,B27021_007E,B27021_007M,B27021_008E,B27021_008M,B27021_009E,B27021_009M,B27021_010E,B27021_010M,B27021_011E,B27021_011M,B27021_012E,B27021_012M,B27021_013E,B27021_013M,B27021_014E,B27021_014M,B27021_015E,B27021_015M,B27021_016E,B27021_016M,B27021_017E,B27021_017M,B27021_018E,B27021_018M,B27021_019E,B27021_019M,B27021_020E,B27021_020M,B27021_021E,B27021_021M,B27021_022E,B27021_022M,B27021_023E,B27021_023M,B27021_024E,B27021_024M,B27021_025E,B27021_025M,B27021_026E,B27021_026M,B27021_027E,B27021_027M,B27021_028E,B27021_028M,B27021_029E,B27021_029M,B27021_030E,B27021_030M,B27021_031E,B27021_031M,B27021_032E,B27021_032M,B27021_033E,B27021_033M,B27021_034E,B27021_034M,B27021_035E,B27021_035M,B27021_036E,B27021_036M,B27021_037E,B27021_037M,B27021_038E,B27021_038M,B27021_039E,B27021_039M,B27021_040E,B27021_040M,B27021_041E,B27021_041M,B27021_042E,B27021_042M,B27021_043E,B27021_043M,B27021_044E,B27021_044M,B27021_045E,B27021_045M,B27021_046E,B27021_046M,B27021_047E,B27021_047M,B27021_048E,B27021_048M,B27021_049E,B27021_049M,B27021_050E,B27021_050M,B27021_051E,B27021_051MA,B27021_052MA,B27021_052EA,B27021_053MA,B27021_053EA,NAME,B27021_001MA,B27021_001EA,B27021_002EA,B27021_002MA,B27021_003EA,B27021_003MA,B27021_004EA,B27021_004MA,B27021_005EA,B27021_005MA,B27021_006MA,B27021_006EA,B27021_007MA,B27021_007EA,B27021_008MA,B27021_008EA,B27021_009EA,B27021_009MA,B27021_010EA,B27021_010MA,B27021_011MA,B27021_011EA,B27021_012MA,B27021_012EA,B27021_013EA,B27021_013MA,B27021_014MA,B27021_014EA,B27021_015EA,B27021_015MA,B27021_016MA,B27021_016EA,B27021_017EA,B27021_017MA,B27021_018MA,B27021_018EA,B27021_019MA,B27021_019EA,B27021_020EA,B27021_020MA,B27021_021MA,B27021_021EA,B27021_022EA,B27021_022MA,B27021_023MA,B27021_023EA,B27021_024EA,B27021_024MA,B27021_025EA,B27021_025MA,B27021_026MA,B27021_026EA,B27021_027EA,B27021_027MA,B27021_028MA,B27021_028EA,B27021_029MA,B27021_029EA,B27021_030EA,B27021_030MA,B27021_031MA,B27021_031EA,B27021_032EA,B27021_032MA,B27021_033EA,B27021_033MA,B27021_034MA,B27021_034EA,B27021_035EA,B27021_035MA,B27021_036MA,B27021_036EA,B27021_037EA,B27021_037MA,B27021_038MA,B27021_038EA,B27021_039EA,B27021_039MA,B27021_040MA,B27021_040EA,B27021_041MA,B27021_041EA,B27021_042EA,B27021_042MA,B27021_043MA,B27021_043EA,B27021_044EA,B27021_044MA,B27021_045MA,B27021_045EA,B27021_046MA,B27021_046EA,B27021_047EA,B27021_047MA,B27021_048MA,B27021_048EA,B27021_049EA,B27021_049MA,B27021_050MA,B27021_050EA,B27021_051EA,state
6601,34347,3346,42728,4218,0400000US01,4755381,1814,3989356,17047,2703486,34080,2686587,34198,2436950,32060,2054281,30987,756830,19231,249637,12803,16899,2742,13018,2573,6598,1305,7754,2021,3881,1061,1285870,30599,282823,16991,257876,15705,199310,13055,128265,10605,89775,7592,58566,6050,24947,3845,15596,2964,10007,2375,6271,1412,9351,2312,1003047,27600,961040,25921,774290,20391,384286,14860,467536,14912,186750,10449,42007,4108,25327,3110,17487,2759,9199,1632,16680,2665,766025,16948,598787,11784,526883,10978,464595,10316,335882,8378,266324,7328,62288,4006,71904,4367,56350,3697,45449,3510,16801,2148,15554,2129,167238,8679,124510,7574,97549,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3216,8552,1537,12323,1601,0400000US02,712248,1963,589970,6225,437475,11376,431538,11455,374010,10769,323067,10826,94821,6418,57528,5159,5937,1338,3587,1008,1922,821,1928,712,2350,914,152495,10118,57755,7501,49463,6774,35877,5685,21064,4378,17352,3949,13586,2723,8292,1900,3823,885,2353,711,1497,530,4469,1482,94740,6923,86359,6465,64777,6011,37973,4623,32171,3356,21582,2627,8381,1452,4464,1054,3003,915,1806,641,3917,965,122278,5910,79031,3664,61463,3336,48942,3205,37890,2926,22174,1815,12521,1722,17568,2100,13858,1745,12200,1572,3137,956,3710,923,43247,3481,30924,3324,24995,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
8110,67771,4885,82608,6303,0400000US04,6521226,1734,5385273,18342,3744414,41526,3712430,41165,3215772,37534,2528872,34954,1157834,22089,496658,21681,31984,3891,22038,3240,10123,1828,14060,2829,9946,2038,1640859,41024,478361,25756,416237,22271,305877,18286,194589,14287,134281,10465,110360,8825,62124,5470,42905,4778,24571,3996,19472,3101,19219,2735,1162498,35366,1077037,33098,853083,27786,431074,19796,494373,20062,223954,13768,85461,6368,46026,4194,28120,3146,18822,2654,39435,4009,1135953,18250,826421,11988,659882,11887,558334,10478,404155,8621,297856,6654,101548,5893,166539,6827,132081,5756,108762,5158,37182,3831,34458,3135,309532,10807,226924,9043,174147,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
5564,24681,3141,31429,3239,0400000US05,2907014,1233,2407668,12269,1711310,22525,1698408,22713,1491196,22115,1145016,21611,570290,12360,207212,9715,12902,2582,9130,1976,3554,1094,6035,1842,3772,1363,696358,18608,181166,11925,161776,10794,122245,8943,67777,7186,64337,5356,39531,5203,19390,2971,11821,2286,6327,1471,5988,1778,7569,1749,515192,17800,487072,16710,385793,13331,168435,9605,247531,10538,101279,7406,28120,3200,14164,2105,8769,1648,6247,1214,13956,2434,499346,12230,374207,8781,313579,8953,269054,7502,180796,6820,161237,5785,44525,3568,60628,4036,44951,3367,35113,2914,14289,1906,15677,2487,125139,6645,93710,6231,73126,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
21963,408600,14039,474279,15226,0400000US06,37831553,5167,31909951,52317,22449473,93288,22131937,92470,19017014,85547,14889777,77564,6002463,49931,3114923,44474,317536,12182,200714,8624,118622,5826,93496,6438,116822,8512,9460478,80641,2907862,57464,2550300,48548,1900489,40552,1135805,31077,886938,24326,649811,22806,357562,14272,218815,10705,123521,7112,100807,7203,138747,8635,6552616,65498,6055915,61935,4821286,56642,2503834,41789,2650016,43587,1234629,24204,496701,14377,295258,11289,186614,7947,122978,7707,201443,8036,5921602,52353,3990989,27662,3060379,26308,2681449,24459,1965881,21213,1368589,17326,378930,11121,930610,15814,740015,14350,638986,13390,167863,5807,190595,8226,1930613,33873,1456334,28275,1130628,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
8138,37811,3095,76086,6180,0400000US08,5173272,2685,4143934,18154,3139615,34884,3111679,35048,2787744,33342,2368895,29646,739815,17683,323935,12151,27936,3776,20900,3195,12887,2287,9078,1818,7036,1876,1004319,27899,292012,17455,258352,15768,201793,12523,146069,10254,71518,7450,56559,6074,33660,3835,23144,2673,15623,2294,8813,1881,10516,2330,712307,25319,665012,23343,538521,19489,308417,14701,275141,13516,126491,9230,47295,4444,28889,3278,21248,2726,8810,1831,18406,2591,1029338,18271,720544,10754,556949,9793,478898,8676,370703,7813,221427,5859,78051,4408,163595,5849,131487,5387,118243,5078,21776,2162,32108,3268,308794,11071,232708,8502,204551,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
5104,39757,3898,27774,3585,0400000US09,3541409,1156,2910489,13029,2132106,26658,2115888,26545,1970954,25619,1707032,23803,497205,13919,144934,9826,16218,2323,12213,2023,7607,1706,5166,1283,4005,1178,778383,25822,192275,15287,171149,13746,140363,11194,96865,8662,57724,6458,30786,4615,21126,3444,16211,3015,9693,2017,6928,1706,4915,1363,586108,21387,551331,19751,489465,18383,248726,12265,278162,13243,61866,6637,34777,3683,25230,3166,15755,2612,10943,2009,9547,1990,630920,13157,448376,8913,369822,8159,332985,8437,238054,7574,191816,5500,36837,3623,78554,3886,66715,3409,57011,3347,15540,2092,11839,1890,182544,6622,154770,5868,123149,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2420,9826,1680,7872,1670,0400000US10,911502,1114,754877,5739,526884,13142,521656,13232,483604,13584,409221,13151,155333,6600,38052,4990,5228,1348,4094,1104,2411,784,1893,758,1134,609,227993,12492,55264,7927,46472,6489,41740,5993,28662,4088,16983,4137,4732,1559,8792,2234,7912,2130,4899,1657,3478,1359,880,526,172729,11391,160941,10630,143080,9127,75965,7150,81707,6751,17861,3485,11788,2274,9095,2167,4681,1201,5259,1671,2693,933,156625,5677,110261,4018,89759,3928,83101,3528,66015,3171,45222,2577,6658,1308,20502,1871,17100,1750,14159,1726,4898,950,3402,1022,46364,3053,38492,2746,30803,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
3811,14725,2631,6782,1602,0400000US11,635833,581,389689,7280,206370,9930,200423,9784,190161,9265,158302,8007,58297,6433,10262,2644,5947,1482,5300,1475,4383,1297,1479,840,647,493,183319,8744,37409,4992,33563,4337,29288,3934,18440,3326,16151,3266,4275,1431,3846,1190,3263,1055,2309,868,1517,783,583,386,145910,8866,139831,8096,130453,7674,56398,5031,88118,6929,9378,1689,6079,1651,5294,1655,2967,1331,2381,1089,785,548,246144,7248,150926,4491,114677,4474,106493,4624,85630,4120,38389,2694,8184,1599,36249,2502,34850,2538,32828,2405,3701,838,1399,534,95218,4498,88436,4356,76428,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
15286,210253,10042,313004,12063,0400000US12,19245127,3839,15709480,37175,10719274,77729,10603758,77351,8949190,69382,6946206,63583,3402850,36022,1654568,38447,115516,9724,69997,6796,38677,4422,37187,5351,45519,5644,4990206,75853,1298860,39519,1143854,33983,785081,26530,472919,19730,377162,19035,358773,18377,155006,9645,90373,6399,55146,4954,39175,4622,64633,6484,3691346,68145,3456109,64333,2593337,55271,1349089,36697,1436831,38021,862772,24611,235237,12469,123966,7846,78689,6150,50963,5269,111271,8491,3535647,36791,2577532,25742,2107295,24279,1783066,24093,1225969,18868,1064179,16102,324229,10712,470237,11268,352043,10160,283379,8958,114636,5660,118194,6072,958115,20921,645111,19130,485335,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
