GEO_ID,B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,NAME,B27001H_001MA,B27001H_001EA,B27001H_002EA,B27001H_002MA,B27001H_003EA,B27001H_003MA,B27001H_004EA,B27001H_004MA,B27001H_005MA,B27001H_005EA,B27001H_006EA,B27001H_006MA,B27001H_007EA,B27001H_007MA,B27001H_008EA,B27001H_008MA,B27001H_009EA,B27001H_009MA,B27001H_010EA,B27001H_010MA,B27001H_011MA,B27001H_011EA,B27001H_012MA,B27001H_012EA,B27001H_013EA,B27001H_013MA,B27001H_014MA,B27001H_014EA,B27001H_015EA,B27001H_015MA,B27001H_016EA,B27001H_016MA,B27001H_017EA,B27001H_017MA,B27001H_018MA,B27001H_018EA,B27001H_019MA,B27001H_019EA,B27001H_020MA,B27001H_020EA,B27001H_021EA,B27001H_021MA,B27001H_022EA,B27001H_022MA,B27001H_023MA,B27001H_023EA,B27001H_024MA,B27001H_024EA,B27001H_025EA,B27001H_025MA,B27001H_026MA,B27001H_026EA,B27001H_027EA,B27001H_027MA,B27001H_028MA,B27001H_028EA,state
0400000US01,3161177,3811,202141,3297,195864,3566,6277,1529,447901,3389,429325,4567,18576,3316,287877,2449,236331,4163,51546,3865,370539,2885,283396,4735,87143,4420,391302,1994,319084,4912,72218,4366,456848,1536,390831,3865,66017,3634,445189,720,402020,3804,43169,3658,325905,874,325349,904,556,281,233475,1076,232868,1125,607,581,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,445052,1452,31634,859,28782,1292,2852,960,63726,931,57599,1740,6127,1490,41155,779,32082,1767,9073,1621,65974,1090,51053,2238,14921,2074,57154,544,45769,2025,11385,1969,68845,378,57927,1419,10918,1375,68289,417,60602,1346,7687,1201,32867,613,32519,651,348,258,15408,621,15325,635,83,102,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3704801,3303,203159,2792,188388,3928,14771,2719,456267,3015,418304,5003,37963,4204,291047,1700,230736,4767,60311,4642,429214,1678,344921,5333,84293,4460,429775,1432,366105,4488,63670,4532,512117,1314,430473,4994,81644,4915,559415,797,491414,4163,68001,4189,471768,1036,469368,1322,2400,825,352039,969,351357,1061,682,365,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2143004,2338,149415,2933,142840,3152,6575,1602,304084,3055,286752,3915,17332,2766,193024,1808,142074,3724,50950,3480,257097,2415,189324,4855,67773,4663,263435,1900,202524,5081,60911,4644,297093,1220,239977,3757,57116,3877,293882,574,254486,2972,39396,2930,224148,698,223457,917,691,824,160826,1048,160575,1120,251,345,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14677545,8763,754836,5737,724683,6069,30153,3323,1666337,5380,1584398,8001,81939,6708,1197357,3276,1015667,7216,181690,7059,1876174,4353,1498021,10860,378153,10598,1771629,3614,1529904,9438,241725,9280,2269400,3659,1987536,10050,281864,8548,2310443,1789,2056195,7891,254248,7984,1566357,1806,1555703,2176,10654,1636,1265012,2432,1261971,2532,3041,942,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3587724,4620,224546,3079,214631,3513,9915,1924,479148,3244,447036,4709,32112,3397,311588,1947,263716,3787,47872,3410,504418,3502,407244,5552,97174,5332,477459,2300,408717,4877,68742,4860,529803,1410,463913,4567,65890,4255,529924,815,469668,4112,60256,4016,318996,1217,317483,1334,1513,591,211842,1234,211374,1278,468,278,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2460881,2919,126091,2358,121854,2675,4237,1387,330903,2609,320220,3548,10683,2592,206512,956,191714,1784,14798,1683,260479,1234,227027,3203,33452,3300,285329,734,260729,2914,24600,2978,414219,853,380362,3320,33857,3197,385800,713,355062,3303,30738,3289,243496,761,242491,906,1005,496,208052,1218,207362,1329,690,389,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,584647,1455,33490,1329,31892,1634,1598,1027,71157,1369,67224,1690,3933,1304,51638,288,46236,1310,5402,1250,68024,1097,58218,2131,9806,1971,65118,486,57328,1663,7790,1683,88295,239,78545,1628,9750,1650,89653,338,82247,1540,7406,1491,68491,266,68479,266,12,21,48781,480,48629,497,152,154,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,227266,897,11954,373,11452,615,502,436,10706,386,10544,403,162,222,29432,475,28443,642,989,432,73760,280,70188,1148,3572,1114,35826,139,34380,611,1446,573,22358,281,21826,481,532,387,20287,149,19584,494,703,461,14127,129,14127,129,0,203,8816,418,8816,418,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10835235,8064,546334,6021,506685,6756,39649,4025,1220723,6130,1102301,9571,118422,8164,815253,3124,613769,8624,201484,8745,1143690,3748,819812,10075,323878,9750,1161920,2805,904325,8783,257595,8869,1557369,3196,1237241,10913,320128,11581,1664756,1994,1406934,8419,257822,8270,1476062,1257,1464069,2687,11993,2712,1249128,1958,1243917,2603,5211,1452,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
