GEO_ID,C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,NAME,C01001G_001MA,C01001G_001EA,C01001G_002EA,C01001G_002MA,C01001G_003MA,C01001G_003EA,C01001G_004MA,C01001G_004EA,C01001G_005EA,C01001G_005MA,C01001G_006EA,C01001G_006MA,C01001G_007MA,C01001G_007EA,C01001G_008EA,C01001G_008MA,C01001G_009MA,C01001G_009EA,state
0400000US01,81754,6685,40420,4005,20975,3197,17664,1882,1781,542,41334,4066,19425,2745,19093,2258,2816,695,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,56906,5042,28480,3422,13495,1981,14278,2319,707,375,28426,2761,12511,1842,15235,1750,680,328,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,211808,11630,105272,7045,51123,4498,49580,4269,4569,762,106536,6395,49710,4416,50348,3691,6478,961,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,65224,4906,33545,2965,16496,2428,15241,1793,1808,608,31679,3112,14832,2393,13307,1651,3540,887,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1729710,28372,876225,15628,400556,10299,439554,10956,36115,2606,853485,18782,367921,11255,437666,11386,47898,3337,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,189032,9967,94954,5904,41561,3606,50191,3894,3202,718,94078,6049,41895,3947,48162,3389,4021,1030,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104927,7874,51152,4756,24665,3075,24259,3144,2228,659,53775,4929,26480,2755,24984,2726,2311,714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26430,4367,12967,2781,7261,1743,5264,1748,442,281,13463,2282,7547,1638,5122,1335,794,331,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20845,3333,10195,2335,3663,1396,6052,1368,480,377,10650,1787,2782,772,7300,1395,568,287,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,459313,17451,225870,11243,97002,7293,117336,7679,11532,1539,233443,10490,100551,5778,117508,7156,15384,1810,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,210843,11689,102266,6472,55013,4759,44912,3854,2341,796,108577,6988,54277,4181,50635,4407,3665,1140,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,330017,11789,164287,7078,65793,3796,89423,4934,9071,1257,165730,6369,61666,3850,91823,4202,12241,1401,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38746,4231,20767,2540,9928,1733,10175,1771,664,323,17979,2634,7844,1701,9207,1739,928,371,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,289362,10691,142389,6555,71338,4854,66065,4292,4986,1026,146973,7068,68817,4902,71651,4222,6505,1045,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,142851,6340,70404,4215,39530,2662,28509,2925,2365,862,72447,4331,37903,2977,30477,2412,4067,1032,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,52836,4662,27268,3038,15138,2105,11338,1634,792,387,25568,3040,14884,2063,9496,1647,1188,501,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
