GEO_ID,B27001A_001E,B27001A_001M,B27001A_002E,B27001A_002M,B27001A_003E,B27001A_003M,B27001A_004E,B27001A_004M,B27001A_005E,B27001A_005M,B27001A_006E,B27001A_006M,B27001A_007E,B27001A_007M,B27001A_008E,B27001A_008M,B27001A_009E,B27001A_009M,B27001A_010E,B27001A_010M,B27001A_011E,B27001A_011M,B27001A_012E,B27001A_012M,B27001A_013E,B27001A_013M,B27001A_014E,B27001A_014M,B27001A_015E,B27001A_015M,B27001A_016E,B27001A_016M,B27001A_017E,B27001A_017M,B27001A_018E,B27001A_018M,B27001A_019E,B27001A_019M,B27001A_020E,B27001A_020M,B27001A_021E,B27001A_021M,B27001A_022E,B27001A_022M,B27001A_023E,B27001A_023M,B27001A_024E,B27001A_024M,B27001A_025E,B27001A_025M,B27001A_026E,B27001A_026M,B27001A_027E,B27001A_027M,B27001A_028E,B27001A_028M,NAME,B27001A_001EA,B27001A_001MA,B27001A_002EA,B27001A_002MA,B27001A_003MA,B27001A_003EA,B27001A_004EA,B27001A_004MA,B27001A_005EA,B27001A_005MA,B27001A_006MA,B27001A_006EA,B27001A_007EA,B27001A_007MA,B27001A_008EA,B27001A_008MA,B27001A_009EA,B27001A_009MA,B27001A_010EA,B27001A_010MA,B27001A_011EA,B27001A_011MA,B27001A_012EA,B27001A_012MA,B27001A_013EA,B27001A_013MA,B27001A_014MA,B27001A_014EA,B27001A_015EA,B27001A_015MA,B27001A_016EA,B27001A_016MA,B27001A_017MA,B27001A_017EA,B27001A_018EA,B27001A_018MA,B27001A_019EA,B27001A_019MA,B27001A_020MA,B27001A_020EA,B27001A_021EA,B27001A_021MA,B27001A_022EA,B27001A_022MA,B27001A_023MA,B27001A_023EA,B27001A_024EA,B27001A_024MA,B27001A_025EA,B27001A_025MA,B27001A_026MA,B27001A_026EA,B27001A_027EA,B27001A_027MA,B27001A_028MA,B27001A_028EA,state
0400000US01,3285404,8104,220567,4261,213095,4189,7472,1729,476344,4592,454815,5162,21529,3717,304448,3845,243817,4277,60631,4798,393250,3972,290615,4968,102635,5073,408842,3577,326853,5644,81989,5118,467096,2491,397102,4108,69994,3798,450487,1386,405813,3705,44674,3655,328936,1290,327789,1282,1147,490,235434,1243,234652,1261,782,626,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,472224,3009,35984,1242,33082,1562,2902,968,68548,1481,62161,2026,6387,1533,45710,1242,35639,2033,10071,1763,70365,1409,54498,2264,15867,2114,60038,979,48444,2090,11594,1943,71704,936,60523,1585,11181,1397,70124,718,61904,1400,8220,1255,33551,704,33203,736,348,258,16200,716,16117,733,83,102,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5161863,20562,371957,5224,339818,6487,32139,3921,806811,8774,709210,10238,97601,8189,470642,6104,341189,7862,129453,6745,643735,6099,474567,8511,169168,7075,628002,4595,482787,6835,145215,6653,664971,4285,530241,6456,134730,6382,662012,3396,563804,6226,98208,5704,526101,2772,521951,2844,4150,987,387632,2170,386108,2186,1524,600,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2268911,6674,167827,3617,160325,3712,7502,1550,338974,4687,318560,5113,20414,3170,206814,2901,150546,4353,56268,3839,280684,3809,199322,5333,81362,4929,279270,2897,210366,5139,68904,5287,308162,2207,246162,4316,62000,4162,298424,1204,256936,3094,41488,2776,226612,1093,225921,1269,691,824,162144,1158,161893,1237,251,345,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23440958,60751,1699883,18249,1611625,18375,88258,5566,3560121,18578,3272028,19561,288093,13752,2270518,15816,1683980,15603,586538,14462,3226443,16317,2316250,17167,910193,17840,3005368,12691,2292853,16574,712515,15063,3281443,12446,2670142,15301,611301,12084,2973391,9743,2531146,13786,442245,12176,1913769,6276,1882887,6689,30882,2916,1510022,5626,1501201,5875,8821,1451,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4345599,16745,311321,5800,293348,5809,17973,2463,658945,6294,598191,6056,60754,4660,400026,5819,320059,5794,79967,5691,619237,5614,477432,7316,141805,6855,584420,4598,475108,6103,109312,5976,612411,4298,520460,5492,91951,4861,580530,2384,508387,4748,72143,4329,348023,1886,345367,2003,2656,804,230686,1953,230068,2002,618,362,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2743764,12202,155264,3959,150040,4267,5224,1628,393376,5098,378331,5460,15045,2736,241943,3124,218952,3034,22991,2591,300986,3238,256875,4285,44111,3696,326621,3683,293056,4032,33565,3529,450240,2840,410484,4463,39756,3237,407146,1780,373870,3497,33276,3335,253663,1490,252298,1561,1365,576,214525,1467,213717,1561,808,456,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,629712,4991,40335,1718,38550,1746,1785,1052,81062,2127,76998,2393,4064,1339,56331,1430,49259,1702,7072,1715,74720,1644,62095,2654,12625,2133,73098,1538,62865,2152,10233,1867,92821,972,82331,1839,10490,1640,92163,733,84236,1901,7927,1635,69902,497,69890,497,12,21,49280,535,49128,564,152,154,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,260484,4797,15569,1334,15067,1459,502,436,14417,1133,14193,1128,224,245,33244,939,31659,980,1585,533,82086,1605,77711,2148,4375,1285,41194,1325,39380,1385,1814,721,25660,1053,24728,969,932,503,23360,640,21975,698,1385,604,15262,468,15262,468,0,203,9692,715,9692,715,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14706736,24723,858270,9668,791426,10660,66844,6274,1866558,10938,1642572,13474,223986,11487,1205697,7481,832135,11420,373562,12178,1706784,8596,1123075,12890,583709,13798,1757584,9126,1245699,12905,511885,11396,2103621,7661,1562017,13556,541604,14676,2032881,5806,1641935,10910,390946,10819,1723826,4118,1695942,4523,27884,3780,1451515,3160,1441224,3936,10291,2475,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
