GEO_ID,B19301H_001E,B19301H_001M,NAME,B19301H_001EA,B19301H_001MA,state
0400000US01,27223,339,Alabama,null,null,01
0400000US02,39343,1028,Alaska,null,null,02
0400000US04,32620,426,Arizona,null,null,04
0400000US05,24879,402,Arkansas,null,null,05
0400000US06,43460,283,California,null,null,06
0400000US08,37217,511,Colorado,null,null,08
0400000US09,44660,717,Connecticut,null,null,09
0400000US10,33536,860,Delaware,null,null,10
0400000US11,78379,2761,District of Columbia,null,null,11
0400000US12,31940,245,Florida,null,null,12
0400000US13,31025,329,Georgia,null,null,13
0400000US15,40664,1287,Hawaii,null,null,15
0400000US16,24430,571,Idaho,null,null,16
0400000US17,36216,297,Illinois,null,null,17
0400000US18,26849,256,Indiana,null,null,18
0400000US19,29440,355,Iowa,null,null,19
0400000US20,30430,623,Kansas,null,null,20
0400000US21,24831,370,Kentucky,null,null,21
0400000US22,30460,434,Louisiana,null,null,22
0400000US23,27282,519,Maine,null,null,23
0400000US24,43718,529,Maryland,null,null,24
0400000US25,40342,380,Massachusetts,null,null,25
0400000US26,28528,206,Michigan,null,null,26
0400000US27,34390,277,Minnesota,null,null,27
0400000US28,25180,485,Mississippi,null,null,28
0400000US29,27411,289,Missouri,null,null,29
0400000US30,27845,657,Montana,null,null,30
0400000US31,29987,471,Nebraska,null,null,31
0400000US32,33483,772,Nevada,null,null,32
0400000US33,34316,676,New Hampshire,null,null,33
0400000US34,43249,426,New Jersey,null,null,34
0400000US35,33528,811,New Mexico,null,null,35
0400000US36,40541,432,New York,null,null,36
0400000US37,30259,321,North Carolina,null,null,37
0400000US38,33247,845,North Dakota,null,null,38
0400000US39,28433,210,Ohio,null,null,39
0400000US40,28370,343,Oklahoma,null,null,40
0400000US41,30105,400,Oregon,null,null,41
0400000US42,31530,199,Pennsylvania,null,null,42
0400000US44,35651,1055,Rhode Island,null,null,44
0400000US45,28295,389,South Carolina,null,null,45
0400000US46,28599,621,South Dakota,null,null,46
0400000US47,27210,305,Tennessee,null,null,47
0400000US48,37032,280,Texas,null,null,48
0400000US49,26576,315,Utah,null,null,49
0400000US50,29826,869,Vermont,null,null,50
0400000US51,38305,313,Virginia,null,null,51
0400000US53,34509,358,Washington,null,null,53
0400000US54,23675,458,West Virginia,null,null,54
0400000US55,29965,265,Wisconsin,null,null,55
0400000US56,31017,876,Wyoming,null,null,56
0400000US72,24519,5338,Puerto Rico,null,null,72
