GEO_ID,B25043_001E,B25043_001M,B25043_002E,B25043_002M,B25043_003E,B25043_003M,B25043_004E,B25043_004M,B25043_005E,B25043_005M,B25043_006E,B25043_006M,B25043_007E,B25043_007M,B25043_008E,B25043_008M,B25043_009E,B25043_009M,B25043_010E,B25043_010M,B25043_011E,B25043_011M,B25043_012E,B25043_012M,B25043_013E,B25043_013M,B25043_014E,B25043_014M,B25043_015E,B25043_015M,B25043_016E,B25043_016M,B25043_017E,B25043_017M,B25043_018E,B25043_018M,B25043_019E,B25043_019M,NAME,B25043_001MA,B25043_001EA,B25043_002EA,B25043_002MA,B25043_003MA,B25043_003EA,B25043_004MA,B25043_004EA,B25043_005EA,B25043_005MA,B25043_006MA,B25043_006EA,B25043_007EA,B25043_007MA,B25043_008MA,B25043_008EA,B25043_009EA,B25043_009MA,B25043_010EA,B25043_010MA,B25043_011MA,B25043_011EA,B25043_012MA,B25043_012EA,B25043_013EA,B25043_013MA,B25043_014MA,B25043_014EA,B25043_015EA,B25043_015MA,B25043_016EA,B25043_016MA,B25043_017MA,B25043_017EA,B25043_018MA,B25043_018EA,B25043_019EA,B25043_019MA,state
0400000US01,1822439,11200,1240017,12974,1217092,12964,123536,4905,712441,9194,381115,4918,22925,2340,3062,928,15806,1823,4057,1012,582422,10924,558161,10825,200748,6967,288622,8403,68791,4013,24261,2480,8652,1501,12654,1961,2955,927,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,246015,2720,156107,3268,154059,3323,18457,1710,102986,3051,32616,1630,2048,636,815,509,1135,355,98,46,89908,3375,86972,3254,36147,2486,43849,2242,6976,1243,2936,799,1417,580,1433,521,86,65,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2400809,11557,1490031,12319,1460378,12278,147379,5203,818546,9320,494453,6077,29653,2970,3399,1020,18120,2286,8134,1128,910778,13688,876502,14088,324198,8724,450328,10901,101976,4424,34276,2541,11255,1562,19126,2225,3895,1083,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1125899,6925,739987,8706,725683,8657,79818,4097,417363,6004,228502,4271,14304,1600,1638,487,9537,1217,3129,753,385912,7213,368266,7721,143261,5359,176614,5650,48391,3221,17646,2287,6027,1461,9513,1381,2106,730,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12650592,16944,6804639,28833,6729616,29657,541531,10262,4212361,23523,1975724,12984,75023,4517,10443,1491,50207,3583,14373,2228,5845953,25919,5665025,27113,1819446,17215,3132537,22774,713042,12159,180928,6702,60414,3843,95688,4522,24826,2997,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2002800,8550,1291945,10661,1273857,10562,144352,5667,812615,8307,316890,4469,18088,1915,3432,724,11775,1534,2881,719,710855,11436,682807,11834,286057,7814,320705,7962,76045,3695,28048,2585,12027,1699,13051,1864,2970,873,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1339860,7005,888478,8542,881632,8629,67277,3364,566319,7366,248036,4634,6846,1250,1149,524,4651,1082,1046,404,451382,9182,439027,9008,134345,5631,224406,6818,80276,3924,12355,1704,4902,1068,5911,1172,1542,698,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,339071,3144,243047,3975,240146,3948,23394,2349,141848,3476,74904,2174,2901,867,358,313,2199,803,344,162,96024,4093,92330,4104,33699,2500,45058,3080,13573,1759,3694,1055,1421,620,2104,832,169,197,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,271651,3228,110513,3814,109460,3830,13544,1597,65589,3227,30327,1593,1053,409,233,171,736,382,84,97,161138,4370,154470,4567,63555,3178,72490,3927,18425,1746,6668,1292,3115,938,2908,863,645,504,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7211584,26752,4672482,24352,4584779,24688,302582,9325,2522682,18714,1759515,12968,87703,4572,8898,1417,59755,4048,19050,2054,2539102,20898,2411243,19839,769092,14730,1285673,16600,356478,9110,127859,5339,38589,3028,68598,4279,20672,2239,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
