GEO_ID,B18130_001E,B18130_001M,B18130_002E,B18130_002M,B18130_003E,B18130_003M,B18130_004E,B18130_004M,B18130_005E,B18130_005M,B18130_006E,B18130_006M,B18130_007E,B18130_007M,B18130_008E,B18130_008M,B18130_009E,B18130_009M,B18130_010E,B18130_010M,B18130_011E,B18130_011M,B18130_012E,B18130_012M,B18130_013E,B18130_013M,B18130_014E,B18130_014M,B18130_015E,B18130_015M,B18130_016E,B18130_016M,B18130_017E,B18130_017M,B18130_018E,B18130_018M,B18130_019E,B18130_019M,B18130_020E,B18130_020M,B18130_021E,B18130_021M,B18130_022E,B18130_022M,B18130_023E,B18130_023M,B18130_024E,B18130_024M,B18130_025E,B18130_025M,B18130_026E,B18130_026M,B18130_027E,B18130_027M,B18130_028E,B18130_028M,B18130_029E,B18130_029M,B18130_030E,B18130_030M,B18130_031E,B18130_031M,B18130_032E,B18130_032M,B18130_033E,B18130_033M,B18130_034E,B18130_034M,B18130_035E,B18130_035M,B18130_036E,B18130_036M,B18130_037E,B18130_037M,B18130_038E,B18130_038M,B18130_039E,B18130_039M,B18130_040E,B18130_040M,B18130_041E,B18130_041M,B18130_042E,B18130_042M,B18130_043E,B18130_043M,NAME,B18130_001MA,B18130_001EA,B18130_002MA,B18130_002EA,B18130_003MA,B18130_003EA,B18130_004EA,B18130_004MA,B18130_005MA,B18130_005EA,B18130_006MA,B18130_006EA,B18130_007MA,B18130_007EA,B18130_008MA,B18130_008EA,B18130_009MA,B18130_009EA,B18130_010EA,B18130_010MA,B18130_011EA,B18130_011MA,B18130_012EA,B18130_012MA,B18130_013MA,B18130_013EA,B18130_014MA,B18130_014EA,B18130_015EA,B18130_015MA,B18130_016MA,B18130_016EA,B18130_017MA,B18130_017EA,B18130_018MA,B18130_018EA,B18130_019EA,B18130_019MA,B18130_020EA,B18130_020MA,B18130_021EA,B18130_021MA,B18130_022MA,B18130_022EA,B18130_023EA,B18130_023MA,B18130_024EA,B18130_024MA,B18130_025MA,B18130_025EA,B18130_026EA,B18130_026MA,B18130_027MA,B18130_027EA,B18130_028EA,B18130_028MA,B18130_029EA,B18130_029MA,B18130_030EA,B18130_030MA,B18130_031EA,B18130_031MA,B18130_032EA,B18130_032MA,B18130_033EA,B18130_033MA,B18130_034MA,B18130_034EA,B18130_035EA,B18130_035MA,B18130_036MA,B18130_036EA,B18130_037EA,B18130_037MA,B18130_038EA,B18130_038MA,B18130_039EA,B18130_039MA,B18130_040MA,B18130_040EA,B18130_041EA,B18130_041MA,B18130_042EA,B18130_042MA,B18130_043EA,B18130_043MA,state
0400000US01,4706844,2723,288095,2953,1641,677,1124,536,517,402,286454,2934,90370,4977,196084,5069,806387,3877,45212,3342,17502,2184,27710,2799,761175,5124,188595,8978,572580,9431,1048577,5738,74852,4950,26362,2808,48490,4055,973725,7684,218882,8625,754843,9165,1861714,5869,341876,7696,94619,4473,247257,6790,1519838,9728,171176,7701,1348662,11466,414569,2934,129894,5080,18035,2233,111859,4592,284675,5132,22564,2393,262111,5102,287502,2466,160530,3752,21544,1821,138986,3689,126972,3665,12246,1578,114726,3908,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,707088,2393,54149,1073,668,423,72,61,596,422,53481,1166,7443,1055,46038,1453,130512,1586,6043,1307,751,444,5292,1240,124469,1953,14111,2002,110358,2611,179737,2823,9597,1959,1604,695,7993,1840,170140,3548,18915,2252,151225,3716,278103,2043,37025,2968,6460,1260,30565,2723,241078,3318,14202,1287,226876,3481,42957,1169,12805,1458,927,381,11878,1378,30152,1587,761,306,29391,1530,21630,955,12831,1093,610,447,12221,1177,8799,1146,1053,662,7746,961,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6467526,3889,422305,2216,2952,927,1479,673,1473,560,419353,2341,120312,6167,299041,6550,1167297,2852,48746,3351,15655,2441,33091,2648,1118551,3548,283654,12131,834897,12355,1466926,3877,86571,5724,29704,2889,56867,4938,1380355,6930,311809,11453,1068546,13229,2404177,3627,311795,9850,89065,5978,222730,8194,2092382,10596,264943,10196,1827439,12683,585180,1982,146132,6076,16179,1982,129953,5582,439048,6058,33570,3066,405478,6818,421641,1773,201787,5071,23292,2275,178495,4850,219854,5188,16509,2171,203345,4932,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2869223,3273,185845,2659,1694,892,781,585,913,633,184151,2598,59927,4173,124224,4134,511577,3265,38431,3501,14243,2303,24188,2775,473146,4442,127505,7282,345641,7117,628060,4679,53226,4158,18678,2695,34548,3208,574834,6048,136405,7245,438429,8508,1105752,4798,214748,6061,58686,3619,156062,5189,891004,7090,103170,5534,787834,8801,256959,2049,84032,3701,11290,1743,72742,3326,172927,3848,12175,1647,160752,3863,181030,1831,101598,3319,14644,1452,86954,3396,79432,3288,7965,1410,71467,3146,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37514516,9930,2457605,4539,16153,2072,7088,1554,9065,1584,2441452,5184,601643,13992,1839809,13488,6571664,8209,277247,9443,87100,5085,190147,7763,6294417,12651,1425520,25266,4868897,26053,9186258,7152,428258,13022,126535,6978,301723,10176,8758000,15922,1673474,25701,7084526,32822,14601909,6936,1551943,22111,411606,11266,1140337,19358,13049966,22961,1505260,22137,11544706,30438,2667680,3804,662893,10564,93028,4432,569865,10584,2004787,10573,154642,5843,1850145,12146,2029400,3347,1071213,12376,147991,7280,923222,11705,958187,12416,92532,4117,865655,11426,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5127247,3317,329760,2988,2085,783,219,275,1866,797,327675,2986,60522,5219,267153,4941,896294,3969,37730,3315,9594,1814,28136,2730,858564,5104,136307,8071,722257,8799,1211504,4914,69116,4380,18699,2304,50417,3951,1142388,5938,208928,7849,933460,9898,2060548,4704,232854,7565,52019,4182,180835,6039,1827694,8974,134489,6654,1693205,10627,378571,2375,90805,3725,9116,1415,81689,3641,287766,4025,16817,2032,270949,4362,250570,2318,125130,4458,12551,1571,112579,4217,125440,4236,7860,1320,117580,4272,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3481261,2617,187820,1696,1563,739,640,507,923,486,186257,1862,31592,3494,154665,3371,587311,2132,27054,2551,6567,1262,20487,2414,560257,2933,73924,5254,486333,5548,716681,2418,36127,3117,9637,1605,26490,2500,680554,4099,94543,6369,586011,6752,1467913,2665,142755,7643,31482,3293,111273,6480,1325158,8501,86862,5134,1238296,9504,288132,1287,55057,3041,7608,1617,47449,2716,233075,3426,13723,1726,219352,3488,233404,1630,112393,3257,9172,1362,103221,3395,121011,3502,8101,1276,112910,3668,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,898021,1651,55519,420,527,353,58,79,469,345,54992,493,11709,2236,43283,2210,145135,1041,8747,1489,1495,789,7252,1443,136388,1908,22798,3767,113590,3862,194730,1532,13707,2077,2877,977,10830,1780,181023,2570,27404,3493,153619,4092,359612,1500,45474,3060,9610,1665,35864,2765,314138,3227,25002,3238,289136,4637,85313,814,18544,1762,2137,923,16407,1694,66769,2012,3072,797,63697,2208,57712,722,27320,1597,2430,645,24890,1556,30392,1644,2694,747,27698,1686,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,610255,986,40584,482,0,203,0,203,0,203,40584,482,9174,1855,31410,1960,68756,610,5132,1164,2336,774,2796,841,63624,1278,18195,2621,45429,2637,199005,693,8166,1596,2487,842,5679,1260,190839,1869,36451,2992,154388,3329,230517,727,30735,3126,11861,1775,18874,2393,199782,3121,22568,2555,177214,3836,40472,655,9929,1165,2965,761,6964,1091,30543,1351,3310,800,27233,1487,30921,715,13944,1271,3369,774,10575,1186,16977,1280,2835,856,14142,1493,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19092715,8210,1054554,4109,9167,2349,3274,1286,5893,1949,1045387,4622,281858,10317,763529,11339,2899721,6849,153576,7981,55374,4897,98202,6376,2746145,9828,628259,22333,2117886,24038,4025704,6841,224900,10598,65252,5160,159648,9050,3800804,11101,763513,19608,3037291,22508,7534339,7809,968686,17831,273975,9307,694711,15759,6565653,18400,798824,18177,5766829,22985,1970581,4288,451530,10498,63111,4636,388419,9443,1519051,11365,141372,6452,1377679,12542,1607816,4589,768395,9491,89630,4567,678765,9696,839421,9911,87779,5418,751642,10792,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
