GEO_ID,B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,NAME,B16005D_001MA,B16005D_001EA,B16005D_002MA,B16005D_002EA,B16005D_003MA,B16005D_003EA,B16005D_004EA,B16005D_004MA,B16005D_005MA,B16005D_005EA,B16005D_006EA,B16005D_006MA,B16005D_007MA,B16005D_007EA,B16005D_008MA,B16005D_008EA,B16005D_009MA,B16005D_009EA,B16005D_010EA,B16005D_010MA,B16005D_011EA,B16005D_011MA,state
0400000US01,55106,2744,14573,2084,6119,1360,8454,1776,6843,1623,1611,799,40533,2461,8247,1679,32286,2501,16862,2056,15424,2092,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39445,2342,12659,1653,7564,1824,5095,1286,3494,866,1601,945,26786,2232,2222,745,24564,2342,8820,1454,15744,2796,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,179776,4663,52247,3991,32667,3494,19580,2633,17528,2531,2052,704,127529,4565,20018,2501,107511,5032,57309,4013,50202,4020,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36012,2254,9633,1509,5534,1080,4099,1130,2120,767,1979,1094,26379,2062,6250,1631,20129,2193,9930,1690,10199,1630,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4944241,16236,1659440,21461,902197,18904,757243,15618,625157,14659,132086,6508,3284801,19109,310887,10081,2973914,20864,1326010,19178,1647904,20512,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,142925,3429,48481,3523,27357,2460,21124,2704,17517,2375,3607,1055,94444,3781,16151,2213,78293,3423,36458,2544,41835,3190,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,138870,3300,34343,2968,16007,2218,18336,2185,15981,2012,2355,758,104527,3949,16413,2413,88114,4025,46702,3303,41412,3839,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,31669,1087,8490,1287,3999,1134,4491,1212,4194,1179,297,306,23179,1100,3510,1234,19669,1763,11224,1422,8445,1475,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22025,1347,8692,1475,4621,1104,4071,914,3710,894,361,289,13333,1602,3633,960,9700,1521,5212,1119,4488,1164,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,483133,5814,130627,6863,73034,5583,57593,5171,49346,4531,8247,1786,352506,7239,72292,5380,280214,7632,151265,7374,128949,6961,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
