GEO_ID,C16008_001E,C16008_001M,C16008_002E,C16008_002M,C16008_003E,C16008_003M,C16008_004E,C16008_004M,C16008_005E,C16008_005M,C16008_006E,C16008_006M,C16008_007E,C16008_007M,C16008_008E,C16008_008M,C16008_009E,C16008_009M,C16008_010E,C16008_010M,C16008_011E,C16008_011M,C16008_012E,C16008_012M,C16008_013E,C16008_013M,C16008_014E,C16008_014M,C16008_015E,C16008_015M,C16008_016E,C16008_016M,C16008_017E,C16008_017M,C16008_018E,C16008_018M,C16008_019E,C16008_019M,C16008_020E,C16008_020M,C16008_021E,C16008_021M,C16008_022E,C16008_022M,C16008_023E,C16008_023M,NAME,C16008_001EA,C16008_001MA,C16008_002MA,C16008_002EA,C16008_003MA,C16008_003EA,C16008_004EA,C16008_004MA,C16008_005EA,C16008_005MA,C16008_006EA,C16008_006MA,C16008_007EA,C16008_007MA,C16008_008MA,C16008_008EA,C16008_009EA,C16008_009MA,C16008_010EA,C16008_010MA,C16008_011EA,C16008_011MA,C16008_012EA,C16008_012MA,C16008_013EA,C16008_013MA,C16008_014EA,C16008_014MA,C16008_015EA,C16008_015MA,C16008_016EA,C16008_016MA,C16008_017EA,C16008_017MA,C16008_018MA,C16008_018EA,C16008_019MA,C16008_019EA,C16008_020EA,C16008_020MA,C16008_021MA,C16008_021EA,C16008_022MA,C16008_022EA,C16008_023EA,C16008_023MA,state
0400000US01,4541368,2912,4439514,6753,809281,3521,768241,4388,41040,3926,30793,3761,10247,1997,3630233,5759,3528525,6451,101708,5925,74233,5541,27475,2888,101854,6709,8256,2026,967,537,7289,1804,4670,1443,2619,1027,93598,5646,11929,2408,81669,5388,22404,3204,59265,4927,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,680427,1049,658265,3510,131496,1471,115650,2780,15846,2165,13147,1884,2699,1212,526769,3121,456679,4005,70090,3382,52932,3307,17158,1731,22162,3382,2165,739,151,185,2014,713,1006,568,1008,736,19997,2992,2545,679,17452,2896,5983,1435,11469,2335,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6196543,887,5646355,17119,1144303,4306,835675,9226,308628,8881,266271,9184,42357,4377,4502052,15619,3635417,18652,866635,14331,669722,12407,196913,6947,550188,17084,41578,4340,2395,1022,39183,4388,30190,3726,8993,2101,508610,15518,62190,5229,446420,14420,130013,9042,316407,12058,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2769171,2391,2680331,5783,514548,2975,472046,4354,42502,4150,31437,3766,11065,1968,2165783,5374,2092499,6281,73284,5586,50929,4449,22355,3197,88840,5256,6872,1350,1581,884,5291,1170,2912,880,2379,862,81968,4889,12814,2619,69154,5211,18765,2974,50389,4469,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35831956,3033,30562955,47988,6335284,11998,3671846,25897,2663438,26007,2178632,26391,484806,11987,24227671,40938,16081302,39579,8146369,41283,5365436,37131,2780933,27359,5269001,47902,338335,11566,24815,2933,313520,11096,206806,9235,106714,6491,4930666,40964,353036,11360,4577630,40198,1186474,19054,3391156,36451,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4934794,2520,4634247,10458,878215,4996,724885,7217,153330,7940,123563,7351,29767,3001,3756032,9057,3353505,12993,402527,10888,302754,9626,99773,5750,300547,10009,29537,3361,1528,643,28009,3411,17973,2731,10036,2268,271010,8917,29122,2854,241888,8507,75827,5793,166061,7729,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3405334,868,3153039,11648,576646,3019,471518,5312,105128,4851,89945,4744,15183,2593,2576393,10896,2158495,11112,417898,10471,286029,9587,131869,5841,252295,11689,17950,2632,4645,1167,13305,2414,9731,1723,3574,1245,234345,10795,37107,3618,197238,10197,67495,5239,129743,8302,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,869514,423,827738,3812,145876,845,127203,2301,18673,2189,14930,1770,3743,1096,681862,3531,631383,4355,50479,4163,36768,3594,13711,1876,41776,3713,1577,694,239,301,1338,635,783,450,555,421,40199,3491,5332,1438,34867,3396,14105,1900,20762,2753,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,605388,270,551348,4656,67457,1130,56171,1634,11286,1417,9643,1166,1643,817,483891,4138,428531,5085,55360,3933,44444,3717,10916,1748,54040,4623,3014,1123,673,595,2341,889,1344,709,997,512,51026,4107,11653,2217,39373,3665,19739,2424,19634,2581,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18478811,3217,16723799,29319,2819872,7720,2126252,12553,693620,13113,585179,12652,108441,7619,13903927,26268,10999319,32009,2904608,30177,1901814,25949,1002794,18812,1755012,28595,134809,7173,19311,2899,115498,6661,70547,5204,44951,4860,1620203,26034,266963,12172,1353240,25398,385208,12111,968032,22920,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
