GEO_ID,C15002_001E,C15002_001M,C15002_002E,C15002_002M,C15002_003E,C15002_003M,C15002_004E,C15002_004M,C15002_005E,C15002_005M,C15002_006E,C15002_006M,C15002_007E,C15002_007M,C15002_008E,C15002_008M,C15002_009E,C15002_009M,C15002_010E,C15002_010M,C15002_011E,C15002_011M,C15002_012E,C15002_012M,C15002_013E,C15002_013M,C15002_014E,C15002_014M,C15002_015E,C15002_015M,C15002_016E,C15002_016M,C15002_017E,C15002_017M,NAME,C15002_001EA,C15002_001MA,C15002_002EA,C15002_002MA,C15002_003MA,C15002_003EA,C15002_004EA,C15002_004MA,C15002_005EA,C15002_005MA,C15002_006MA,C15002_006EA,C15002_007MA,C15002_007EA,C15002_008EA,C15002_008MA,C15002_009MA,C15002_009EA,C15002_010EA,C15002_010MA,C15002_011EA,C15002_011MA,C15002_012EA,C15002_012MA,C15002_013EA,C15002_013MA,C15002_014EA,C15002_014MA,C15002_015EA,C15002_015MA,C15002_016EA,C15002_016MA,C15002_017MA,C15002_017EA,state
0400000US01,3225447,5448,1525111,4469,81487,4340,164120,6556,493067,8331,327343,7182,103274,5189,227472,6646,128348,5084,1700336,3470,76704,4220,176337,7306,508067,10743,383259,9686,154836,6165,248544,7343,152589,6119,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,462659,1764,241735,1624,6247,1244,14625,1691,75937,3039,66798,3234,17322,2066,38841,2983,21965,1975,220924,1388,8045,1207,9760,1378,53092,3613,60256,2807,21164,2057,45197,2607,23410,2110,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4344737,3583,2126975,2733,139410,6246,172659,6442,520767,10952,526571,11108,173589,6999,368789,8759,225190,7680,2217762,2079,136781,5437,163354,6469,558382,10479,563495,10739,201288,8321,373193,8691,221269,6649,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1960503,4652,943196,4214,55096,3278,96838,4463,352327,7543,200018,6568,46628,3569,124641,5561,67648,3822,1017307,3108,53810,4040,99694,4720,339487,7079,239484,6542,73184,3740,138114,5630,73534,4087,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25147232,5443,12296984,4719,1210466,17118,1088738,17283,2602660,27342,2668085,22554,882030,14893,2365232,18542,1479773,16910,12850248,3881,1326945,16618,981858,16205,2626233,26280,2856112,29053,1098371,16372,2540236,22742,1420493,16311,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3514235,4596,1741300,3270,67515,4421,109075,6416,379653,9135,393954,10076,131265,4672,412136,8886,247702,6920,1772935,3246,62669,3704,93125,4838,381450,7609,407340,7531,159908,5518,425777,8076,242666,5860,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2465315,2243,1173750,1872,56459,4039,71957,4315,330905,7854,201667,6846,75884,4699,241481,6846,195397,6393,1291565,1425,54177,3652,72397,4775,342550,7095,233640,7237,108225,4821,267006,7965,213570,6748,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,629730,1121,298166,1051,13229,1617,23819,2430,94351,3680,57734,3248,19831,2288,51107,3384,38095,2258,331564,898,11533,1532,24966,2686,102375,4129,66061,3702,28446,2455,56968,3468,41215,2592,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,453014,428,211862,501,8273,1485,13250,1647,39085,2640,25846,2129,5544,1064,50513,3364,69351,3352,241152,308,8986,1827,14337,1799,45135,2630,34678,2547,8274,1475,52445,3698,77297,3282,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13726996,7120,6577975,5005,362133,10247,555096,13414,1929867,22422,1342468,19613,555871,14226,1155065,17666,677475,13292,7149021,5388,365180,11457,524760,11217,2112841,20988,1499860,19267,744745,14715,1254097,16550,647538,13197,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
