B20005B_086M,B20005B_087E,B20005B_087M,B20005B_088E,B20005B_088M,B20005B_089E,B20005B_089M,B20005B_090E,B20005B_090M,B20005B_091E,B20005B_091M,B20005B_092E,B20005B_092M,B20005B_093E,B20005B_093M,B20005B_094E,B20005B_094M,B20005B_095E,B20005B_095M,GEO_ID,B20005B_001E,B20005B_001M,B20005B_002E,B20005B_002M,B20005B_003E,B20005B_003M,B20005B_004E,B20005B_004M,B20005B_005E,B20005B_005M,B20005B_006E,B20005B_006M,B20005B_007E,B20005B_007M,B20005B_008E,B20005B_008M,B20005B_009E,B20005B_009M,B20005B_010E,B20005B_010M,B20005B_011E,B20005B_011M,B20005B_012E,B20005B_012M,B20005B_013E,B20005B_013M,B20005B_014E,B20005B_014M,B20005B_015E,B20005B_015M,B20005B_016E,B20005B_016M,B20005B_017E,B20005B_017M,B20005B_018E,B20005B_018M,B20005B_019E,B20005B_019M,B20005B_020E,B20005B_020M,B20005B_021E,B20005B_021M,B20005B_022E,B20005B_022M,B20005B_023E,B20005B_023M,B20005B_024E,B20005B_024M,B20005B_025E,B20005B_025M,B20005B_026E,B20005B_026M,B20005B_027E,B20005B_027M,B20005B_028E,B20005B_028M,B20005B_029E,B20005B_029M,B20005B_030E,B20005B_030M,B20005B_031E,B20005B_031M,B20005B_032E,B20005B_032M,B20005B_033E,B20005B_033M,B20005B_034E,B20005B_034M,B20005B_035E,B20005B_035M,B20005B_036E,B20005B_036M,B20005B_037E,B20005B_037M,B20005B_038E,B20005B_038M,B20005B_039E,B20005B_039M,B20005B_040E,B20005B_040M,B20005B_041E,B20005B_041M,B20005B_042E,B20005B_042M,B20005B_043E,B20005B_043M,B20005B_044E,B20005B_044M,B20005B_045E,B20005B_045M,B20005B_046E,B20005B_046M,B20005B_047E,B20005B_047M,B20005B_048E,B20005B_048M,B20005B_049E,B20005B_049M,B20005B_050E,B20005B_050M,B20005B_051E,B20005B_051M,B20005B_052E,B20005B_052M,B20005B_053E,B20005B_053M,B20005B_054E,B20005B_054M,B20005B_055E,B20005B_055M,B20005B_056E,B20005B_056M,B20005B_057E,B20005B_057M,B20005B_058E,B20005B_058M,B20005B_059E,B20005B_059M,B20005B_060E,B20005B_060M,B20005B_061E,B20005B_061M,B20005B_062E,B20005B_062M,B20005B_063E,B20005B_063M,B20005B_064E,B20005B_064M,B20005B_065E,B20005B_065M,B20005B_066E,B20005B_066M,B20005B_067E,B20005B_067M,B20005B_068E,B20005B_068M,B20005B_069E,B20005B_069M,B20005B_070E,B20005B_070M,B20005B_071E,B20005B_071M,B20005B_072E,B20005B_072M,B20005B_073E,B20005B_073M,B20005B_074E,B20005B_074M,B20005B_075E,B20005B_075M,B20005B_076E,B20005B_076M,B20005B_077E,B20005B_077M,B20005B_078E,B20005B_078M,B20005B_079E,B20005B_079M,B20005B_080E,B20005B_080M,B20005B_081E,B20005B_081M,B20005B_082E,B20005B_082M,B20005B_083E,B20005B_083M,B20005B_084E,B20005B_084M,B20005B_085E,B20005B_085M,B20005B_086E,B20005B_086MA,B20005B_087EA,B20005B_087MA,B20005B_088MA,B20005B_088EA,B20005B_089EA,B20005B_089MA,B20005B_090EA,B20005B_090MA,B20005B_091EA,B20005B_091MA,B20005B_092MA,B20005B_092EA,B20005B_093MA,B20005B_093EA,B20005B_094EA,B20005B_094MA,B20005B_095EA,B20005B_095MA,NAME,B20005B_001MA,B20005B_001EA,B20005B_002MA,B20005B_002EA,B20005B_003EA,B20005B_003MA,B20005B_004EA,B20005B_004MA,B20005B_005EA,B20005B_005MA,B20005B_006EA,B20005B_006MA,B20005B_007MA,B20005B_007EA,B20005B_008EA,B20005B_008MA,B20005B_009MA,B20005B_009EA,B20005B_010MA,B20005B_010EA,B20005B_011MA,B20005B_011EA,B20005B_012MA,B20005B_012EA,B20005B_013EA,B20005B_013MA,B20005B_014EA,B20005B_014MA,B20005B_015MA,B20005B_015EA,B20005B_016MA,B20005B_016EA,B20005B_017MA,B20005B_017EA,B20005B_018MA,B20005B_018EA,B20005B_019MA,B20005B_019EA,B20005B_020EA,B20005B_020MA,B20005B_021MA,B20005B_021EA,B20005B_022EA,B20005B_022MA,B20005B_023MA,B20005B_023EA,B20005B_024EA,B20005B_024MA,B20005B_025MA,B20005B_025EA,B20005B_026EA,B20005B_026MA,B20005B_027MA,B20005B_027EA,B20005B_028EA,B20005B_028MA,B20005B_029EA,B20005B_029MA,B20005B_030EA,B20005B_030MA,B20005B_031EA,B20005B_031MA,B20005B_032MA,B20005B_032EA,B20005B_033EA,B20005B_033MA,B20005B_034MA,B20005B_034EA,B20005B_035MA,B20005B_035EA,B20005B_036EA,B20005B_036MA,B20005B_037EA,B20005B_037MA,B20005B_038EA,B20005B_038MA,B20005B_039MA,B20005B_039EA,B20005B_040MA,B20005B_040EA,B20005B_041EA,B20005B_041MA,B20005B_042EA,B20005B_042MA,B20005B_043MA,B20005B_043EA,B20005B_044MA,B20005B_044EA,B20005B_045MA,B20005B_045EA,B20005B_046MA,B20005B_046EA,B20005B_047EA,B20005B_047MA,B20005B_048EA,B20005B_048MA,B20005B_049MA,B20005B_049EA,B20005B_050MA,B20005B_050EA,B20005B_051MA,B20005B_051EA,B20005B_052MA,B20005B_052EA,B20005B_053EA,B20005B_053MA,B20005B_054MA,B20005B_054EA,B20005B_055MA,B20005B_055EA,B20005B_056MA,B20005B_056EA,B20005B_057EA,B20005B_057MA,B20005B_058EA,B20005B_058MA,B20005B_059EA,B20005B_059MA,B20005B_060MA,B20005B_060EA,B20005B_061MA,B20005B_061EA,B20005B_062MA,B20005B_062EA,B20005B_063EA,B20005B_063MA,B20005B_064MA,B20005B_064EA,B20005B_065EA,B20005B_065MA,B20005B_066MA,B20005B_066EA,B20005B_067MA,B20005B_067EA,B20005B_068MA,B20005B_068EA,B20005B_069MA,B20005B_069EA,B20005B_070EA,B20005B_070MA,B20005B_071MA,B20005B_071EA,B20005B_072MA,B20005B_072EA,B20005B_073MA,B20005B_073EA,B20005B_074EA,B20005B_074MA,B20005B_075MA,B20005B_075EA,B20005B_076MA,B20005B_076EA,B20005B_077EA,B20005B_077MA,B20005B_078MA,B20005B_078EA,B20005B_079EA,B20005B_079MA,B20005B_080MA,B20005B_080EA,B20005B_081MA,B20005B_081EA,B20005B_082EA,B20005B_082MA,B20005B_083MA,B20005B_083EA,B20005B_084EA,B20005B_084MA,B20005B_085EA,B20005B_085MA,B20005B_086EA,state
1122,1933,773,1765,716,670,332,593,359,822,583,959,501,354,252,548,372,135,97,0400000US01,988411,4081,448054,3350,156872,5654,0,192,156872,5654,222,182,234,207,1229,721,1395,644,4626,1119,4433,1201,8130,1600,4716,1326,9978,1663,8668,1836,18153,2299,15894,2214,13788,2427,13589,1839,10718,1902,9230,1823,10445,1526,8320,1560,7326,1493,5778,1184,291182,5823,189790,5991,101392,5265,23847,2681,12072,1850,13189,2130,9586,1782,9426,2231,4736,1209,6006,1216,3911,1268,4822,1483,899,546,3624,1227,2255,885,1386,538,356,289,438,402,1400,650,1223,524,727,498,594,429,895,486,540357,3356,184916,5312,0,192,184916,5312,194,185,494,339,1769,650,3950,1067,8984,1622,6258,1211,13766,2715,13607,2087,15893,2227,7846,1416,21861,2444,19550,2605,13997,1913,14054,2273,9230,1545,10287,1640,8086,1356,6010,1376,6738,1549,2342,865,355441,6333,229614,5738,125827,6000,24122,2296,16074,2337,17539,2783,15221,2117,14659,2143,6900,1639,8795,1686,4302,1126,4548,1061,2078,862,3810,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
338,580,376,443,385,523,547,42,70,43,70,126,153,185,191,254,223,277,236,0400000US04,210281,3168,111878,2405,45604,2958,0,203,45604,2958,182,242,100,126,763,446,299,310,2181,816,587,491,2037,1137,1690,640,2950,867,2745,1270,4569,1234,3874,1041,4339,1216,3305,878,1957,798,3040,938,2057,791,2245,619,3398,1132,3286,1132,66274,3427,38380,2990,27894,2477,5720,1476,3342,1219,1795,644,1222,499,3290,906,1116,564,2786,1121,994,512,1866,822,639,447,1740,750,275,257,383,321,1462,661,338,273,230,197,118,139,109,128,50,85,419,330,98403,2081,36170,2849,0,203,36170,2849,30,48,0,203,348,370,750,511,1010,550,43,71,1825,797,1963,714,3043,915,1662,710,2590,735,2975,886,3901,942,3851,1088,2491,868,2108,763,3157,1034,678,353,1872,637,1873,802,62233,3130,37853,2891,24380,2567,2681,879,3380,1123,4265,1262,2921,825,2718,838,1324,698,1398,516,895,504,982,554,877,501,466,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
493,507,337,122,111,437,303,82,80,163,170,298,260,47,76,96,156,82,113,0400000US05,348008,3203,164774,2886,54802,3691,0,192,54802,3691,0,192,723,651,452,399,909,451,2861,1168,2388,959,2739,1001,2775,973,3311,1060,3024,911,5017,1212,7382,1992,5688,1506,3310,1069,1801,775,3476,1345,4174,1147,2001,857,1859,617,912,350,109972,3860,75897,4123,34075,2909,7504,1536,5727,1486,3796,1071,2628,952,3512,1059,2171,1195,2070,732,954,578,1229,510,391,277,1057,551,795,469,335,299,552,446,336,363,298,215,162,236,169,218,103,127,286,305,183234,2245,64722,3387,0,192,64722,3387,0,192,149,155,1010,463,1573,679,2793,1103,2836,905,6583,1590,4897,1266,6595,1550,3620,977,6829,1255,6693,1598,4658,1247,3649,1102,3407,1346,2455,742,3097,1008,1824,741,1237,613,817,542,118512,4087,77217,3960,41295,3000,7808,1412,7273,1738,6165,1371,3478,868,4952,1154,3818,1157,2546,794,1476,560,764,364,306,269,875,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1800,8521,1390,6039,1239,4352,1195,2815,851,2046,760,2312,695,2825,746,2909,926,4006,1216,0400000US06,1807712,8567,883471,5770,305006,8565,0,203,305006,8565,1206,679,596,375,3194,1006,2798,849,6160,1346,4018,1115,11143,1948,6310,1625,16139,2930,8759,1496,18992,2588,23092,2641,19379,2819,21318,2660,17939,2733,22472,2317,29923,3275,22240,2276,34900,3218,34428,3094,578465,9363,383654,8487,194811,7278,38567,3059,22384,2499,20000,2565,14192,2423,21690,2431,8968,1923,11581,1895,5692,1238,7065,1653,3672,1014,9020,1628,6204,1697,3987,1078,4176,1359,2950,1003,3316,897,3624,806,2526,854,2248,641,2949,917,924241,6171,292454,6641,0,203,292454,6641,329,264,650,421,2420,779,3526,1070,5184,1191,5064,1187,9484,1783,7973,1359,11885,1883,8542,1887,20994,2346,23985,2984,27700,3246,21819,2440,17935,2382,23151,2712,28728,3029,20694,2551,26956,3091,25435,2674,631787,7743,406945,8405,224842,6926,43115,3876,24468,2211,21919,2644,18065,2666,21564,2513,12270,1926,13588,1790,6595,1299,10025,1513,6475,1508,10933,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
300,840,498,277,241,427,350,597,450,287,360,241,230,0,195,299,240,90,106,0400000US08,162380,4008,88308,2988,36637,2478,0,195,36637,2478,228,445,40,54,310,251,216,254,1241,570,354,346,879,429,1172,653,2093,919,1201,446,2776,967,3626,1023,3250,799,2958,977,2357,714,1504,662,4088,1297,1688,601,2753,790,3903,981,51671,3333,28421,2419,23250,2733,4998,1287,3275,1130,2087,743,2359,1184,2152,803,658,543,1486,580,677,541,1670,680,429,327,625,391,881,511,157,245,513,346,28,51,189,197,514,481,70,98,288,268,194,160,74072,2503,25317,2390,115,148,25202,2369,0,195,0,195,546,462,773,499,869,524,271,243,583,363,748,468,1233,537,996,522,2996,864,3895,1128,1582,736,2170,861,1583,581,1269,488,1531,762,2037,828,1343,726,777,410,48755,2214,28223,2482,20532,1927,4665,1049,2970,946,1945,785,1752,614,1371,553,1170,677,1584,776,762,418,677,425,98,129,480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1005,1803,768,809,488,1448,582,349,315,175,191,286,265,413,422,296,256,372,429,0400000US09,286951,4785,134784,3389,50100,3186,0,201,50100,3186,30,59,54,88,555,423,0,201,796,686,42,68,567,377,879,491,2440,776,1763,1049,3852,1284,5800,1450,3407,1022,4470,1351,4940,1365,5719,1714,4464,1282,2489,866,4033,963,3800,881,84684,4228,44072,2933,40612,3239,10130,1729,5736,1121,3614,1254,2105,814,4749,1242,1928,854,2038,874,906,544,1481,592,729,353,1705,850,1748,796,470,411,869,468,306,290,432,473,623,471,204,220,153,150,686,483,152167,2719,57888,3378,0,201,57888,3378,149,179,74,126,144,148,553,447,719,455,1904,907,1857,833,1193,566,2113,853,1087,427,5471,1315,8469,1726,7299,1541,4384,1198,2927,984,4933,1321,5770,1449,2024,799,5051,1323,1767,613,94279,3873,51192,3496,43087,3307,8103,1606,3720,1188,2439,750,2879,981,4115,1143,2892,1274,3904,1262,2021,899,2828,1064,1735,848,2500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
468,1236,779,305,260,79,92,176,196,366,305,22,37,199,176,318,230,195,196,0400000US10,153093,2496,69868,1793,31148,2155,0,189,31148,2155,121,81,84,140,38,66,126,159,1108,670,864,588,375,243,766,559,1665,893,811,566,1653,743,3406,1133,2144,788,3433,1086,1736,828,3003,908,3286,1114,1307,541,3025,901,2197,867,38720,2415,21872,2017,16848,2121,2061,706,1929,903,1998,717,1868,645,1813,888,730,327,1794,753,544,444,937,674,312,227,662,589,62,79,38,66,233,179,69,120,318,326,102,125,0,189,1063,674,315,405,83225,1472,35202,2302,0,189,35202,2302,98,167,0,189,589,465,60,99,702,477,593,442,1516,667,805,436,2244,702,814,526,4785,1233,3856,1184,2633,889,2783,997,2307,788,2653,1090,2470,1121,2095,897,2753,1126,1446,698,48023,2680,27702,2027,20321,2124,4435,1111,3252,948,2233,791,757,438,2151,748,1168,627,484,360,438,297,713,414,816,534,978,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
491,882,438,1408,591,868,450,393,281,182,175,152,127,52,86,633,426,462,358,0400000US11,255806,2649,113231,1424,38204,2674,0,203,38204,2674,160,111,249,215,261,215,222,178,592,436,869,546,1717,733,265,232,2261,819,932,465,2345,778,2577,793,3536,925,4889,1264,935,430,3603,1127,2733,999,2199,939,3919,1061,3940,959,75027,2572,48156,2683,26871,2495,8041,1332,3755,928,2235,854,1414,541,2429,1020,1081,466,1443,591,705,493,641,322,429,343,1089,545,455,333,249,210,425,241,253,220,110,131,48,78,59,96,995,597,1015,740,142575,1666,45253,2611,0,203,45253,2611,0,203,144,150,85,137,520,393,293,220,423,317,1530,607,1564,688,819,530,923,456,2715,753,3896,1005,3321,1021,3547,906,3317,862,2575,845,4570,1073,3927,1045,6292,1495,4792,954,97322,2940,66292,3238,31030,2405,6072,1263,4009,993,3094,773,1518,596,3097,865,1677,676,1544,762,1557,715,1182,484,1032,648,1216,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
2289,5343,1316,6259,1425,4833,1188,2601,891,2404,780,4338,1841,1182,490,1585,840,394,364,0400000US12,2389404,11920,1126271,6690,403742,11214,0,218,403742,11214,1266,662,1984,1349,4235,1076,4049,1208,13666,2602,11225,2201,19481,2972,19392,3094,33164,3693,21822,3521,45963,4298,48133,3906,31580,3832,32159,2982,22459,3488,20441,3142,24090,3058,14702,2175,18603,2315,15328,2315,722529,12193,469254,9196,253275,9654,48329,4110,31933,3385,27750,3584,24066,3529,30577,3311,15079,2067,15380,2222,9003,1957,10889,1783,4159,1184,11195,2337,7344,1652,3123,1032,2672,954,2972,896,1525,743,2608,790,1205,630,1386,618,2080,921,1263133,7681,465013,10215,0,218,465013,10215,35,62,1874,782,5918,1572,5241,1488,21279,2964,11734,2181,31368,3949,26151,2842,43059,4293,30210,3067,60370,5225,53514,4482,38156,3627,33510,3134,20963,2373,18835,2439,22652,2695,15503,2538,16727,2130,7914,1614,798120,10897,503463,10649,294657,9209,48524,3597,38244,3889,36721,3505,26957,2918,34930,3475,19270,2598,20548,2619,8946,1744,12174,2137,5417,1482,13987,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
