GEO_ID,C15002A_001E,C15002A_001M,C15002A_002E,C15002A_002M,C15002A_003E,C15002A_003M,C15002A_004E,C15002A_004M,C15002A_005E,C15002A_005M,C15002A_006E,C15002A_006M,C15002A_007E,C15002A_007M,C15002A_008E,C15002A_008M,C15002A_009E,C15002A_009M,C15002A_010E,C15002A_010M,C15002A_011E,C15002A_011M,NAME,C15002A_001MA,C15002A_001EA,C15002A_002MA,C15002A_002EA,C15002A_003MA,C15002A_003EA,C15002A_004EA,C15002A_004MA,C15002A_005MA,C15002A_005EA,C15002A_006EA,C15002A_006MA,C15002A_007MA,C15002A_007EA,C15002A_008MA,C15002A_008EA,C15002A_009EA,C15002A_009MA,C15002A_010MA,C15002A_010EA,C15002A_011EA,C15002A_011MA,state
0400000US01,2323633,4623,1121328,3574,158523,6154,343594,7211,325387,6716,293824,6769,1202305,2673,162439,6446,366987,8594,372117,7434,300762,7336,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,332078,1404,176008,1093,8900,1216,50372,2736,63876,2770,52860,2920,156070,964,6467,1141,33756,2405,58525,2939,57322,2698,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3569676,11051,1746049,6133,227271,8399,420115,10700,582618,10201,516045,9393,1823627,7084,208726,7062,464152,9599,641587,9765,509162,9119,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1586438,4163,766167,2790,111852,4655,283574,6935,204729,5957,166012,5222,820271,2523,114054,5340,275687,5826,250946,7771,179584,6214,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16141795,35423,7964031,20668,1297766,15859,1679618,20821,2391050,22163,2595597,19743,8177764,18348,1236404,16055,1721455,20381,2669401,22744,2550504,18272,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3030562,8495,1501212,5345,128801,6306,318233,8420,455160,10356,599018,8410,1529350,4947,115030,5114,323918,7470,485014,8132,605388,7760,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1983092,7024,942935,4666,75774,4402,264739,7088,224936,7023,377486,8679,1040157,3590,82900,4889,277071,6242,270469,7246,409717,7808,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,458722,2584,219802,1941,24126,2496,71149,3032,56541,2887,67986,2953,238920,1231,21713,2113,78609,3303,65685,3227,72913,3010,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,199325,3151,101292,1973,2122,899,2872,907,7220,1659,89078,1944,98033,1555,2460,943,3018,961,7341,1581,85214,1848,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10933884,13865,5277611,9467,661449,13801,1509919,18573,1535487,18019,1570756,19274,5656273,9848,628157,11481,1700655,18506,1781414,18119,1546047,17707,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
