GEO_ID,C13004_001E,C13004_001M,C13004_002E,C13004_002M,C13004_003E,C13004_003M,C13004_004E,C13004_004M,C13004_005E,C13004_005M,C13004_006E,C13004_006M,C13004_007E,C13004_007M,NAME,C13004_001EA,C13004_001MA,C13004_002EA,C13004_002MA,C13004_003MA,C13004_003EA,C13004_004EA,C13004_004MA,C13004_005EA,C13004_005MA,C13004_006MA,C13004_006EA,C13004_007EA,C13004_007MA,state
0400000US01,1133790,5789,57963,4139,34544,3167,23419,2727,1075827,6992,477198,9425,598629,10102,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,172140,2103,10345,1560,6480,1398,3865,773,161795,2727,76863,2828,84932,2786,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1516896,4149,82564,4442,50063,3059,32501,3807,1434332,6248,606389,9490,827943,9179,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,666828,4692,38899,3317,23581,2388,15318,2155,627929,6036,302522,7859,325407,6649,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9387078,10738,474178,10056,311920,7595,162258,6666,8912900,15546,3847017,24201,5065883,23318,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1245829,4595,64843,3655,45761,2966,19082,2503,1180986,6062,566303,9044,614683,9608,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,820163,3308,35469,3372,24097,2521,11372,2131,784694,4632,340171,7377,444523,8677,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,212034,1911,12562,1817,7966,1406,4596,960,199472,2480,80414,3579,119058,3728,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,179865,1676,9430,1543,4990,1293,4440,1160,170435,2440,40876,3082,129559,3681,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4387983,9354,212441,8758,124208,6931,88233,5389,4175542,13326,1730372,20078,2445170,19632,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2464263,8193,126129,6287,74972,5559,51157,3994,2338134,10077,1014595,11557,1323539,14616,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
