GEO_ID,B18140_001E,B18140_001M,B18140_002E,B18140_002M,B18140_003E,B18140_003M,B18140_004E,B18140_004M,B18140_005E,B18140_005M,B18140_006E,B18140_006M,B18140_007E,B18140_007M,NAME,B18140_001EA,B18140_001MA,B18140_002EA,B18140_002MA,B18140_003EA,B18140_003MA,B18140_004MA,B18140_004EA,B18140_005MA,B18140_005EA,B18140_006EA,B18140_006MA,B18140_007EA,B18140_007MA,state
0400000US01,26831,256,20641,895,26153,1733,15541,1224,27251,258,32948,1159,22260,320,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,36162,796,30208,4037,31676,2810,24508,6964,36689,821,42359,2695,30918,857,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,28940,551,20852,778,22940,3049,18450,1835,29913,459,32367,467,25529,374,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26048,346,17149,1050,21246,1614,14484,1361,26693,352,31308,429,22266,414,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30804,87,21688,432,24865,904,19075,1089,31117,91,35734,170,26523,181,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31606,212,21957,816,26958,2813,17202,1745,32010,206,39321,1035,26521,327,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36866,406,22781,2167,26247,2101,20580,2379,37479,674,46030,768,31310,315,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,31451,463,19895,3802,21078,4266,17860,5029,31855,480,37520,1774,28345,1378,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,46829,1296,23068,3812,21454,1926,25586,4158,48273,1992,51569,1214,45568,1285,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26909,153,20490,536,21698,734,18617,1196,27246,157,30901,196,24756,321,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,28703,429,21041,808,24724,1546,17734,1076,29456,466,33401,1037,24602,453,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,32035,437,22283,2575,28720,7347,18893,3993,32327,540,37722,1646,28321,1505,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
