GEO_ID,B25115_001E,B25115_001M,B25115_002E,B25115_002M,B25115_003E,B25115_003M,B25115_004E,B25115_004M,B25115_005E,B25115_005M,B25115_006E,B25115_006M,B25115_007E,B25115_007M,B25115_008E,B25115_008M,B25115_009E,B25115_009M,B25115_010E,B25115_010M,B25115_011E,B25115_011M,B25115_012E,B25115_012M,B25115_013E,B25115_013M,B25115_014E,B25115_014M,B25115_015E,B25115_015M,B25115_016E,B25115_016M,B25115_017E,B25115_017M,B25115_018E,B25115_018M,B25115_019E,B25115_019M,B25115_020E,B25115_020M,B25115_021E,B25115_021M,B25115_022E,B25115_022M,B25115_023E,B25115_023M,B25115_024E,B25115_024M,B25115_025E,B25115_025M,B25115_026E,B25115_026M,B25115_027E,B25115_027M,NAME,B25115_001EA,B25115_001MA,B25115_002MA,B25115_002EA,B25115_003MA,B25115_003EA,B25115_004MA,B25115_004EA,B25115_005EA,B25115_005MA,B25115_006EA,B25115_006MA,B25115_007MA,B25115_007EA,B25115_008EA,B25115_008MA,B25115_009EA,B25115_009MA,B25115_010MA,B25115_010EA,B25115_011MA,B25115_011EA,B25115_012EA,B25115_012MA,B25115_013MA,B25115_013EA,B25115_014MA,B25115_014EA,B25115_015MA,B25115_015EA,B25115_016EA,B25115_016MA,B25115_017EA,B25115_017MA,B25115_018MA,B25115_018EA,B25115_019MA,B25115_019EA,B25115_020EA,B25115_020MA,B25115_021EA,B25115_021MA,B25115_022EA,B25115_022MA,B25115_023MA,B25115_023EA,B25115_024EA,B25115_024MA,B25115_025EA,B25115_025MA,B25115_026MA,B25115_026EA,B25115_027MA,B25115_027EA,state
0400000US01,1822439,11200,1240017,12974,899109,13493,712114,13171,232501,7731,479613,8929,186995,6481,49410,2967,18743,2256,30667,2506,137585,5878,46722,3762,90863,3838,340908,8912,582422,10924,323459,9062,145751,6223,72943,4625,72808,4469,177708,7004,31072,3409,16147,2649,14925,1986,146636,5949,105498,5005,41138,3529,258963,8580,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,246015,2720,156107,3268,116760,3363,96316,3378,36380,2196,59936,2527,20444,1824,7708,1211,3155,731,4553,966,12736,1187,5263,763,7473,955,39347,2684,89908,3375,48671,2594,30186,2171,18470,1756,11716,1392,18485,1892,6396,1074,4700,911,1696,624,12089,1625,8950,1375,3139,852,41237,3000,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2400809,11557,1490031,12319,1061840,11878,864766,11469,274668,7935,590098,8094,197074,6903,64071,4275,27650,2632,36421,3318,133003,5379,52202,3867,80801,3719,428191,7826,910778,13688,510470,12774,271827,9734,155117,6133,116710,6538,238643,9287,65390,4641,37061,3603,28329,2900,173253,7675,124802,6324,48451,3621,400308,10436,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1125899,6925,739987,8706,541480,8013,444848,7667,150087,5281,294761,5625,96632,4026,27494,2302,10994,1644,16500,1803,69138,3565,24507,2135,44631,2814,198507,6795,385912,7213,209644,7285,103689,5043,54738,3733,48951,3929,105955,5687,25008,2978,15447,2158,9561,1688,80947,4726,57665,3609,23282,2379,176268,7815,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12650592,16944,6804639,28833,5131536,29949,4145501,24572,1589988,16343,2555513,19130,986035,14902,324935,8775,113096,5845,211839,6512,661100,12450,208116,8903,452984,8898,1673103,19484,5845953,25919,3514434,22184,2014813,22493,1163946,15865,850867,14837,1499621,15397,433427,10686,225977,7733,207450,7904,1066194,13686,683451,12365,382743,9015,2331519,22735,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2002800,8550,1291945,10661,927605,10344,783673,10522,300357,6420,483316,8360,143932,4971,46815,3644,21015,2322,25800,2576,97117,3658,43844,2770,53273,2844,364340,8206,710855,11436,352336,8089,198529,6972,111238,5838,87291,4214,153807,6693,41571,4022,25739,3149,15832,2266,112236,5660,81893,5059,30343,2714,358519,8132,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1339860,7005,888478,8542,656216,8111,546232,8541,207721,6066,338511,6944,109984,5063,32705,2823,11349,1621,21356,2433,77279,4004,32004,2777,45275,2955,232262,6686,451382,9182,234077,7526,111653,5878,54674,3943,56979,4233,122424,4277,24563,2650,12431,2034,12132,1938,97861,3839,65893,3621,31968,2382,217305,6903,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,339071,3144,243047,3975,177258,4047,141322,4332,44156,2676,97166,3075,35936,3037,9200,1223,3656,852,5544,982,26736,2876,9642,1531,17094,2276,65789,3343,96024,4093,51106,3723,23411,2764,11785,2049,11626,1897,27695,2468,5448,1394,3703,1318,1745,629,22247,2142,15272,1750,6975,1591,44918,2882,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,271651,3228,110513,3814,58138,2899,40677,2502,14858,1542,25819,1893,17461,1462,3805,887,1252,517,2553,701,13656,1520,3722,1001,9934,1321,52375,3054,161138,4370,62329,3251,25128,2595,10360,1653,14768,1973,37201,2848,7964,1587,4197,1192,3767,1101,29237,2326,16888,2040,12349,1660,98809,4398,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7211584,26752,4672482,24352,3226082,22565,2598029,22167,731703,12635,1866326,17821,628053,12346,175127,6182,66023,4019,109104,5272,452926,9834,157471,7125,295455,7510,1446400,18096,2539102,20898,1400306,16939,736354,15908,377745,11029,358609,9881,663952,15647,160491,7585,79837,5423,80654,6085,503461,12700,341093,11634,162368,6585,1138796,19190,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
