GEO_ID,C06001_001E,C06001_001M,C06001_002E,C06001_002M,C06001_003E,C06001_003M,C06001_004E,C06001_004M,C06001_005E,C06001_005M,C06001_006E,C06001_006M,C06001_007E,C06001_007M,C06001_008E,C06001_008M,C06001_009E,C06001_009M,C06001_010E,C06001_010M,C06001_011E,C06001_011M,C06001_012E,C06001_012M,C06001_013E,C06001_013M,C06001_014E,C06001_014M,C06001_015E,C06001_015M,C06001_016E,C06001_016M,C06001_017E,C06001_017M,C06001_018E,C06001_018M,C06001_019E,C06001_019M,C06001_020E,C06001_020M,C06001_021E,C06001_021M,C06001_022E,C06001_022M,C06001_023E,C06001_023M,C06001_024E,C06001_024M,C06001_025E,C06001_025M,C06001_026E,C06001_026M,C06001_027E,C06001_027M,C06001_028E,C06001_028M,C06001_029E,C06001_029M,C06001_030E,C06001_030M,C06001_031E,C06001_031M,C06001_032E,C06001_032M,C06001_033E,C06001_033M,C06001_034E,C06001_034M,C06001_035E,C06001_035M,C06001_036E,C06001_036M,C06001_037E,C06001_037M,C06001_038E,C06001_038M,C06001_039E,C06001_039M,C06001_040E,C06001_040M,C06001_041E,C06001_041M,C06001_042E,C06001_042M,C06001_043E,C06001_043M,C06001_044E,C06001_044M,C06001_045E,C06001_045M,NAME,C06001_001MA,C06001_001EA,C06001_002EA,C06001_002MA,C06001_003EA,C06001_003MA,C06001_004EA,C06001_004MA,C06001_005EA,C06001_005MA,C06001_006EA,C06001_006MA,C06001_007EA,C06001_007MA,C06001_008MA,C06001_008EA,C06001_009EA,C06001_009MA,C06001_010EA,C06001_010MA,C06001_011MA,C06001_011EA,C06001_012EA,C06001_012MA,C06001_013EA,C06001_013MA,C06001_014MA,C06001_014EA,C06001_015MA,C06001_015EA,C06001_016MA,C06001_016EA,C06001_017EA,C06001_017MA,C06001_018MA,C06001_018EA,C06001_019MA,C06001_019EA,C06001_020MA,C06001_020EA,C06001_021MA,C06001_021EA,C06001_022MA,C06001_022EA,C06001_023EA,C06001_023MA,C06001_024EA,C06001_024MA,C06001_025MA,C06001_025EA,C06001_026MA,C06001_026EA,C06001_027MA,C06001_027EA,C06001_028EA,C06001_028MA,C06001_029MA,C06001_029EA,C06001_030EA,C06001_030MA,C06001_031EA,C06001_031MA,C06001_032MA,C06001_032EA,C06001_033MA,C06001_033EA,C06001_034EA,C06001_034MA,C06001_035EA,C06001_035MA,C06001_036EA,C06001_036MA,C06001_037EA,C06001_037MA,C06001_038MA,C06001_038EA,C06001_039EA,C06001_039MA,C06001_040EA,C06001_040MA,C06001_041MA,C06001_041EA,C06001_042EA,C06001_042MA,C06001_043EA,C06001_043MA,C06001_044MA,C06001_044EA,C06001_045MA,C06001_045EA,state
0400000US29,6044171,-555555555,374233,2760,1024842,3553,597813,4345,1520386,4942,839236,3829,779303,2419,507803,2038,400555,1591,4003541,20461,331980,4292,821398,7648,402179,6826,932698,10070,500824,6567,472559,5896,296406,5738,245497,4029,1769328,20496,38102,2907,177646,7309,165399,6397,477091,10447,295480,6780,277931,5957,194457,5342,143222,3869,38041,3703,1440,679,5547,1442,4843,1417,13362,2181,6653,1183,3703,953,1847,728,646,327,233261,8582,2711,940,20251,2937,25392,3084,97235,5341,36279,3174,25110,2468,15093,1883,11190,1365,Missouri,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,1015165,-555555555,61143,1548,162953,1642,101900,2081,241344,2689,134116,1331,148629,1129,94636,888,70444,862,552986,7960,53167,1797,118423,3539,56155,2981,123289,3901,62939,2249,66668,2857,40818,2102,31527,2082,434048,7860,7480,1353,42221,2997,42571,2609,109356,4041,67087,2254,77558,3035,50693,1934,37082,1953,8666,1621,414,343,902,327,744,471,3806,1191,619,268,1772,698,315,209,94,122,19465,2382,82,88,1407,693,2430,1028,4893,1165,3471,811,2631,716,2810,740,1741,577,Montana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1868516,-555555555,128830,1130,334922,1597,189556,2470,475310,2985,245360,2387,229910,1253,138757,1070,125871,906,1215255,10158,112537,1579,255913,4362,117596,3354,270218,4971,144617,2937,140121,2711,85978,2061,88275,1868,515146,9967,14528,1471,67722,4090,54552,2950,139466,4914,79873,3161,78531,2695,46687,2046,33787,1930,14933,1706,935,498,1837,660,2173,668,5580,1116,2301,682,1501,538,386,262,220,217,123182,4739,830,400,9450,1576,15235,1552,60046,3870,18569,1869,9757,1127,5706,998,3589,845,Nebraska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2790136,-555555555,177287,907,484360,1131,255605,2214,777137,2528,378190,1483,336725,1280,236888,1172,143944,1182,717595,14224,146906,3283,295352,7635,94864,5250,117548,6262,32563,2385,18147,1784,8427,1395,3788,760,1497407,14536,27293,3257,159106,7253,124430,5927,418347,5898,233369,3890,241903,3542,180335,2539,112624,2099,45970,5186,1478,794,4533,1114,4674,1093,16393,2648,7544,1708,7430,2096,2574,774,1344,519,529164,10833,1610,618,25369,2794,31637,3167,224849,6087,104714,3631,69245,3082,45552,2361,26188,2062,Nevada,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1323459,-555555555,65807,1100,205368,1442,127716,1931,312451,2206,215908,1690,193249,1452,116885,1204,86075,931,558531,9328,52653,1991,136407,4121,61813,3313,122877,4721,62967,3478,56976,2789,36201,2366,28637,2001,675597,9160,12756,1850,62651,3727,57425,3356,159700,4665,135561,4078,125050,2924,72518,2459,49936,2144,14156,2229,56,79,1772,787,1379,610,3856,1145,4632,1044,1605,631,657,337,199,155,75175,4633,342,221,4538,1289,7099,1730,26018,2684,12748,1892,9618,1770,7509,1142,7303,1201,New Hampshire,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8899339,-555555555,531181,1706,1490716,1911,790737,2239,2323607,3347,1352589,1995,1126102,1412,703060,2224,581347,2257,4680107,26305,459676,4819,1141332,9375,520729,6626,1017444,12161,568417,9492,466267,6587,274016,5943,232226,5580,2073500,25863,55404,4093,225452,8296,127295,5330,482311,9859,372280,9026,349248,6286,242506,5850,219004,5867,219959,9074,4417,1021,22941,2611,18772,2849,56322,4211,39826,3246,37256,3110,25032,2354,15393,2114,1925773,22493,11684,1806,100991,5560,123941,6103,767530,10907,372066,8001,273331,7094,161506,5213,114724,5863,New Jersey,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2085287,-555555555,138396,1358,369688,1523,215357,2849,519218,3654,267999,3251,267472,1420,179869,1884,127288,1668,1084949,12990,116169,2812,271233,5531,130067,4662,243290,6089,119679,4120,102105,3354,59465,3140,42941,1735,764283,12317,20937,2331,80834,5017,62286,3922,184223,6242,108843,4309,134659,3261,100491,2838,72010,2005,24806,2872,631,411,3486,1165,1680,661,7442,1386,5357,1433,3493,1098,2153,972,564,297,211249,9656,659,430,14135,2258,21324,2288,84263,5582,34120,3216,27215,2379,17760,1931,11773,1820,New Mexico,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19651127,-555555555,1170425,2387,3068837,2849,1992555,4032,5313357,5817,2817419,4466,2458691,2552,1541599,2696,1288244,2054,12491364,39306,1082938,5958,2600041,12311,1397861,12472,2843414,18912,1598427,12361,1407971,10498,839829,7678,720883,6771,2307244,27317,52465,4525,215861,8608,248821,7952,751112,13509,311791,9240,308879,8218,227988,5540,190327,4265,469208,13074,10296,1570,49452,4286,36195,3569,107693,6576,68836,4497,74789,4116,67585,3635,54362,3571,4383311,34989,24726,3396,203483,8323,309678,8523,1611138,17696,838365,11888,667052,8517,406197,6702,322672,6317,New York,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9848060,-555555555,607482,3658,1676686,3723,995782,6722,2589730,9315,1353614,6238,1220048,3610,826057,3502,578661,3015,5655694,33633,533056,4998,1244701,13758,562564,9124,1187349,16098,648584,7970,663227,9058,463735,7016,352478,5563,3334187,32837,66894,4435,363070,11924,344948,8472,988028,16017,565213,8637,480383,9359,323809,6870,201842,5444,108753,6965,2444,853,15117,2499,11545,1771,43031,3653,18160,2108,11287,1974,4557,995,2612,863,749426,13204,5088,969,53798,4471,76725,4904,371322,8895,121657,5461,65151,3979,33956,2563,21729,2114,North Carolina,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,723393,-555555555,47475,1110,113218,1344,94885,2017,182969,2060,90992,1102,91304,986,51315,438,51235,414,471058,6267,39950,1454,83857,2582,48432,2750,103795,3849,55929,2058,60062,2021,37001,1268,42032,1120,224721,6184,7310,1329,26257,2731,40120,2716,67964,3738,32559,2099,28676,2071,13364,1313,8471,1076,6507,1627,193,175,1275,909,1304,641,2520,848,686,332,378,278,29,53,122,202,21107,2326,22,44,1829,901,5029,1396,8690,1776,1818,588,2188,703,921,347,610,286,North Dakota,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
