GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001EA,B25055_001MA,B25055_002EA,B25055_002MA,B25055_003MA,B25055_003EA,B25055_004EA,B25055_004MA,B25055_005EA,B25055_005MA,B25055_006MA,B25055_006EA,B25055_007EA,B25055_007MA,B25055_008MA,B25055_008EA,B25055_009MA,B25055_009EA,B25055_010EA,B25055_010MA,B25055_011EA,B25055_011MA,B25055_012MA,B25055_012EA,B25055_013EA,B25055_013MA,state
0400000US01,521275,10191,392407,8682,1886,823,390521,8608,70937,4900,570,365,70367,4887,34792,3209,901,534,33891,3189,23139,2239,5849,1384,17290,1916,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,83084,3268,67032,2988,159,200,66873,2983,9776,1257,80,94,9696,1251,4279,1184,41,47,4238,1179,1997,496,454,291,1543,412,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,865997,13331,670964,11810,2506,794,668458,11915,100890,4863,889,578,100001,4726,51140,3526,986,499,50154,3470,43003,3083,15892,1836,27111,2510,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,347957,7259,264763,6268,805,543,263958,6430,42320,2860,558,311,41762,2857,23225,2164,455,325,22770,2133,17649,1793,3020,678,14629,1699,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5664492,26884,4256128,24609,13975,2157,4242153,24400,721200,13088,6330,1688,714870,12790,373031,8968,8052,1806,364979,8618,314133,9469,64864,4051,249269,8164,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,682381,11273,529955,9996,2308,978,527647,9948,80424,3901,1501,721,78923,3772,37129,2772,1668,785,35461,2714,34873,2674,13266,1915,21607,1994,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,430906,8835,297189,7503,787,572,296402,7497,60369,3583,470,361,59899,3551,36406,3011,440,326,35966,3040,36942,2620,7141,1382,29801,2288,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,90026,3902,65867,3544,188,210,65679,3602,11490,1620,0,189,11490,1620,6933,1340,156,209,6777,1302,5736,981,1279,418,4457,865,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,156499,4214,118587,3746,369,286,118218,3707,19628,1959,0,203,19628,1959,10210,1199,342,282,9868,1283,8074,1203,1279,689,6795,1101,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2419717,21029,1764294,19328,7467,1529,1756827,19286,316709,7844,2335,817,314374,7721,179325,6567,3197,1054,176128,6557,159389,5503,41349,3381,118040,4420,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1247205,15048,977840,13398,4937,1377,972903,13515,149372,6402,1344,601,148028,6315,71943,4297,943,369,71000,4267,48050,2822,10921,1328,37129,2588,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,183426,5172,132868,4442,282,272,132586,4450,24198,2221,0,185,24198,2221,15446,1669,247,228,15199,1688,10914,1377,1982,779,8932,1222,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,167094,6323,129476,5138,614,608,128862,5089,18244,2343,810,758,17434,2204,10466,1736,388,417,10078,1687,8908,1644,3845,1088,5063,1076,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1556264,15968,1166910,15972,5582,1260,1161328,16138,187910,5503,951,449,186959,5390,100095,4256,3318,873,96777,4365,101349,5072,25092,2465,76257,4296,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,739568,11582,549351,11083,1043,549,548308,10982,95534,3725,1248,826,94286,3733,47380,2769,1416,695,45964,2748,47303,2950,12216,1959,35087,2419,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,337517,6826,250734,6109,514,369,250220,6096,35177,2636,108,125,35069,2629,20441,1876,718,363,19723,1909,31165,2153,9805,1472,21360,1750,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,353489,7726,266756,7495,1288,560,265468,7544,38559,2293,194,212,38365,2287,19527,1627,255,203,19272,1590,28647,1874,10696,1669,17951,1771,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,498672,9336,369860,8791,1762,709,368098,8810,69164,3805,674,349,68490,3763,35237,2614,772,498,34465,2613,24411,2430,5093,1085,19318,2103,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,531284,10845,409601,8910,2105,826,407496,8840,68970,4171,496,312,68474,4117,30840,2549,726,526,30114,2551,21873,1797,3885,775,17988,1659,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,150314,5119,103035,4550,908,653,102127,4494,19588,2066,263,426,19325,2101,11372,1514,284,364,11088,1508,16319,1682,3989,1121,12330,1404,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,695516,10341,512464,9035,1051,513,511413,9050,91047,4418,357,232,90690,4419,44456,3224,1685,679,42771,3036,47549,2947,11854,1346,35695,2718,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,943857,12947,662186,11468,2034,756,660152,11433,120250,4785,1515,658,118735,4753,81108,3345,1914,777,79194,3388,80313,3678,14886,2191,65427,3155,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1063403,11547,762459,11968,3278,854,759181,11803,147759,5126,1228,566,146531,5120,74343,3346,1881,686,72462,3198,78842,4274,21887,2019,56955,3706,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,574772,9235,414802,8044,1225,516,413577,7966,63994,3165,987,411,63007,3197,34584,2788,2149,679,32435,2567,61392,2870,19643,1836,41749,2406,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,314601,8171,242714,6945,611,391,242103,6934,37674,3446,155,183,37519,3400,20955,2298,219,214,20736,2318,13258,1630,2767,750,10491,1327,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,728460,9648,539497,9557,2059,965,537438,9465,88916,3767,900,481,88016,3727,50865,3316,921,481,49944,3334,49182,3153,12208,1746,36974,2738,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,123741,4160,90063,3501,865,537,89198,3553,14379,1707,480,375,13899,1620,8178,1277,280,230,7898,1274,11121,1390,3948,872,7173,1191,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,234180,5453,174987,5242,693,345,174294,5219,26147,2086,359,305,25788,2050,13262,1530,556,247,12706,1529,19784,1557,8174,960,11610,1377,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,444652,7492,327128,7176,795,460,326333,7121,61887,3505,509,339,61378,3423,34033,2495,136,113,33897,2498,21604,1971,3804,873,17800,1705,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,148869,5453,105994,5120,227,238,105767,5097,20114,2486,87,106,20027,2491,10971,1444,160,138,10811,1441,11790,1597,2435,905,9355,1392,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1105196,14417,775102,11015,2254,876,772848,10960,155074,6138,737,476,154337,6030,86177,3689,2211,936,83966,3433,88843,4103,13948,2067,74895,3824,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,222307,6816,167770,6197,339,304,167431,6251,28416,2620,218,232,28198,2630,15006,1689,77,82,14929,1683,11115,1437,2459,705,8656,1303,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3230463,19888,2187287,18847,9385,1708,2177902,18674,484273,9312,3123,1012,481150,9180,293527,7314,3469,1213,290058,7316,265376,7311,22949,2275,242427,6579,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1242779,14352,954935,13625,2678,874,952257,13585,151421,5745,1197,535,150224,5664,79483,3963,1619,633,77864,3821,56940,3624,15276,1820,41664,2865,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,96741,3561,70929,2881,600,458,70329,2931,9880,1352,0,149,9880,1352,5182,901,123,162,5059,879,10750,1154,2882,749,7868,961,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1467509,14496,1067850,13118,3579,1233,1064271,13298,192273,6991,1438,554,190835,7035,103094,4724,2110,833,100984,4561,104292,4203,25234,2279,79058,3801,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,457211,8080,351197,6887,1668,613,349529,6881,52302,2377,997,605,51305,2248,29946,2348,975,464,28971,2299,23766,1629,6133,1017,17633,1333,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,573479,8179,419348,7136,1218,684,418130,7198,76098,3784,766,469,75332,3795,36305,2923,2147,965,34158,2794,41728,2415,19862,2031,21866,1899,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1438508,16172,994625,14676,4928,1165,989697,14379,185805,5771,1537,633,184268,5681,113312,4104,3337,860,109975,4058,144766,4829,34853,2441,109913,4378,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,155998,5288,109342,4716,332,425,109010,4718,19823,1936,104,103,19719,1937,13396,1616,75,124,13321,1597,13437,1476,3152,928,10285,1319,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,514188,9589,398750,9091,1890,816,396860,9158,59230,3942,145,140,59085,3916,32889,2685,913,565,31976,2743,23319,2056,7040,1240,16279,1724,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,100487,3769,73072,3331,62,73,73010,3326,10446,1557,9,16,10437,1557,6521,1008,151,159,6370,1009,10448,1234,3101,811,7347,1065,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,764479,11666,578080,11059,2638,952,575442,11099,98555,4857,760,411,97795,4838,51130,3176,1515,682,49615,3134,36714,2871,9760,1691,26954,2204,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
