GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001MA,B16005I_001EA,B16005I_002MA,B16005I_002EA,B16005I_003MA,B16005I_003EA,B16005I_004EA,B16005I_004MA,B16005I_005EA,B16005I_005MA,B16005I_006EA,B16005I_006MA,B16005I_007MA,B16005I_007EA,B16005I_008MA,B16005I_008EA,B16005I_009EA,B16005I_009MA,B16005I_010EA,B16005I_010MA,B16005I_011MA,B16005I_011EA,state
0400000US34,1534867,978,821859,12587,262319,10409,559540,13515,452860,12323,106680,6379,713008,12544,28613,3296,684395,13017,222403,8640,461992,11444,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,904699,555,739969,8570,368080,12484,371889,12178,323176,12519,48713,4070,164730,8576,7382,1864,157348,8466,50855,4555,106493,7249,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3302996,1563,1908539,21758,616139,19724,1292400,22932,1017152,19245,275248,11551,1394457,21628,68218,4935,1326239,21008,389547,12163,936692,20359,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,764421,3091,374809,9372,127047,9119,247762,9405,195560,9124,52202,5089,389612,9080,18645,3053,370967,9430,107361,6526,263606,8566,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,15632,1073,13355,1027,9655,1074,3700,792,3248,702,452,280,2277,690,301,240,1976,658,933,432,1043,551,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,340104,2513,256113,6053,151838,6398,104275,5779,77041,4734,27234,3401,83991,5378,7912,1521,76079,5593,22936,3003,53143,4969,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,325515,1051,197025,4138,99599,5087,97426,4362,80420,4360,17006,1865,128490,4177,5899,1282,122591,4221,36717,2945,85874,3557,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,431982,1211,255770,7549,126969,8123,128801,5258,110056,5514,18745,2433,176212,7601,7479,1378,168733,7675,56261,5192,112472,6180,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,721054,1586,548909,9211,223601,9239,325308,9946,230281,8210,95027,6486,172145,9265,12591,2000,159554,9170,53310,4424,106244,8267,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,129361,509,72368,3885,16204,2523,56164,3815,48303,3400,7861,1603,56993,3927,2897,1002,54096,3813,18885,2214,35211,3342,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,224498,1750,113666,4698,48946,5015,64720,4251,53382,4558,11338,2409,110832,4545,7366,1701,103466,4701,33851,2682,69615,4384,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,23137,1011,17813,1136,10902,1136,6911,1102,5541,1219,1370,733,5324,964,366,235,4958,928,2011,795,2947,924,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,270083,2559,138872,5603,67171,6129,71701,5202,55743,4701,15958,2560,131211,5117,10959,2538,120252,5024,37416,3640,82836,4963,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,9175176,2589,6153281,30841,2144448,32647,4008833,35571,3184203,36979,824630,19687,3021895,30714,117754,7109,2904141,30802,797484,18087,2106657,30630,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,342808,840,210446,8002,119585,8142,90861,5175,78467,4806,12394,2140,132362,7882,6669,1504,125693,8070,50593,4740,75100,6261,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,8763,501,6475,749,5690,750,785,385,763,385,22,29,2288,635,607,376,1681,587,801,358,880,360,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,636962,3177,322892,8399,157040,8396,165852,6071,142739,5608,23113,3277,314070,8044,32987,6060,281083,8635,114952,6138,166131,7580,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,734691,1045,457234,8100,221332,10610,235902,7926,194961,8432,40941,4132,277457,8248,13385,2222,264072,7971,89490,5949,174582,7549,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,23734,1560,16521,1782,11018,1624,5503,1223,3292,1001,2211,788,7213,1306,813,374,6400,1356,2931,1052,3469,1052,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,321946,1785,212133,6635,101671,7633,110462,5287,86528,4845,23934,2569,109813,6580,6020,1734,103793,6103,35206,3402,68587,4625,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,46724,1400,39424,1903,29317,2086,10107,1585,8796,1593,1311,585,7300,1202,458,305,6842,1212,2083,746,4759,874,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3384833,3533,3297408,6584,189592,11127,3107816,12888,520139,14036,2587677,18588,87425,5375,5674,1314,81751,5232,9942,1832,71809,4906,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
