GEO_ID,B14007G_001E,B14007G_001M,B14007G_002E,B14007G_002M,B14007G_003E,B14007G_003M,B14007G_004E,B14007G_004M,B14007G_005E,B14007G_005M,B14007G_006E,B14007G_006M,B14007G_007E,B14007G_007M,B14007G_008E,B14007G_008M,B14007G_009E,B14007G_009M,B14007G_010E,B14007G_010M,B14007G_011E,B14007G_011M,B14007G_012E,B14007G_012M,B14007G_013E,B14007G_013M,B14007G_014E,B14007G_014M,B14007G_015E,B14007G_015M,B14007G_016E,B14007G_016M,B14007G_017E,B14007G_017M,B14007G_018E,B14007G_018M,B14007G_019E,B14007G_019M,NAME,B14007G_001MA,B14007G_001EA,B14007G_002MA,B14007G_002EA,B14007G_003EA,B14007G_003MA,B14007G_004MA,B14007G_004EA,B14007G_005EA,B14007G_005MA,B14007G_006EA,B14007G_006MA,B14007G_007MA,B14007G_007EA,B14007G_008MA,B14007G_008EA,B14007G_009EA,B14007G_009MA,B14007G_010MA,B14007G_010EA,B14007G_011EA,B14007G_011MA,B14007G_012MA,B14007G_012EA,B14007G_013EA,B14007G_013MA,B14007G_014EA,B14007G_014MA,B14007G_015EA,B14007G_015MA,B14007G_016EA,B14007G_016MA,B14007G_017EA,B14007G_017MA,B14007G_018MA,B14007G_018EA,B14007G_019MA,B14007G_019EA,state
0400000US01,73276,5598,34306,3845,2658,1131,2020,809,2655,901,2170,756,2297,890,2595,1112,2562,941,2294,831,1461,628,1603,650,1676,670,1460,674,1154,446,2150,831,4523,967,1028,522,38970,3384,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,51681,4645,24271,3265,1993,681,2154,995,1085,464,1318,618,1383,704,1008,394,908,356,1308,624,1362,417,1403,526,1070,556,590,224,1544,533,1891,636,4522,1350,732,575,27410,3243,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,190517,11081,92948,6738,6861,1353,5240,1075,6046,1534,5822,1148,4983,1069,4066,1120,4253,979,6038,1158,5220,1079,4281,1203,5661,1218,4436,973,4956,1392,4318,1077,17781,2453,2986,784,97569,6435,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,60706,4532,28914,3375,2756,988,2121,824,1848,851,1539,571,2616,984,1694,737,2711,955,1316,539,1316,578,1053,405,1821,696,1213,556,1108,492,1301,744,3715,913,786,514,31792,2950,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1578516,27866,759872,16387,55749,4583,47365,3285,41122,3834,41214,3467,40834,3165,40161,3862,41256,3757,40449,3330,37795,2971,37499,3012,41757,3314,38891,3270,36852,3595,37160,3072,156856,6773,24912,3076,818644,17691,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172120,8830,79236,6028,5368,1136,4939,1076,4142,955,4975,1091,5424,1260,5207,1050,5133,1292,4321,987,4097,1086,3530,765,3709,907,3188,895,3024,983,4625,1444,15077,2219,2477,820,92884,5872,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,95841,7238,51193,3997,4832,1294,3722,1005,3394,856,4096,994,2925,816,3029,885,2584,878,2407,989,2769,784,2138,640,2289,671,2719,948,1898,649,2709,835,8164,1289,1518,505,44648,4915,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23256,4133,12439,2601,989,530,793,498,1040,596,1335,667,499,274,974,616,1308,703,672,428,662,391,812,443,258,271,115,112,296,243,526,331,1854,798,306,249,10817,2677,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18621,3255,6748,1729,918,457,620,358,245,222,233,228,415,293,253,252,203,212,176,198,84,135,198,251,140,144,557,404,79,113,129,133,1732,629,766,420,11873,2095,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,420647,17126,194222,10373,16223,2967,11317,1985,8940,1468,13091,1774,11260,1747,11854,2257,11338,1961,11036,2104,10299,1831,10340,2128,9192,1765,7891,1460,7968,1773,10482,1757,36870,3950,6121,1517,226425,11853,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
