GEO_ID,B15011_001E,B15011_001M,B15011_002E,B15011_002M,B15011_003E,B15011_003M,B15011_004E,B15011_004M,B15011_005E,B15011_005M,B15011_006E,B15011_006M,B15011_007E,B15011_007M,B15011_008E,B15011_008M,B15011_009E,B15011_009M,B15011_010E,B15011_010M,B15011_011E,B15011_011M,B15011_012E,B15011_012M,B15011_013E,B15011_013M,B15011_014E,B15011_014M,B15011_015E,B15011_015M,B15011_016E,B15011_016M,B15011_017E,B15011_017M,B15011_018E,B15011_018M,B15011_019E,B15011_019M,B15011_020E,B15011_020M,B15011_021E,B15011_021M,B15011_022E,B15011_022M,B15011_023E,B15011_023M,B15011_024E,B15011_024M,B15011_025E,B15011_025M,B15011_026E,B15011_026M,B15011_027E,B15011_027M,B15011_028E,B15011_028M,B15011_029E,B15011_029M,B15011_030E,B15011_030M,B15011_031E,B15011_031M,B15011_032E,B15011_032M,B15011_033E,B15011_033M,B15011_034E,B15011_034M,B15011_035E,B15011_035M,B15011_036E,B15011_036M,B15011_037E,B15011_037M,B15011_038E,B15011_038M,B15011_039E,B15011_039M,NAME,B15011_001MA,B15011_001EA,B15011_002EA,B15011_002MA,B15011_003EA,B15011_003MA,B15011_004MA,B15011_004EA,B15011_005MA,B15011_005EA,B15011_006MA,B15011_006EA,B15011_007EA,B15011_007MA,B15011_008EA,B15011_008MA,B15011_009EA,B15011_009MA,B15011_010MA,B15011_010EA,B15011_011EA,B15011_011MA,B15011_012MA,B15011_012EA,B15011_013MA,B15011_013EA,B15011_014EA,B15011_014MA,B15011_015MA,B15011_015EA,B15011_016MA,B15011_016EA,B15011_017EA,B15011_017MA,B15011_018EA,B15011_018MA,B15011_019EA,B15011_019MA,B15011_020EA,B15011_020MA,B15011_021MA,B15011_021EA,B15011_022MA,B15011_022EA,B15011_023EA,B15011_023MA,B15011_024EA,B15011_024MA,B15011_025MA,B15011_025EA,B15011_026EA,B15011_026MA,B15011_027EA,B15011_027MA,B15011_028MA,B15011_028EA,B15011_029EA,B15011_029MA,B15011_030EA,B15011_030MA,B15011_031EA,B15011_031MA,B15011_032MA,B15011_032EA,B15011_033MA,B15011_033EA,B15011_034EA,B15011_034MA,B15011_035MA,B15011_035EA,B15011_036MA,B15011_036EA,B15011_037MA,B15011_037EA,B15011_038EA,B15011_038MA,B15011_039MA,B15011_039EA,state
0400000US01,756953,14652,355820,7628,95477,4716,40200,3026,5583,1263,21168,2175,7002,1354,21524,2778,183987,5099,76698,4232,11493,1348,48848,2875,14249,1927,32699,2845,76356,3087,31453,2205,4564,1012,19308,1957,9011,1305,12020,1442,401133,9986,131574,6199,30063,3190,18595,2484,27282,2460,25787,2881,29847,2854,204263,6913,39387,2521,27700,2890,43484,3440,57203,3604,36489,2565,65296,3232,8566,1489,6644,1009,6552,1244,30577,2206,12957,1743,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,129413,5080,60806,3373,20127,2089,10557,1751,855,461,2478,716,487,274,5750,1077,30517,2396,15371,1991,1601,660,4087,918,2370,608,7088,1186,10162,1253,5077,826,457,263,1177,495,1600,611,1851,509,68607,3138,25190,1904,9059,1484,4111,1048,4233,1125,2536,780,5251,1044,34288,2441,9163,1365,4960,1081,5805,1126,7885,1400,6475,969,9129,936,1560,592,560,275,869,358,4275,726,1865,515,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1188441,14354,593979,9898,161504,6308,73133,4353,10580,1845,37825,3113,8565,1736,31401,2975,276955,7428,117057,5059,17586,2043,69971,3948,20666,2029,51675,3540,155520,3866,68613,3205,8373,1058,35013,2492,18860,1617,24661,2483,594462,9773,184067,6413,56890,4254,20877,2195,32676,2976,28318,2777,45306,3165,294182,7120,65146,4083,39086,3088,64737,4044,58790,3207,66423,3634,116213,4569,19969,2071,13686,1518,11731,1726,46395,2541,24432,2247,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,403937,10454,192289,6296,60772,4259,22470,2928,4303,1351,15771,2277,3120,926,15108,2704,88994,4709,32229,2811,6382,1071,25148,2318,10816,1790,14419,2188,42523,2159,17094,1555,2372,676,10010,1338,7129,1098,5918,963,211648,6609,71862,3497,17779,1609,13000,1656,12118,1801,14268,2017,14697,2005,106058,5100,19693,1964,15161,1869,18827,2669,31962,2541,20415,2185,33728,2306,3395,730,3051,814,2998,703,16960,1579,7324,1189,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7805734,32043,3845005,21282,1218016,15990,588753,12514,58214,3606,246660,9410,23776,2525,300613,7876,1885083,15537,937912,14771,100545,5609,399625,11052,62237,5027,384764,8938,741906,8891,368464,6706,37842,3019,148379,4896,52585,2911,134636,4726,3960729,22523,1407893,16239,535495,10526,127316,6790,234283,7458,75107,4037,435692,11627,1911917,17841,595413,10602,218379,6683,367366,9029,179654,7027,551105,10824,640919,7526,142977,5185,79359,3539,58933,3774,165895,5678,193755,5918,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1328281,12257,659838,9201,200346,6105,87292,4214,7263,1295,47637,3328,5565,1420,52589,3479,336329,7923,161224,5154,14487,1775,80760,3990,16157,1498,63701,3411,123163,3279,60950,3095,4998,871,25991,1930,12479,1670,18745,1735,668443,7537,235174,5011,81281,4143,23373,2234,40417,2966,20326,2045,69777,3912,336630,5143,95796,4114,39796,2638,65078,3867,49700,2859,86260,4551,96639,3388,16842,1724,13631,1681,8784,1422,33027,2306,24355,2269,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,917454,13432,436878,9521,115829,5176,50475,3243,5919,1448,25806,2446,4294,1108,29335,2507,239358,6872,103732,4505,11407,1520,64785,4164,11830,1724,47604,2763,81691,3366,36737,2574,5415,1062,16826,1643,8022,1301,14691,1475,480576,8430,152356,4725,53212,3407,15658,1897,26197,2603,15902,1912,41387,2952,255751,6018,70170,3532,31485,2872,47914,3189,39955,2691,66227,3680,72469,3653,14892,1816,8595,1314,3987,986,23788,1904,21207,2182,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,187385,5510,89202,3768,26789,2049,12357,1615,1630,692,7473,1473,923,425,4406,1070,43721,2767,20115,1848,1387,434,11429,1582,3891,915,6899,1371,18692,1512,8130,1146,1018,350,3980,826,1838,497,3726,772,98183,4104,34505,2233,10768,1464,4195,1323,7370,1356,4085,1017,8087,1532,48121,3057,12938,1563,5624,1325,11354,1570,9082,1140,9123,1246,15557,1469,2879,600,2346,789,1197,477,5562,958,3573,704,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,249606,5387,119864,3241,60669,2422,34421,2269,1140,667,8047,1480,576,329,16485,1787,45519,2180,22637,1957,1927,700,5687,1425,1358,708,13910,2016,13676,901,7135,737,602,302,1361,498,741,432,3837,631,129742,3468,71662,2279,34216,2304,2620,701,6632,1360,1732,580,26462,2565,42754,2887,15783,2007,2070,689,5235,1202,4134,1313,15532,1541,15326,1074,3997,850,917,352,1086,388,2699,668,6627,980,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3734175,31175,1832540,21852,434676,11222,172534,6867,24334,2956,126452,6309,14967,2238,96389,6327,875132,13656,350217,8518,55751,4426,256187,9231,50769,3497,162208,6029,522732,8040,207047,6841,29819,2876,147109,5986,58529,4132,80228,4096,1901635,18106,571242,12006,154420,6473,71544,4554,130157,6513,77103,5228,138018,7175,932140,12307,214212,7182,133449,6216,205725,7586,187768,6068,190986,6878,398253,10162,62205,3845,51396,4104,38521,3287,162189,6430,83942,4612,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
