GEO_ID,C07008_001E,C07008_001M,C07008_002E,C07008_002M,C07008_003E,C07008_003M,C07008_004E,C07008_004M,C07008_005E,C07008_005M,C07008_006E,C07008_006M,C07008_007E,C07008_007M,C07008_008E,C07008_008M,C07008_009E,C07008_009M,C07008_010E,C07008_010M,C07008_011E,C07008_011M,C07008_012E,C07008_012M,C07008_013E,C07008_013M,C07008_014E,C07008_014M,C07008_015E,C07008_015M,C07008_016E,C07008_016M,C07008_017E,C07008_017M,C07008_018E,C07008_018M,C07008_019E,C07008_019M,C07008_020E,C07008_020M,C07008_021E,C07008_021M,C07008_022E,C07008_022M,C07008_023E,C07008_023M,C07008_024E,C07008_024M,C07008_025E,C07008_025M,C07008_026E,C07008_026M,C07008_027E,C07008_027M,C07008_028E,C07008_028M,C07008_029E,C07008_029M,C07008_030E,C07008_030M,NAME,C07008_001MA,C07008_001EA,C07008_002EA,C07008_002MA,C07008_003MA,C07008_003EA,C07008_004MA,C07008_004EA,C07008_005MA,C07008_005EA,C07008_006EA,C07008_006MA,C07008_007MA,C07008_007EA,C07008_008EA,C07008_008MA,C07008_009EA,C07008_009MA,C07008_010EA,C07008_010MA,C07008_011EA,C07008_011MA,C07008_012EA,C07008_012MA,C07008_013EA,C07008_013MA,C07008_014MA,C07008_014EA,C07008_015MA,C07008_015EA,C07008_016EA,C07008_016MA,C07008_017EA,C07008_017MA,C07008_018EA,C07008_018MA,C07008_019EA,C07008_019MA,C07008_020MA,C07008_020EA,C07008_021MA,C07008_021EA,C07008_022EA,C07008_022MA,C07008_023MA,C07008_023EA,C07008_024EA,C07008_024MA,C07008_025EA,C07008_025MA,C07008_026MA,C07008_026EA,C07008_027MA,C07008_027EA,C07008_028MA,C07008_028EA,C07008_029MA,C07008_029EA,C07008_030MA,C07008_030EA,state
0400000US34,7232903,1008,2474336,18294,3537204,27656,770301,15301,451062,9095,6524238,18040,2147472,21359,3282592,26706,675827,13423,418347,9041,373223,14531,169261,8494,130658,7398,55242,3907,18062,2173,171642,8578,89496,5371,52177,5066,21532,2094,8437,1725,115387,6203,51134,3667,45871,4177,14626,2096,3756,954,48413,4762,16973,2449,25906,3181,3074,1044,2460,1058,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1660531,2438,579451,10031,740517,14123,239972,8494,100591,4573,1425128,9606,461043,10178,671475,13526,201633,7402,90977,4269,137689,7296,68296,5072,38206,4090,25022,3297,6165,1327,39085,4276,21885,2945,9716,2056,6004,1279,1480,695,46914,3999,21875,2759,16752,2313,6800,1760,1487,685,11715,2346,6352,1880,4368,1115,513,297,482,373,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,16147773,2664,6179715,31351,7142845,46388,1838381,23050,986832,13315,14352914,27093,5207208,33621,6600350,44534,1626920,21483,918436,12429,1002547,24238,507198,15842,316361,11812,136719,6666,42269,3092,426972,12531,254906,9046,110952,6376,48267,3572,12847,1941,239323,8966,145419,6844,66699,4715,18235,2176,8970,1929,126017,7775,64984,6177,48483,4513,8240,1662,4310,1013,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,7938624,4795,2512268,20907,3835254,30514,1103145,17997,487957,10146,6733925,24434,1933189,21489,3447854,28565,910531,17076,442351,9589,622090,17506,298129,13322,190155,9897,107567,6587,26239,2582,305411,11286,158926,7492,82827,6524,53530,4230,10128,1962,232614,10040,104273,6147,92427,6468,28499,2857,7415,1393,44584,4955,17751,2689,21991,3285,3018,914,1824,626,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,587479,1396,189231,5158,303852,6922,60903,3861,33493,1794,482818,5257,130066,4975,271720,6165,50544,3369,30488,1693,46859,4092,25304,2948,15078,2710,4963,1038,1514,409,21382,2531,13055,2058,5544,1162,1773,560,1010,436,33365,3342,19550,2504,10021,2154,3529,1185,265,254,3055,984,1256,688,1489,543,94,123,216,208,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9386353,3494,2987663,21605,4489026,34676,1305561,18800,604103,8821,8025046,24356,2292318,20517,4105580,32185,1078438,16169,548710,8866,842251,19693,418777,12789,231052,9525,153673,7360,38749,3038,324267,11462,184255,7095,81105,5973,48768,3410,10139,1528,155763,8277,74688,4630,53777,5257,22180,2408,5118,841,39026,3887,17625,2537,17512,2734,2502,781,1387,554,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3053500,1978,852308,10498,1528342,12853,473534,9382,199316,4884,2530399,11150,628199,10807,1350121,12813,372546,8432,179533,4641,288310,11564,121855,7131,95599,6099,60059,3798,10797,1620,133632,6046,57246,3773,43870,4098,26632,2756,5884,1288,88374,5705,38708,3002,33730,3773,13388,1816,2548,664,12785,2178,6300,1410,5022,1238,909,453,554,388,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3219159,2530,973949,13083,1583795,17907,483238,12677,178177,5449,2612472,16462,685201,13594,1389260,16860,380869,11592,157142,5007,338871,13580,157590,9036,108290,7619,60288,5246,12703,1815,131264,7590,66873,4738,42008,4630,18882,2386,3501,920,121034,8138,56471,4778,38327,4595,22157,3120,4079,1195,15518,2340,7814,1597,5910,1475,1042,571,752,385,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10539705,2653,3540212,19402,5015110,30599,1253908,17528,730475,10358,9272836,21243,2856875,20039,4673720,30305,1067747,16026,674494,10352,734803,17644,379782,12667,196354,8973,122862,5689,35805,2751,286821,9169,170822,6304,67689,5581,37260,3090,11050,1372,194665,9251,108706,6465,56631,5159,22362,2563,6966,1493,50580,4216,24027,2640,20716,3080,3677,913,2160,657,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,877192,1106,314772,7194,390792,10043,113598,5780,58030,3153,762657,6710,255678,7732,358036,9607,96504,5581,52439,3453,61259,5367,29091,3472,17367,2820,10940,1709,3861,812,16409,2562,7440,1648,5454,1689,3115,921,400,281,30118,3031,19073,2312,6949,1724,2870,1266,1226,608,6749,1522,3490,1086,2986,1041,169,197,104,114,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
