GEO_ID,C21001C_001E,C21001C_001M,C21001C_002E,C21001C_002M,C21001C_003E,C21001C_003M,C21001C_004E,C21001C_004M,C21001C_005E,C21001C_005M,C21001C_006E,C21001C_006M,C21001C_007E,C21001C_007M,C21001C_008E,C21001C_008M,C21001C_009E,C21001C_009M,C21001C_010E,C21001C_010M,C21001C_011E,C21001C_011M,C21001C_012E,C21001C_012M,C21001C_013E,C21001C_013M,C21001C_014E,C21001C_014M,C21001C_015E,C21001C_015M,NAME,C21001C_001MA,C21001C_001EA,C21001C_002EA,C21001C_002MA,C21001C_003MA,C21001C_003EA,C21001C_004MA,C21001C_004EA,C21001C_005EA,C21001C_005MA,C21001C_006MA,C21001C_006EA,C21001C_007EA,C21001C_007MA,C21001C_008MA,C21001C_008EA,C21001C_009MA,C21001C_009EA,C21001C_010MA,C21001C_010EA,C21001C_011MA,C21001C_011EA,C21001C_012EA,C21001C_012MA,C21001C_013MA,C21001C_013EA,C21001C_014EA,C21001C_014MA,C21001C_015EA,C21001C_015MA,state
0400000US01,17227,2052,8017,1278,6847,1202,1368,578,5479,1104,1170,420,679,353,491,287,9210,1547,7770,1410,119,124,7651,1392,1440,624,118,188,1322,598,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,71780,2060,35748,1677,32140,1637,2145,440,29995,1569,3608,343,1390,342,2218,324,36032,1157,31134,1179,155,97,30979,1182,4898,441,17,20,4881,444,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,197894,4239,96321,2836,86683,2812,5986,1189,80697,3041,9638,698,3267,535,6371,645,101573,2591,89607,2588,1012,426,88595,2575,11966,647,0,203,11966,647,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13722,1655,6991,1048,6227,1033,1256,414,4971,999,764,292,385,218,379,205,6731,1253,5994,1185,139,196,5855,1174,737,393,0,192,737,393,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,214202,9940,109992,7055,97906,6672,8838,1471,89068,6341,12086,1316,5995,1013,6091,933,104210,4834,90364,4233,1340,562,89024,4156,13846,1662,307,222,13539,1620,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,32231,2964,14410,1842,13350,1709,1741,633,11609,1691,1060,384,627,275,433,236,17821,2205,15800,2147,68,98,15732,2114,2021,557,0,195,2021,557,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2989,828,1018,201,770,209,23,32,747,200,248,122,115,104,133,96,1971,837,1698,838,87,146,1611,842,273,189,0,189,273,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,39555,3702,20296,2225,17627,2287,2420,780,15207,2059,2669,653,1481,564,1188,397,19259,2795,16416,2720,381,237,16035,2713,2843,809,103,136,2740,772,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
