GEO_ID,B28005_001E,B28005_001M,B28005_002E,B28005_002M,B28005_003E,B28005_003M,B28005_004E,B28005_004M,B28005_005E,B28005_005M,B28005_006E,B28005_006M,B28005_007E,B28005_007M,B28005_008E,B28005_008M,B28005_009E,B28005_009M,B28005_010E,B28005_010M,B28005_011E,B28005_011M,B28005_012E,B28005_012M,B28005_013E,B28005_013M,B28005_014E,B28005_014M,B28005_015E,B28005_015M,B28005_016E,B28005_016M,B28005_017E,B28005_017M,B28005_018E,B28005_018M,B28005_019E,B28005_019M,NAME,B28005_001EA,B28005_001MA,B28005_002EA,B28005_002MA,B28005_003MA,B28005_003EA,B28005_004EA,B28005_004MA,B28005_005MA,B28005_005EA,B28005_006MA,B28005_006EA,B28005_007EA,B28005_007MA,B28005_008MA,B28005_008EA,B28005_009MA,B28005_009EA,B28005_010MA,B28005_010EA,B28005_011EA,B28005_011MA,B28005_012MA,B28005_012EA,B28005_013EA,B28005_013MA,B28005_014EA,B28005_014MA,B28005_015MA,B28005_015EA,B28005_016EA,B28005_016MA,B28005_017MA,B28005_017EA,B28005_018MA,B28005_018EA,B28005_019EA,B28005_019MA,state
0400000US01,4718690,-555555555,1107267,2845,979316,8519,9409,2168,799016,12453,170891,9585,127951,8375,2910514,3930,2483311,15448,29048,4249,2058999,19635,395264,15065,427203,14976,700909,2842,437180,7278,15070,2351,361891,7853,60219,4526,263729,6844,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,708533,-555555555,187795,833,177630,2860,776,616,157563,4081,19291,3379,10165,2722,456980,1539,428630,3717,3628,1310,378273,6239,46729,4574,28350,3544,63758,1239,52182,1436,633,368,47466,1558,4083,820,11576,1184,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6479000,-555555555,1611890,1152,1417088,10263,9220,2389,1214088,12967,193780,10820,194802,10260,3865219,2196,3423255,16270,25789,3908,3007718,21319,389748,17462,441964,16332,1001891,1968,786347,7734,15203,2232,691588,8680,79556,4442,215544,7733,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2878203,-555555555,707660,2448,631637,7370,7227,2426,483202,9963,141208,8843,76023,7507,1733071,2965,1487077,12525,20574,3396,1167341,14210,299162,11901,245994,12086,437472,2276,281602,4654,9086,1418,229593,5430,42923,3636,155870,5130,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37526347,-555555555,9148924,3072,8338922,25911,62733,6230,7315161,31361,961028,22534,810002,25157,23723043,5831,21777217,33086,160492,10898,19589574,44420,2027151,38087,1945826,33508,4654380,5434,3588257,15749,70550,4597,3174972,16735,342735,10046,1066123,15342,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5150967,-555555555,1238697,3193,1176683,7225,8572,2583,1048274,12182,119837,10834,62014,6680,3284268,3641,3085233,11447,24567,3327,2776179,17130,284487,13495,199035,11592,628002,2372,495754,5279,15474,2283,435396,5967,44884,3743,132248,5418,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3477951,-555555555,783006,1158,753287,4799,2869,1691,693714,7898,56704,6188,29719,4635,2175889,1764,2032264,9400,8418,1981,1875327,13306,148519,10497,143625,9348,519056,1690,373070,5228,6857,1514,332428,5805,33785,3384,145986,5134,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,900545,-555555555,203150,471,189422,3182,694,543,161080,4839,27648,4388,13728,3214,554536,815,510857,4687,4015,1302,445324,6813,61518,6127,43679,4443,142859,691,107357,2561,2003,838,94750,3156,10604,1577,35502,2486,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,606151,-555555555,110603,500,97563,2858,352,360,81644,3976,15567,2688,13040,2782,424781,774,381025,4880,1888,1068,335063,5840,44074,4969,43756,4768,70767,618,48037,2053,908,413,41164,2270,5965,1008,22730,2128,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19126980,-555555555,4016500,2481,3686319,15136,23018,4503,3218697,24711,444604,19472,330181,15624,11539116,5075,10447753,26237,79414,8101,9256932,36324,1111407,27851,1091363,26581,3571364,4265,2754896,15603,50852,4225,2419389,17339,284655,10302,816468,15315,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
