GEO_ID,B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M,NAME,B27015_001MA,B27015_001EA,B27015_002EA,B27015_002MA,B27015_003EA,B27015_003MA,B27015_004EA,B27015_004MA,B27015_005MA,B27015_005EA,B27015_006MA,B27015_006EA,B27015_007EA,B27015_007MA,B27015_008MA,B27015_008EA,B27015_009MA,B27015_009EA,B27015_010EA,B27015_010MA,B27015_011MA,B27015_011EA,B27015_012MA,B27015_012EA,B27015_013EA,B27015_013MA,B27015_014MA,B27015_014EA,B27015_015MA,B27015_015EA,B27015_016EA,B27015_016MA,B27015_017EA,B27015_017MA,B27015_018EA,B27015_018MA,B27015_019MA,B27015_019EA,B27015_020MA,B27015_020EA,B27015_021EA,B27015_021MA,B27015_022MA,B27015_022EA,B27015_023EA,B27015_023MA,B27015_024EA,B27015_024MA,B27015_025EA,B27015_025MA,B27015_026EA,B27015_026MA,state
0400000US01,4709429,1814,1126657,25143,865375,18520,349121,11997,661511,16121,261282,12314,1182967,26461,982836,22080,689519,18519,485643,15747,200131,11654,910139,24785,811461,22659,684703,21901,253793,9552,98678,8173,576825,19541,539380,18913,495394,18530,113777,6830,37445,4639,912841,23910,872182,22342,828696,21583,133439,6543,40659,5035,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,697262,1963,68055,5353,48745,4287,15260,2381,40420,3805,19310,2146,114068,7546,84250,6502,51400,4833,45544,4650,29818,3392,127889,11131,103843,10158,83397,8145,34414,5456,24046,3065,112474,7516,92126,6970,81787,6427,19080,2701,20348,3124,274776,12024,241061,11026,224066,10338,41362,4125,33715,4366,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6469335,1734,1308481,29225,978407,23614,348090,13091,765866,22210,330074,14574,1594171,39243,1218759,31233,757329,22722,688175,22141,375412,17069,1270794,30603,1056756,27742,845571,23831,371084,14372,214038,12282,847049,25325,754264,23402,664249,21544,179533,8372,92785,8304,1448840,29434,1355623,27723,1261677,26363,223044,9661,93217,8704,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2874086,1233,705471,17244,538520,13798,194646,8645,420909,12629,166951,8467,803845,22027,647428,17888,399883,13807,360786,13356,156417,9103,559604,21540,483731,18446,390485,15667,165541,9196,75873,7724,329446,15748,303504,14356,270843,13061,68898,5255,25942,3832,475720,18017,438885,16877,407587,15769,79309,6061,36835,5342,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37447772,5167,6143265,67114,4675819,57880,1530559,28145,3645689,51863,1467446,27297,7806813,84893,5839829,64494,3246130,49107,3333934,40664,1966984,40526,6505344,69858,5187850,58296,3933003,46715,1844084,32038,1317494,30053,4872252,76465,4147960,66923,3511905,56409,1043278,28498,724292,23913,12120098,87043,11156328,78045,10271217,75701,1794584,26996,963770,26361,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5126753,2685,756103,22740,582787,20118,252642,11700,415757,16933,173316,8974,1072319,27246,837524,20328,551212,14421,420574,15948,234795,12097,954021,23435,802417,20824,682577,18406,229269,11136,151604,9885,755169,26051,679184,22327,618783,19762,134197,10013,75985,7488,1589141,25337,1501104,27305,1426869,25488,186985,8838,88037,7553,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3473859,1156,453302,15966,388317,13474,127188,7061,325239,12168,64985,6020,557287,18415,470804,16506,271083,11257,294803,12671,86483,7550,559205,21574,490857,19646,388199,16686,176433,12717,68348,7260,468830,16690,427762,14074,373055,12837,106898,7265,41068,5437,1435235,25034,1366689,24458,1291016,23456,186046,7678,68546,6981,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,898244,1114,128310,10064,114050,9153,45050,4357,93157,7990,14260,2970,183910,10575,155984,9658,98277,8199,92931,6810,27926,4161,179119,10012,161627,8711,132066,7819,60350,5196,17492,2817,127473,9679,116551,8845,103838,7738,31458,3485,10922,2572,279432,12117,267246,11888,246837,10656,44507,5192,12186,2841,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,604618,581,118319,8253,110168,8113,35729,4666,88002,6780,8151,1947,98248,8509,88159,8424,51572,5125,53257,7502,10089,2205,85348,7051,77425,6302,59610,5141,29732,4556,7923,1754,56633,5420,51832,4931,44304,4595,12647,2438,4801,1752,246070,8579,237192,8129,223738,7409,34459,3582,8878,2042,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19089745,3839,3848971,55656,2811307,43881,1059673,19465,2183637,40117,1037664,26151,4942389,54519,3670363,47130,2248362,36596,2102387,36210,1272026,28073,3753273,61374,3002347,54231,2360176,46913,1110585,24941,750926,27344,2430238,46754,2077854,41326,1793751,38837,554263,19679,352384,19120,4114874,58196,3715681,50295,3387583,46393,751547,18158,399193,22833,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
