GEO_ID,C17001H_001E,C17001H_001M,C17001H_002E,C17001H_002M,C17001H_003E,C17001H_003M,C17001H_004E,C17001H_004M,C17001H_005E,C17001H_005M,C17001H_006E,C17001H_006M,C17001H_007E,C17001H_007M,C17001H_008E,C17001H_008M,C17001H_009E,C17001H_009M,C17001H_010E,C17001H_010M,C17001H_011E,C17001H_011M,C17001H_012E,C17001H_012M,C17001H_013E,C17001H_013M,C17001H_014E,C17001H_014M,C17001H_015E,C17001H_015M,C17001H_016E,C17001H_016M,C17001H_017E,C17001H_017M,C17001H_018E,C17001H_018M,C17001H_019E,C17001H_019M,NAME,C17001H_001EA,C17001H_001MA,C17001H_002MA,C17001H_002EA,C17001H_003MA,C17001H_003EA,C17001H_004EA,C17001H_004MA,C17001H_005MA,C17001H_005EA,C17001H_006MA,C17001H_006EA,C17001H_007EA,C17001H_007MA,C17001H_008EA,C17001H_008MA,C17001H_009MA,C17001H_009EA,C17001H_010MA,C17001H_010EA,C17001H_011EA,C17001H_011MA,C17001H_012MA,C17001H_012EA,C17001H_013MA,C17001H_013EA,C17001H_014MA,C17001H_014EA,C17001H_015MA,C17001H_015EA,C17001H_016MA,C17001H_016EA,C17001H_017EA,C17001H_017MA,C17001H_018MA,C17001H_018EA,C17001H_019EA,C17001H_019MA,state
0400000US01,3141018,4556,412592,14369,180983,7310,56147,4150,110179,5406,14657,1701,231609,9339,53136,4130,150874,6613,27599,2118,2728426,15019,1354547,7697,272361,4044,849230,5801,232956,1782,1373879,9900,260034,4636,829677,6961,284168,2181,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,450354,970,26703,3161,12738,1744,3843,1008,8041,1168,854,505,13965,1858,3385,944,9583,1283,997,395,423651,3253,226197,1998,45543,1178,156674,1385,23980,587,197454,1966,41325,1413,133685,1373,22444,434,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3682557,4237,426423,16751,196860,9266,43397,5144,132360,6241,21103,1903,229563,10348,44396,4734,149569,6657,35598,3022,3256134,17028,1609997,9617,287392,5370,960631,6775,361974,2032,1646137,10627,274003,4845,967002,6930,405132,3063,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2120542,2978,315811,12314,141219,7276,47132,3812,83069,5045,11018,1464,174592,7546,43010,3904,108988,5158,22594,2230,1804731,12653,897918,7732,182278,4601,553211,5068,162429,1579,906813,8022,173508,4003,544372,5490,188933,2246,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14615494,8898,1575551,26888,729500,14977,138390,7367,517542,12520,73568,4100,846051,16387,132944,7703,573740,12121,139367,5076,13039943,27739,6535397,16248,1087826,8494,4244376,13598,1203195,4647,6504546,16393,1031510,7866,4057797,11914,1415239,5464,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3574069,4246,333569,13996,150373,8000,33103,3760,105371,6076,11899,1485,183196,8602,30538,3493,132238,6267,20420,1782,3240500,14796,1629562,8619,324206,3919,1074558,6481,230798,1675,1610938,8947,309152,4024,1034065,6259,267721,2063,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2422248,3305,148684,10116,65015,5324,13486,2553,43689,3837,7840,1316,83669,5950,11836,2456,55016,3823,16817,1633,2273564,10472,1117531,5417,219366,2711,708625,4087,189540,1554,1156033,6216,208197,2481,710504,4130,237332,1922,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,578821,1528,49839,5316,21898,2986,4390,1395,14816,2128,2692,835,27941,3103,4781,1447,18467,2272,4693,908,528982,5687,257729,3387,48853,1416,158932,2316,49944,863,271253,3099,46092,1440,165218,2335,59943,1017,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,215153,1844,16665,2251,6799,1284,125,127,6372,1195,302,269,9866,1780,503,539,8466,1549,897,478,198488,2314,99662,1402,11230,425,78181,1306,10251,455,98826,1856,10334,617,76999,1580,11493,535,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10776700,8806,1284413,30342,582325,17570,131332,9328,374653,12071,76340,4645,702088,17664,127197,8082,445227,12394,129664,5542,9492287,30921,4682994,19133,759297,9720,2745982,13317,1177715,5036,4809293,18466,719266,8238,2748556,13100,1341471,5543,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
