GEO_ID,C05003_001E,C05003_001M,C05003_002E,C05003_002M,C05003_003E,C05003_003M,C05003_004E,C05003_004M,C05003_005E,C05003_005M,C05003_006E,C05003_006M,C05003_007E,C05003_007M,C05003_008E,C05003_008M,C05003_009E,C05003_009M,C05003_010E,C05003_010M,C05003_011E,C05003_011M,C05003_012E,C05003_012M,C05003_013E,C05003_013M,C05003_014E,C05003_014M,C05003_015E,C05003_015M,NAME,C05003_001MA,C05003_001EA,C05003_002EA,C05003_002MA,C05003_003MA,C05003_003EA,C05003_004EA,C05003_004MA,C05003_005EA,C05003_005MA,C05003_006EA,C05003_006MA,C05003_007EA,C05003_007MA,C05003_008EA,C05003_008MA,C05003_009EA,C05003_009MA,C05003_010EA,C05003_010MA,C05003_011MA,C05003_011EA,C05003_012EA,C05003_012MA,C05003_013EA,C05003_013MA,C05003_014EA,C05003_014MA,C05003_015EA,C05003_015MA,state
0400000US01,4833722,-555555555,2341869,4937,564772,4246,559600,4536,5172,1566,1777097,3850,1698267,4500,78830,4711,2491853,4937,545119,4402,538239,4461,6880,1339,1946734,2639,1875390,5065,71344,4073,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,735132,-555555555,386404,1948,97445,1736,95981,1750,1464,658,288959,1213,266470,2033,22489,1754,348728,1948,90921,1717,89149,1701,1772,747,257807,888,232772,2292,25035,2238,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6626624,-555555555,3298086,2142,825932,1924,797381,3230,28551,2975,2472154,1414,2066085,9598,406069,9474,3328538,2142,790030,1891,762904,4350,27126,3745,2538508,1181,2103944,10279,434564,10397,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2959373,-555555555,1461544,4406,371009,4016,365851,4135,5158,1447,1090535,3050,1028231,4149,62304,2999,1497829,4406,340613,3563,335243,3946,5370,1396,1157216,2432,1096160,3401,61056,3029,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38332521,-555555555,19072246,4878,4697737,4429,4460851,9135,236886,8648,14374509,3451,9614009,28872,4760500,29099,19260275,4878,4476447,4226,4240300,9285,236147,8464,14783828,2822,9706161,27850,5077667,27966,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5268367,-555555555,2645976,3935,634794,3625,615706,4094,19088,2353,2011182,2486,1786582,6965,224600,6951,2622391,3935,606531,3293,584070,4060,22461,2333,2015860,2436,1781375,7016,234485,6170,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3596080,-555555555,1751883,2326,399488,1827,384955,2834,14533,2252,1352395,1552,1125834,7656,226561,7343,1844197,2326,385854,1777,370788,2791,15066,1908,1458343,1248,1214860,6829,243483,6829,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,925749,-555555555,447789,1076,103371,842,101854,951,1517,537,344418,892,307035,2303,37383,2423,477960,1076,100317,865,98737,951,1580,591,377643,781,341355,3000,36288,2845,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,646449,-555555555,306147,576,56029,408,53918,748,2111,707,250118,410,206852,2761,43266,2713,340302,576,55503,461,52044,1182,3459,1174,284799,308,240816,3221,43983,3251,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19552860,-555555555,9565609,6671,2066258,6164,1966881,8249,99377,6382,7499351,3344,5809849,18000,1689502,17867,9987251,6671,1962472,6191,1863510,8394,98962,5962,8024779,2991,6114558,22318,1910221,22567,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
