GEO_ID,C27010_001E,C27010_001M,C27010_002E,C27010_002M,C27010_003E,C27010_003M,C27010_004E,C27010_004M,C27010_005E,C27010_005M,C27010_006E,C27010_006M,C27010_007E,C27010_007M,C27010_008E,C27010_008M,C27010_009E,C27010_009M,C27010_010E,C27010_010M,C27010_011E,C27010_011M,C27010_012E,C27010_012M,C27010_013E,C27010_013M,C27010_014E,C27010_014M,C27010_015E,C27010_015M,C27010_016E,C27010_016M,C27010_017E,C27010_017M,C27010_018E,C27010_018M,C27010_019E,C27010_019M,C27010_020E,C27010_020M,C27010_021E,C27010_021M,NAME,C27010_001MA,C27010_001EA,C27010_002EA,C27010_002MA,C27010_003EA,C27010_003MA,C27010_004MA,C27010_004EA,C27010_005EA,C27010_005MA,C27010_006MA,C27010_006EA,C27010_007MA,C27010_007EA,C27010_008MA,C27010_008EA,C27010_009MA,C27010_009EA,C27010_010EA,C27010_010MA,C27010_011MA,C27010_011EA,C27010_012MA,C27010_012EA,C27010_013EA,C27010_013MA,C27010_014MA,C27010_014EA,C27010_015EA,C27010_015MA,C27010_016EA,C27010_016MA,C27010_017MA,C27010_017EA,C27010_018MA,C27010_018EA,C27010_019MA,C27010_019EA,C27010_020EA,C27010_020MA,C27010_021EA,C27010_021MA,state
0400000US01,4755381,1814,1107844,2800,566438,11203,452706,10159,40519,4099,48181,5683,1083752,5679,655972,9748,109819,5847,29202,3547,288759,10706,1861714,5869,1219036,14665,229811,7759,108201,5449,304666,10485,702071,2771,13663,2002,237806,6266,446773,5959,3829,1123,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,712248,1963,187885,833,102673,4065,54877,3600,8493,1949,21842,2981,181673,2823,108367,4396,16337,1981,5019,1412,51950,3848,278103,2043,182659,5076,23523,2519,14426,1673,57495,3644,64587,1146,3125,997,21058,1773,39705,1925,699,318,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6521226,1734,1613505,1027,811079,14867,552816,12429,57850,5626,191760,10797,1496622,3908,819221,11897,224135,8717,30399,2782,422867,11475,2404278,3632,1507590,15587,310250,9845,91884,5286,494554,12409,1006821,1666,23499,2464,411426,7517,562891,7473,9005,1533,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2907014,1233,709125,2381,297652,9422,345312,9998,26902,3260,39259,5023,654148,4677,369001,8020,70446,4372,16027,2236,198674,7759,1105752,4798,668137,10075,156590,5887,55675,3325,225350,8191,437989,2282,6639,1182,180803,5573,248880,5266,1667,995,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37831553,5167,9157955,2369,4681740,30141,3530610,32842,272397,10937,673208,17842,9373754,7085,5311038,29130,1226117,17381,159548,6739,2677051,26941,14602764,6942,9363007,34685,1776343,27749,396918,8717,3066496,32962,4697080,3683,173839,6671,2104636,17179,2335181,16652,83424,5559,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5173272,2685,1239191,3147,747110,10745,350807,11510,39125,4198,102149,6364,1244307,4935,804412,10904,123403,6311,30148,2805,286344,9999,2060633,4704,1479695,11719,174411,7560,69944,4629,336583,9967,629141,2142,18678,1881,228827,7141,377524,7275,4112,1023,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541409,1156,784159,911,489041,9571,235254,9286,26209,3534,33655,4063,767690,2399,511862,8302,119607,6986,11518,1627,124703,6930,1468005,2660,1086788,10757,168266,7558,43452,3787,169499,9209,521555,1361,17974,1958,181887,6145,317048,6063,4646,1257,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,911502,1114,203339,387,116266,5104,68402,4720,9583,1775,9088,2188,205526,1535,132366,4889,36564,3485,5073,1303,31523,3511,359612,1500,252194,5237,50482,3788,15733,1747,41203,3643,143025,657,2793,724,35954,2791,102808,2776,1470,567,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,635833,581,111287,241,51607,3231,47855,3813,9195,2481,2630,1112,222543,593,161155,3487,36068,3185,6478,1603,18842,2055,230610,726,150559,4027,49470,3012,10022,1682,20559,2415,71393,513,5459,921,22460,2133,43210,2020,264,266,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19245127,3839,4019835,2322,1904209,26216,1570853,30513,99738,6980,445035,17132,4112499,6704,2144322,22568,480376,15350,70213,5803,1417588,19672,7534396,7799,4522403,25374,819465,16025,261329,7864,1931199,25659,3578397,4016,87994,5358,1586061,16349,1845201,17293,59141,5391,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
