GEO_ID,B10051_001E,B10051_001M,B10051_002E,B10051_002M,B10051_003E,B10051_003M,B10051_004E,B10051_004M,B10051_005E,B10051_005M,B10051_006E,B10051_006M,B10051_007E,B10051_007M,B10051_008E,B10051_008M,B10051_009E,B10051_009M,B10051_010E,B10051_010M,B10051_011E,B10051_011M,NAME,B10051_001MA,B10051_001EA,B10051_002EA,B10051_002MA,B10051_003MA,B10051_003EA,B10051_004EA,B10051_004MA,B10051_005MA,B10051_005EA,B10051_006MA,B10051_006EA,B10051_007EA,B10051_007MA,B10051_008MA,B10051_008EA,B10051_009MA,B10051_009EA,B10051_010MA,B10051_010EA,B10051_011MA,B10051_011EA,state
0400000US01,122379,6359,62856,4435,29697,3299,16677,2608,13020,2129,33159,3335,24020,3053,9139,1432,59523,5246,29329,3543,30194,2974,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15564,2047,8355,1553,2118,796,1298,627,820,356,6237,1449,4466,1281,1771,496,7209,1171,3914,1021,3295,739,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,159959,9264,59363,4663,17089,2380,7676,1647,9413,1478,42274,4206,29768,3617,12506,1903,100596,7087,50855,5831,49741,3746,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66665,4100,38374,3273,17888,2238,9950,1801,7938,1379,20486,2494,12878,2075,7608,1676,28291,2872,15054,2324,13237,2095,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1125392,19034,295799,8535,65697,5265,29943,3604,35754,3124,230102,7936,149936,7218,80166,4079,829593,16957,353796,12220,475797,12048,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100310,6042,38472,4581,13898,2597,7886,1854,6012,1211,24574,3434,17289,2695,7285,1624,61838,4644,31021,3610,30817,2952,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,64927,4689,19042,2946,5406,1442,3348,1086,2058,808,13636,2267,8415,2092,5221,1233,45885,4353,16985,2742,28900,3258,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23749,2994,10430,1836,4997,1438,3291,1168,1706,763,5433,1315,4276,1225,1157,453,13319,2168,5817,1271,7502,1784,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10666,1540,4244,1022,1271,718,687,628,584,260,2973,730,1873,629,1100,451,6422,1324,3314,911,3108,885,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468303,13938,154305,8088,45343,4479,21840,2998,23503,2893,108962,7477,66145,5961,42817,4414,313998,12477,129717,8956,184281,8735,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,252940,11456,110450,7533,40947,4477,22371,3094,18576,2713,69503,6281,49680,5438,19823,2435,142490,8386,64199,5486,78291,5858,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,56241,4534,11692,1834,3127,1010,773,541,2354,872,8565,1635,5023,1157,3542,960,44549,4004,14920,2518,29629,3204,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26088,3318,10722,2203,4687,1423,1935,839,2752,1088,6035,1484,3809,1244,2226,732,15366,2416,8867,1820,6499,1570,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,280128,9982,98074,5254,28197,2510,13269,1529,14928,1897,69877,4248,46303,3369,23574,2664,182054,8532,83555,6387,98499,5050,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,125600,6868,60629,5233,21011,2693,12316,1847,8695,1814,39618,4285,29093,3885,10525,1929,64971,4654,34642,3511,30329,3120,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39846,3580,16086,1919,6081,1268,2702,725,3379,890,10005,1496,7237,1218,2768,882,23760,2514,13310,2082,10450,1797,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,47625,3879,22739,2589,9055,1615,3696,1218,5359,1065,13684,2094,9209,1963,4475,1276,24886,2744,13960,2003,10926,1823,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,102182,6348,55254,4296,27250,3099,15926,2108,11324,1638,28004,3035,18914,2375,9090,1728,46928,4211,24254,2974,22674,2758,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,121435,6556,66604,5815,25797,3498,13785,2761,12012,1871,40807,4331,27648,3181,13159,2538,54831,4259,27739,2805,27092,3199,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,19124,2264,6741,1116,2934,791,1548,588,1386,727,3807,840,2287,725,1520,497,12383,1945,5763,1551,6620,1291,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,143000,6535,46539,3710,10469,1592,5541,1249,4928,1127,36070,3605,23963,2886,12107,2020,96461,5715,41688,4152,54773,3731,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,125002,6987,36008,3714,10144,1943,4942,1367,5202,1386,25864,3206,15754,2626,10110,1965,88994,6142,33489,3832,55505,4492,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,175949,6896,62866,4227,21812,2358,10155,1543,11657,1619,41054,3507,28568,3151,12486,1719,113083,5492,54462,3959,58621,3838,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,67464,3617,25546,2513,9550,1268,4909,1086,4641,878,15996,2069,11833,1824,4163,912,41918,3177,20026,2050,21892,2483,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,90331,5971,50694,4065,17307,2604,9176,1827,8131,1579,33387,3366,25721,3102,7666,1566,39637,4105,20655,2589,18982,2827,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,118226,6213,56757,4115,21312,2485,10496,1825,10816,1625,35445,3501,23895,2857,11550,1835,61469,5006,31042,3727,30427,2880,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,16691,2381,7813,1771,2136,613,917,394,1219,396,5677,1595,3775,1302,1902,710,8878,1831,4042,1062,4836,1302,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,25961,2788,10334,1717,3710,987,1868,673,1842,612,6624,1499,4964,1315,1660,489,15627,2265,7062,1366,8565,1677,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,74960,5487,25686,3358,7230,1355,3223,952,4007,1136,18456,3081,12310,2684,6146,1186,49274,3945,21567,3163,27707,3102,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,21165,2644,8231,1711,2972,1021,1983,708,989,559,5259,1141,3263,1145,1996,708,12934,2083,6620,1641,6314,1285,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,201591,6480,52976,4707,14274,2175,5938,1538,8336,1547,38702,3710,23352,2954,15350,2163,148615,5824,54193,4382,94422,5157,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,59243,4556,27332,3002,8187,1594,3806,1040,4381,1279,19145,2678,12007,2273,7138,1451,31911,3300,16268,2274,15643,2241,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,438153,12355,126524,6028,29579,3274,13818,2171,15761,2315,96945,5343,61533,4448,35412,3304,311629,10261,118994,6913,192635,7896,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,202473,7806,91807,5627,35464,3821,17714,2540,17750,2689,56343,4031,39334,3909,17009,2156,110666,5712,51273,4190,59393,4332,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
