GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,NAME,B10056_001EA,B10056_001MA,B10056_002EA,B10056_002MA,B10056_003EA,B10056_003MA,B10056_004MA,B10056_004EA,B10056_005MA,B10056_005EA,B10056_006MA,B10056_006EA,B10056_007EA,B10056_007MA,B10056_008EA,B10056_008MA,B10056_009MA,B10056_009EA,B10056_010MA,B10056_010EA,B10056_011MA,B10056_011EA,state
0400000US01,122379,6359,40603,3211,21872,2182,12959,1778,8913,1256,18731,2567,81776,4399,40984,3047,27738,2749,13246,1882,40792,3822,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15575,2047,6140,1066,3556,846,2455,778,1101,277,2584,574,9435,1222,4810,827,3320,699,1490,508,4625,946,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,159959,9264,58441,4353,23006,2372,13722,2194,9284,1137,35435,3322,101518,5790,36357,2973,23722,2349,12635,1679,65161,4646,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66665,4100,25139,1918,14842,1609,8097,1061,6745,1145,10297,1717,41526,2839,23532,2230,14731,1832,8801,1496,17994,1827,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1125828,19018,425018,9476,113239,4598,64238,3908,49001,3000,311779,8418,700810,11869,182598,5788,115679,4845,66919,3672,518212,10929,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100500,6067,37658,2971,15308,2192,8780,1570,6528,1345,22350,2400,62842,3848,23164,2871,16395,2533,6769,1233,39678,2912,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65480,4643,21558,1976,7646,1402,4333,1302,3313,769,13912,1831,43922,3381,11519,1864,7553,1604,3966,1005,32403,3197,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23749,2994,8342,1331,4112,915,2789,831,1323,469,4230,945,15407,2079,6318,1221,4778,1090,1540,629,9089,1595,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10666,1540,2448,531,995,394,403,318,592,240,1453,477,8218,1307,3249,843,2157,695,1092,429,4969,1112,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468303,13938,154199,6342,56508,4136,29241,3592,27267,2857,97691,5599,314104,11212,97797,4929,58744,4295,39053,3188,216307,10290,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,253127,11483,84106,5198,39351,3235,23434,2557,15917,1863,44755,4412,169021,7944,71165,5187,48683,4346,22482,2539,97856,5811,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
