GEO_ID,C08014_001E,C08014_001M,C08014_002E,C08014_002M,C08014_003E,C08014_003M,C08014_004E,C08014_004M,C08014_005E,C08014_005M,C08014_006E,C08014_006M,C08014_007E,C08014_007M,C08014_008E,C08014_008M,C08014_009E,C08014_009M,C08014_010E,C08014_010M,C08014_011E,C08014_011M,C08014_012E,C08014_012M,C08014_013E,C08014_013M,C08014_014E,C08014_014M,C08014_015E,C08014_015M,NAME,C08014_001EA,C08014_001MA,C08014_002MA,C08014_002EA,C08014_003EA,C08014_003MA,C08014_004EA,C08014_004MA,C08014_005MA,C08014_005EA,C08014_006MA,C08014_006EA,C08014_007EA,C08014_007MA,C08014_008MA,C08014_008EA,C08014_009EA,C08014_009MA,C08014_010EA,C08014_010MA,C08014_011EA,C08014_011MA,C08014_012MA,C08014_012EA,C08014_013EA,C08014_013MA,C08014_014EA,C08014_014MA,C08014_015EA,C08014_015MA,state
0400000US01,1972264,17151,43662,4158,394100,9815,801700,16567,732802,17072,1040381,12437,23375,2950,170468,7512,438394,10456,408144,10592,931883,10855,20287,2586,223632,6808,363306,9835,324658,9632,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,341556,5309,21042,2266,76157,4599,129680,6275,114677,6033,185295,4166,10965,1498,39940,3340,70159,3925,64231,4031,156261,3597,10077,1192,36217,3463,59521,3583,50446,3184,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2735603,15953,84139,5608,662606,13927,1206997,21089,781861,20671,1467239,10348,48300,4077,320440,9541,665906,13315,432593,13276,1268364,13197,35839,3244,342166,8252,541091,11023,349268,10413,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1217156,11949,27508,3068,254494,9680,535068,15031,400086,11766,645593,7127,12351,1895,119340,5981,292061,9021,221841,8083,571563,8515,15157,2245,135154,5906,243007,8498,178245,6161,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16602180,39194,566947,18676,3372542,34737,6523549,54562,6139142,50224,9080600,28415,309448,11218,1697391,21632,3645891,32873,3427870,33722,7521580,30107,257499,10570,1675151,23567,2877658,31276,2711272,26474,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2550266,14896,63319,5354,506533,13968,1110041,20103,870373,16454,1382457,9844,34773,3891,248600,9161,615890,12850,483194,10260,1167809,10646,28546,3072,257933,8206,494151,9868,387179,9542,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1711450,10251,65976,5268,342996,10003,722687,14464,579791,13534,889503,6915,31320,3411,157097,6346,385503,9292,315583,8208,821947,8826,34656,3216,185899,6570,337184,7756,264208,7484,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,419737,6294,12444,2175,89271,5169,180613,7342,137409,6741,214732,3999,5613,1325,39206,3017,93975,4272,75938,3961,205005,4218,6831,1489,50065,3461,86638,4579,61471,3952,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,318291,4629,88226,5534,131005,5595,77494,5409,21566,2863,155704,2845,39435,4021,63160,3577,41158,3345,11951,2090,162587,3853,48791,3148,67845,3493,36336,3208,9615,1445,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8303217,32827,250667,11672,2069020,29877,3777368,42320,2206162,32461,4337717,24271,140037,8584,978444,21249,2029920,25041,1189316,19709,3965500,24008,110630,6183,1090576,18668,1747448,24951,1016846,19886,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
