GEO_ID,C17010G_001E,C17010G_001M,C17010G_002E,C17010G_002M,C17010G_003E,C17010G_003M,C17010G_004E,C17010G_004M,C17010G_005E,C17010G_005M,C17010G_006E,C17010G_006M,C17010G_007E,C17010G_007M,C17010G_008E,C17010G_008M,C17010G_009E,C17010G_009M,C17010G_010E,C17010G_010M,C17010G_011E,C17010G_011M,C17010G_012E,C17010G_012M,C17010G_013E,C17010G_013M,C17010G_014E,C17010G_014M,C17010G_015E,C17010G_015M,C17010G_016E,C17010G_016M,C17010G_017E,C17010G_017M,NAME,C17010G_001EA,C17010G_001MA,C17010G_002EA,C17010G_002MA,C17010G_003MA,C17010G_003EA,C17010G_004MA,C17010G_004EA,C17010G_005MA,C17010G_005EA,C17010G_006EA,C17010G_006MA,C17010G_007MA,C17010G_007EA,C17010G_008MA,C17010G_008EA,C17010G_009MA,C17010G_009EA,C17010G_010MA,C17010G_010EA,C17010G_011EA,C17010G_011MA,C17010G_012EA,C17010G_012MA,C17010G_013MA,C17010G_013EA,C17010G_014EA,C17010G_014MA,C17010G_015MA,C17010G_015EA,C17010G_016MA,C17010G_016EA,C17010G_017EA,C17010G_017MA,state
0400000US01,13462,1806,2270,645,901,539,664,460,1369,528,151,159,94,123,1218,482,1198,480,11192,1748,8202,1540,3639,1125,2990,628,973,438,496,318,2017,523,856,396,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7709,1434,637,283,69,69,50,62,568,285,189,153,161,145,379,235,379,235,7072,1462,4585,967,2890,918,2487,1022,908,640,726,605,1579,767,896,516,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,30444,3391,4728,1174,1658,662,1209,518,3070,924,717,374,306,232,2353,869,1820,751,25716,2960,17917,2178,9927,1445,7799,1585,3449,1061,1853,761,4350,1004,2956,902,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,9907,1400,2041,626,738,480,475,401,1303,442,177,195,177,195,1126,401,767,373,7866,1338,6238,1217,2842,965,1628,563,506,299,208,231,1122,513,654,393,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,251125,7827,35034,2773,11501,1419,7050,1220,23533,2482,5894,1315,4401,1149,17639,2241,15236,1944,216091,7521,147927,6211,82454,4207,68164,4407,21166,2508,11357,1877,46998,3385,27426,2929,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,28089,2556,3616,1172,668,441,466,394,2948,1067,340,297,180,174,2608,958,2580,968,24473,2335,17253,2348,10333,1875,7220,1200,2009,636,852,437,5211,1045,3813,822,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,14376,1755,3302,1017,650,372,252,217,2652,896,0,201,0,201,2652,896,2330,830,11074,1427,7243,1236,3850,835,3831,907,750,434,475,385,3081,878,2135,804,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,68239,4209,11234,1750,4788,1371,3617,1260,6446,1249,1395,539,1242,539,5051,1108,3979,942,57005,3653,39929,2723,18478,2164,17076,2347,4908,1301,2301,887,12168,1843,7274,1656,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31036,3160,5216,1224,2005,783,1607,792,3211,1001,348,251,308,245,2863,938,2518,850,25820,2772,18225,2521,10630,2013,7595,1612,2375,879,1586,706,5220,1302,3077,1011,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50424,3087,4875,1015,1288,433,864,341,3587,885,1075,527,625,393,2512,678,2168,687,45549,2949,31990,2568,16933,2014,13559,1937,4256,991,2402,721,9303,1767,5132,1347,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5979,1169,1239,584,267,215,261,211,972,543,172,188,148,184,800,523,800,523,4740,1040,3582,915,1913,643,1158,507,339,228,101,141,819,453,504,374,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,37393,2728,6220,1387,1751,602,1132,439,4469,1281,429,340,371,329,4040,1239,3542,1169,31173,2372,20150,1980,10873,1745,11023,1427,3331,813,1652,666,7692,1383,5018,1125,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,18114,2292,4032,1115,1387,801,1017,663,2645,808,239,191,118,124,2406,754,2166,747,14082,1974,10243,1894,5462,1345,3839,1034,1184,580,778,520,2655,782,1823,649,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,6636,1192,1376,467,163,173,44,49,1213,438,347,237,347,237,866,364,866,364,5260,1122,3571,878,1917,742,1689,708,734,460,645,454,955,505,837,487,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,12093,1610,2342,612,654,321,442,296,1688,556,407,309,102,88,1281,438,1232,425,9751,1566,7500,1286,4101,973,2251,649,539,289,312,199,1712,528,1153,518,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,12035,1729,2743,1031,559,363,365,322,2184,951,913,640,747,609,1271,693,1237,687,9292,1527,6616,1341,2641,861,2676,823,676,401,367,320,2000,785,1073,529,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,12486,1696,3358,935,763,566,244,184,2595,767,167,187,70,89,2428,750,1728,684,9128,1374,5449,989,2171,723,3679,928,1417,612,986,558,2262,742,1470,614,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,4165,821,734,351,138,146,34,42,596,342,127,138,107,134,469,330,286,165,3431,770,2586,755,682,363,845,363,54,73,54,73,791,352,656,334,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,24741,2269,2241,760,950,410,461,283,1291,622,449,421,281,372,842,374,631,330,22500,2193,15726,2020,9245,1535,6774,1000,2128,759,741,453,4646,885,2967,774,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,30125,2669,6044,1591,1102,494,694,371,4942,1453,506,370,481,363,4436,1354,4174,1331,24081,2273,15311,1863,9076,1663,8770,1233,3396,852,2228,713,5374,1038,3641,910,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,35537,2123,9828,1411,2036,490,1422,383,7792,1323,837,394,524,319,6955,1218,6256,1161,25709,1868,17074,1691,7949,1084,8635,1273,1990,578,1076,480,6645,1120,3872,881,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,17674,1871,3115,839,666,280,463,260,2449,761,343,242,184,176,2106,720,2097,720,14559,1648,9860,1434,5506,1015,4699,1083,965,457,595,372,3734,1030,2816,949,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,4043,863,1078,521,350,349,204,288,728,433,0,208,0,208,728,433,674,431,2965,684,2048,617,679,343,917,374,410,290,211,210,507,218,443,207,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
