GEO_ID,C27002_001E,C27002_001M,C27002_002E,C27002_002M,C27002_003E,C27002_003M,C27002_004E,C27002_004M,C27002_005E,C27002_005M,C27002_006E,C27002_006M,C27002_007E,C27002_007M,C27002_008E,C27002_008M,C27002_009E,C27002_009M,C27002_010E,C27002_010M,C27002_011E,C27002_011M,C27002_012E,C27002_012M,C27002_013E,C27002_013M,C27002_014E,C27002_014M,C27002_015E,C27002_015M,C27002_016E,C27002_016M,C27002_017E,C27002_017M,C27002_018E,C27002_018M,C27002_019E,C27002_019M,C27002_020E,C27002_020M,C27002_021E,C27002_021M,NAME,C27002_001EA,C27002_001MA,C27002_002EA,C27002_002MA,C27002_003EA,C27002_003MA,C27002_004MA,C27002_004EA,C27002_005EA,C27002_005MA,C27002_006MA,C27002_006EA,C27002_007EA,C27002_007MA,C27002_008EA,C27002_008MA,C27002_009MA,C27002_009EA,C27002_010EA,C27002_010MA,C27002_011MA,C27002_011EA,C27002_012MA,C27002_012EA,C27002_013EA,C27002_013MA,C27002_014EA,C27002_014MA,C27002_015MA,C27002_015EA,C27002_016EA,C27002_016MA,C27002_017MA,C27002_017EA,C27002_018EA,C27002_018MA,C27002_019EA,C27002_019MA,C27002_020EA,C27002_020MA,C27002_021EA,C27002_021MA,state
0400000US01,4755381,1814,2284668,5599,563117,4269,310083,7766,253034,7964,1418723,4731,969067,10018,449656,9426,302828,1900,202928,3594,99900,3821,2470713,5159,544727,4391,296874,6974,247853,7602,1526743,3765,1043344,12036,483399,12079,399243,1967,257508,4288,141735,4156,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,712248,1963,366864,2541,96973,1734,58995,2680,37978,2363,237630,1974,156786,4415,80844,3920,32261,848,22034,1412,10227,1302,345384,2157,90912,1717,52171,2694,38741,2925,222146,1283,153685,3859,68461,3714,32326,832,20796,1314,11530,1103,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6521226,1734,3207062,2887,823870,1962,445816,8668,378054,9283,1920087,2842,1193622,12105,726465,12135,463105,1334,270095,4568,193010,4560,3314164,2699,789635,1895,423113,8998,366522,8737,1980813,2354,1255472,13473,725341,13814,543716,1448,316295,4737,227421,4885,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2907014,1233,1427846,4941,369537,4011,168098,6367,201439,6998,862503,3593,535573,7938,326930,7628,195806,1562,114494,3260,81312,3304,1479168,4700,339588,3571,156456,5966,183132,5776,897397,3109,573267,8668,324130,8473,242183,2000,141025,3353,101158,3725,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37831553,5167,18678471,8174,4684835,4538,2543295,19861,2141540,20809,11917914,6910,7507795,33141,4410119,31412,2075722,3272,1142856,10122,932866,10090,19153082,6595,4473120,4214,2410842,20397,2062278,20370,12058604,4800,7722716,30587,4335888,29805,2621358,3316,1366164,11045,1255194,11143,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5173272,2685,2571218,4738,633100,3639,403342,6406,229758,7489,1653136,3953,1178507,11292,474629,11589,284982,1510,179881,4167,105101,4267,2602054,4073,606091,3326,382893,7014,223198,7180,1651804,2894,1205692,10410,446112,9748,344159,1664,216321,4031,127838,4180,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541409,1156,1718699,2659,398790,1891,260196,6030,138594,5733,1093523,1944,805599,10059,287924,10340,226386,1298,148359,3382,78027,3408,1822710,2714,385369,1796,255054,5958,130315,5982,1142172,1698,848021,8969,294151,8768,295169,1346,186663,4014,108506,4045,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,911502,1114,437592,1253,103087,830,63014,2840,40073,2979,270719,1081,196267,4383,74452,4316,63786,493,47849,1606,15937,1560,473910,1235,100252,856,62835,3497,37417,3380,294419,998,209099,4661,85320,4418,79239,492,57752,1907,21487,1912,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,635833,581,298312,741,55867,410,30266,2285,25601,2314,213223,658,153725,3275,59498,3195,29222,519,18802,1367,10420,1366,337521,821,55420,476,30536,2393,24884,2401,239930,641,174489,3521,65441,3343,42171,552,29867,1383,12304,1347,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19245127,3839,9333945,8603,2059975,6245,1032610,15944,1027365,17844,5663869,6338,3297794,26235,2366075,25438,1610101,3180,896095,11299,714006,10972,9911182,7269,1959860,6147,971337,15956,988523,15863,5983026,4806,3700473,22357,2282553,22157,1968296,3245,1037100,10062,931196,10226,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
