GEO_ID,C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,NAME,C01001I_001EA,C01001I_001MA,C01001I_002MA,C01001I_002EA,C01001I_003MA,C01001I_003EA,C01001I_004EA,C01001I_004MA,C01001I_005MA,C01001I_005EA,C01001I_006MA,C01001I_006EA,C01001I_007EA,C01001I_007MA,C01001I_008MA,C01001I_008EA,C01001I_009EA,C01001I_009MA,state
0400000US01,189934,1256,105909,3371,38194,2410,65089,2764,2626,835,84025,3264,32424,2828,47990,1799,3611,960,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48501,-555555555,26267,811,8805,661,16449,656,1013,410,22234,811,7680,640,13461,778,1093,565,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2005114,-555555555,1012031,1047,358891,1085,600870,591,52270,576,993083,1047,340717,1083,587773,747,64593,687,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,203111,1538,107512,3119,43206,2716,61408,1969,2898,909,95599,2882,39762,2137,53008,1930,2829,1033,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14719327,-555555555,7441128,2266,2431690,1964,4629132,1051,380306,863,7278199,2266,2330505,2000,4441567,975,506127,950,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1108425,-555555555,567459,2839,198056,2601,341538,2674,27865,679,540966,2839,188879,2798,316792,2025,35295,817,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,527163,-555555555,263449,1126,86244,825,165599,561,11606,487,263714,1125,84095,825,163881,734,15738,493,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,80944,-555555555,42029,661,14853,475,25837,444,1339,120,38915,661,14244,474,23333,448,1338,217,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65560,-555555555,33408,370,7669,370,24396,-555555555,1343,-555555555,32152,370,8077,370,22032,-555555555,2043,-555555555,District of Columbia,null,*****,null,null,null,null,null,*****,*****,null,null,null,null,null,*****,null,null,*****,11
0400000US12,4619316,-555555555,2289157,3526,600411,3249,1478303,1720,210443,1497,2330159,3528,567342,3140,1470534,1711,292283,1698,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,907400,2050,483852,4659,172408,4137,300736,3435,10708,1525,423548,4510,163700,3712,245830,2316,14018,1383,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,138064,-555555555,72454,670,26821,568,42503,386,3130,363,65610,669,23964,568,37589,274,4057,415,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,190250,-555555555,99306,1679,39831,1604,56094,1059,3381,680,90944,1679,36663,1610,50786,800,3495,659,Idaho,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2118514,1158,1091722,2526,371046,1747,675336,2002,45340,860,1026792,2374,356796,2012,615265,1458,54731,843,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,420577,1916,216362,3345,82401,2283,127115,2001,6846,901,204215,3216,80540,2633,114595,2086,9080,1125,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,166925,1840,86548,2734,33664,2062,50223,1496,2661,652,80377,2542,32401,2045,45661,1761,2315,791,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,322424,589,168015,2328,64725,2047,97739,1397,5551,623,154409,2354,62937,2105,83954,1327,7518,701,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,143091,3096,79984,2538,28538,2028,49582,2297,1864,671,63107,2615,27839,1952,33211,1578,2057,500,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,218620,2764,118433,2961,31374,2027,80947,1997,6112,797,100187,2973,30950,1989,62007,2075,7230,691,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
