GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001MA,B19082_001EA,B19082_002EA,B19082_002MA,B19082_003MA,B19082_003EA,B19082_004MA,B19082_004EA,B19082_005MA,B19082_005EA,B19082_006MA,B19082_006EA,state
0400000US01,3.07,0.06,8.41,0.10,14.58,0.15,23.33,0.22,50.62,0.39,21.90,0.50,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4.26,0.18,10.37,0.30,16.36,0.37,24.10,0.46,44.91,1.01,18.02,1.11,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3.31,0.07,8.79,0.12,14.62,0.18,23.02,0.21,50.25,0.48,22.07,0.59,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3.37,0.11,8.65,0.17,14.60,0.26,22.97,0.33,50.40,0.74,21.85,0.90,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2.97,0.03,8.05,0.05,14.03,0.06,22.71,0.09,52.23,0.17,23.30,0.21,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3.49,0.08,8.90,0.10,14.83,0.14,23.06,0.17,49.72,0.40,21.78,0.53,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2.92,0.08,8.05,0.14,13.84,0.19,21.98,0.23,53.21,0.52,25.42,0.65,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3.57,0.20,9.30,0.28,15.10,0.36,23.09,0.45,48.94,0.96,20.77,1.07,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1.83,0.13,6.94,0.34,13.26,0.42,22.59,0.57,55.38,1.19,25.32,1.42,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3.24,0.05,8.47,0.07,14.05,0.10,22.22,0.12,52.02,0.27,24.00,0.35,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2.96,0.06,8.35,0.10,14.31,0.12,22.88,0.16,51.50,0.34,23.03,0.41,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3.51,0.18,9.52,0.22,15.72,0.33,23.79,0.38,47.46,0.84,19.66,0.95,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,3.86,0.18,9.75,0.22,15.47,0.29,23.15,0.36,47.76,0.75,20.56,0.95,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3.01,0.05,8.39,0.07,14.43,0.10,22.74,0.13,51.43,0.30,23.28,0.37,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3.51,0.06,9.15,0.12,15.08,0.18,23.27,0.21,48.99,0.50,21.70,0.64,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3.76,0.10,9.49,0.13,15.43,0.18,23.33,0.23,48.00,0.50,21.01,0.62,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,3.60,0.11,9.09,0.21,14.85,0.26,22.88,0.33,49.59,0.83,22.12,1.06,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3.16,0.08,8.50,0.15,14.73,0.22,23.23,0.30,50.38,0.65,22.14,0.88,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2.80,0.07,7.82,0.12,14.08,0.17,23.42,0.23,51.87,0.46,22.68,0.56,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
