GEO_ID,B28009G_001E,B28009G_001M,B28009G_002E,B28009G_002M,B28009G_003E,B28009G_003M,B28009G_004E,B28009G_004M,B28009G_005E,B28009G_005M,B28009G_006E,B28009G_006M,NAME,B28009G_001MA,B28009G_001EA,B28009G_002MA,B28009G_002EA,B28009G_003EA,B28009G_003MA,B28009G_004MA,B28009G_004EA,B28009G_005MA,B28009G_005EA,B28009G_006EA,B28009G_006MA,state
0400000US01,79756,6567,68826,6302,788,565,55340,5757,12698,2746,10930,2305,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55444,4973,52276,5051,44,73,44651,4527,7581,2557,3168,1148,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,205845,11693,193515,11985,2089,1469,170007,11806,21419,2892,12330,2382,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64573,4855,58053,4882,666,406,43305,4287,14082,3471,6520,1455,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1684972,28692,1592376,27810,9615,2520,1448539,26820,134222,10728,92596,7577,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184992,9957,173779,9565,683,617,152926,8935,20170,3568,11213,2051,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,100063,7908,92499,7373,810,595,80930,6879,10759,2988,7564,2450,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26075,4392,24600,4248,0,189,19574,3153,5026,2593,1475,918,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19257,3294,18675,3266,24,40,17863,3139,788,674,582,425,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450019,17536,417859,16443,3619,2190,369886,15741,44354,6151,32160,4583,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,204040,11641,193139,11281,535,505,171029,10562,21575,4154,10901,2363,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,319705,11761,300434,12019,2179,1053,273994,11743,24261,4778,19271,3159,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37325,4133,34722,4063,865,815,30115,3801,3742,1555,2603,919,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,279893,10635,255446,11295,1588,892,230071,10803,23787,3279,24447,3800,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,137935,6188,127231,6232,727,537,107204,6017,19300,3429,10704,2456,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,50627,4657,47769,4610,1047,619,40452,4118,6270,1948,2858,938,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,91858,5377,85653,5243,191,171,74023,4801,11439,2306,6205,1668,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,84740,6780,75274,6699,211,178,64702,6086,10361,2569,9466,2895,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,74989,6082,66893,5917,307,398,53592,4777,12994,3623,8096,1847,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,26517,2270,23816,2292,28,49,19964,2123,3824,1200,2701,960,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,165534,11154,157212,10819,1691,1621,142126,10392,13395,3182,8322,2409,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,190306,9500,175426,9247,1465,1536,153889,8201,20072,4074,14880,2900,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,258277,10432,239861,10449,2384,944,199878,9517,37599,5317,18416,2488,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,141071,7797,133202,7515,621,401,114521,6421,18060,3167,7869,2001,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,31139,4062,25854,3519,280,397,19968,3254,5606,1777,5285,1647,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,147111,8464,131327,8351,524,291,110314,6965,20489,3827,15784,2962,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,25255,3148,23710,3170,294,380,21326,3135,2090,822,1545,624,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,41691,4190,37364,4035,419,399,30586,3612,6359,1948,4327,1534,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,115446,7010,109031,6784,983,822,97534,6882,10514,2641,6415,1483,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,23430,2870,22295,2920,24,45,20136,2824,2135,915,1135,605,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,213350,12844,200808,12343,802,669,184587,12371,15419,3106,12542,2620,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,68628,6073,60133,5690,271,216,52765,5131,7097,1654,8495,2021,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,546740,20035,505383,20665,1917,754,452659,19922,50807,6090,41357,6206,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,228140,12204,206903,11478,698,557,174562,10293,31643,4960,21237,3409,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,14403,2127,13076,2049,112,142,11139,2051,1825,766,1327,647,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,287425,10449,263956,9939,1445,734,220005,9156,42506,4693,23469,2710,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,277204,7866,241444,7538,2807,840,193872,6816,44765,4746,35760,3074,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,158211,7265,149920,7102,833,625,134164,6784,14923,2817,8291,1442,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,252383,10701,228908,10322,2450,1246,197241,9203,29217,5021,23475,3751,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,24903,4315,23133,4056,0,210,21803,3959,1330,683,1770,974,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,86563,6441,78176,6236,645,534,65726,5797,11805,2768,8387,2304,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,23683,3573,19961,3128,253,398,16530,2988,3178,1352,3722,1186,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,120694,7331,107234,7276,334,272,88140,6397,18760,3635,13460,2921,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,629946,18827,580609,18422,4507,2462,502852,16393,73250,8340,49337,4929,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
