GEO_ID,B25119_001E,B25119_001M,B25119_002E,B25119_002M,B25119_003E,B25119_003M,NAME,B25119_001EA,B25119_001MA,B25119_002MA,B25119_002EA,B25119_003EA,B25119_003MA,state
0400000US01,42849,641,53461,762,25405,567,Alabama,null,null,null,null,null,null,01
0400000US02,72237,1892,87804,2552,51409,2225,Alaska,null,null,null,null,null,null,02
0400000US04,48510,587,59988,714,33956,892,Arizona,null,null,null,null,null,null,04
0400000US05,40511,710,51171,849,25370,694,Arkansas,null,null,null,null,null,null,05
0400000US06,60190,255,81918,417,40596,281,California,null,null,null,null,null,null,06
0400000US08,58823,808,75662,937,35863,611,Colorado,null,null,null,null,null,null,08
0400000US09,67098,1058,89280,1727,35240,1014,Connecticut,null,null,null,null,null,null,09
0400000US10,57846,1876,68804,1700,36634,3416,Delaware,null,null,null,null,null,null,10
0400000US11,67572,3383,109803,4904,46699,2556,District of Columbia,null,null,null,null,null,null,11
0400000US12,46036,310,55740,438,32131,289,Florida,null,null,null,null,null,null,12
0400000US13,47829,628,62200,647,30126,432,Georgia,null,null,null,null,null,null,13
0400000US15,68020,1523,86525,2502,50933,1485,Hawaii,null,null,null,null,null,null,15
0400000US16,46783,930,56186,1238,29124,1616,Idaho,null,null,null,null,null,null,16
0400000US17,56210,403,71289,458,32363,397,Illinois,null,null,null,null,null,null,17
0400000US18,47529,516,59674,680,27195,515,Indiana,null,null,null,null,null,null,18
0400000US19,52229,533,64182,736,30365,571,Iowa,null,null,null,null,null,null,19
0400000US20,50972,609,64819,961,31075,629,Kansas,null,null,null,null,null,null,20
0400000US21,43399,650,54852,747,25429,748,Kentucky,null,null,null,null,null,null,21
0400000US22,44164,869,56904,858,25861,768,Louisiana,null,null,null,null,null,null,22
0400000US23,46974,797,57960,1326,26591,1188,Maine,null,null,null,null,null,null,23
0400000US24,72483,718,91552,832,45730,748,Maryland,null,null,null,null,null,null,24
0400000US25,66768,715,89418,1333,37001,830,Massachusetts,null,null,null,null,null,null,25
0400000US26,48273,378,59612,433,27084,401,Michigan,null,null,null,null,null,null,26
0400000US27,60702,432,73859,583,32348,890,Minnesota,null,null,null,null,null,null,27
0400000US28,37963,1029,47460,1088,23277,1361,Mississippi,null,null,null,null,null,null,28
0400000US29,46931,427,58904,605,28752,854,Missouri,null,null,null,null,null,null,29
0400000US30,46972,1140,59224,1616,27361,1630,Montana,null,null,null,null,null,null,30
0400000US31,51440,493,65448,819,31149,823,Nebraska,null,null,null,null,null,null,31
0400000US32,51230,589,64147,1227,38175,1362,Nevada,null,null,null,null,null,null,32
0400000US33,64230,1347,78022,1771,39102,2053,New Hampshire,null,null,null,null,null,null,33
0400000US34,70165,546,92158,748,40445,630,New Jersey,null,null,null,null,null,null,34
0400000US35,43872,950,54086,1119,27549,1311,New Mexico,null,null,null,null,null,null,35
0400000US36,57369,431,79750,620,36805,409,New York,null,null,null,null,null,null,36
0400000US37,45906,424,58167,695,29505,587,North Carolina,null,null,null,null,null,null,37
0400000US38,55759,1452,73445,1727,31540,1129,North Dakota,null,null,null,null,null,null,38
0400000US39,48081,406,61961,400,27156,451,Ohio,null,null,null,null,null,null,39
0400000US40,45690,534,57355,643,30058,595,Oklahoma,null,null,null,null,null,null,40
0400000US41,50251,532,66086,908,32473,748,Oregon,null,null,null,null,null,null,41
0400000US42,52007,256,65071,425,30295,400,Pennsylvania,null,null,null,null,null,null,42
0400000US44,55902,1902,78211,1818,30437,1502,Rhode Island,null,null,null,null,null,null,44
0400000US45,44163,659,54193,815,27396,717,South Carolina,null,null,null,null,null,null,45
0400000US46,48947,1091,62210,1346,30031,1226,South Dakota,null,null,null,null,null,null,46
0400000US47,44297,501,55757,607,27040,526,Tennessee,null,null,null,null,null,null,47
0400000US48,51704,238,67142,481,34413,469,Texas,null,null,null,null,null,null,48
0400000US49,59770,762,71619,920,36683,932,Utah,null,null,null,null,null,null,49
0400000US50,52578,1561,64875,2048,30181,1613,Vermont,null,null,null,null,null,null,50
0400000US51,62666,665,77897,920,41216,627,Virginia,null,null,null,null,null,null,51
0400000US53,58405,671,75096,760,37287,645,Washington,null,null,null,null,null,null,53
0400000US54,41253,746,49545,1131,22298,865,West Virginia,null,null,null,null,null,null,54
0400000US55,51467,370,65672,541,29795,541,Wisconsin,null,null,null,null,null,null,55
0400000US56,58752,1796,71047,1659,35423,1938,Wyoming,null,null,null,null,null,null,56
0400000US72,19183,313,24015,462,11493,450,Puerto Rico,null,null,null,null,null,null,72
