GEO_ID,B13002_001E,B13002_001M,B13002_002E,B13002_002M,B13002_003E,B13002_003M,B13002_004E,B13002_004M,B13002_005E,B13002_005M,B13002_006E,B13002_006M,B13002_007E,B13002_007M,B13002_008E,B13002_008M,B13002_009E,B13002_009M,B13002_010E,B13002_010M,B13002_011E,B13002_011M,B13002_012E,B13002_012M,B13002_013E,B13002_013M,B13002_014E,B13002_014M,B13002_015E,B13002_015M,B13002_016E,B13002_016M,B13002_017E,B13002_017M,B13002_018E,B13002_018M,B13002_019E,B13002_019M,NAME,B13002_001EA,B13002_001MA,B13002_002MA,B13002_002EA,B13002_003EA,B13002_003MA,B13002_004EA,B13002_004MA,B13002_005MA,B13002_005EA,B13002_006EA,B13002_006MA,B13002_007MA,B13002_007EA,B13002_008MA,B13002_008EA,B13002_009EA,B13002_009MA,B13002_010EA,B13002_010MA,B13002_011MA,B13002_011EA,B13002_012MA,B13002_012EA,B13002_013MA,B13002_013EA,B13002_014EA,B13002_014MA,B13002_015EA,B13002_015MA,B13002_016EA,B13002_016MA,B13002_017MA,B13002_017EA,B13002_018MA,B13002_018EA,B13002_019MA,B13002_019EA,state
0400000US01,1163325,5128,58053,4167,34616,3192,549,356,28291,2788,5776,1222,23437,2731,3812,1045,18525,2596,1100,520,1105272,6551,479048,9389,1956,914,156244,6192,320848,7894,626224,10386,158966,4321,280539,7072,186719,6985,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175297,1983,10411,1560,6499,1403,9,12,4849,1221,1641,578,3912,777,363,210,3126,696,423,316,164886,2572,77427,2840,397,328,28137,2150,48893,2062,87459,2813,22825,1863,43639,2531,20995,1724,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1541860,3629,83011,4435,50203,3086,537,399,39296,2839,10370,1877,32808,3813,2946,943,25849,3384,4013,1270,1458849,5855,607915,9493,3176,881,204480,6320,400259,7007,850934,9450,215360,2890,389472,5911,246102,7297,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686653,4426,39228,3324,23821,2380,483,292,19679,2135,3659,854,15407,2159,1849,792,12660,2037,898,565,647425,5695,303309,7929,1330,564,107305,4864,194674,6538,344116,6643,89997,3586,152636,5055,101483,5139,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9559090,9658,477649,10106,312881,7590,3796,968,217394,6573,91691,5212,164768,6689,16939,2352,125193,6543,22636,2913,9081441,14628,3859193,24451,16578,2097,1176289,14365,2666326,18131,5222248,23839,1254427,5216,2599849,15143,1367972,17328,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1274702,4137,64982,3691,45784,2972,898,526,32110,2665,12776,1810,19198,2525,1520,696,15428,2567,2250,581,1209720,5748,568299,8980,3088,992,193387,5675,371824,6746,641421,9347,159964,2858,310588,5647,170869,6410,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,856016,2710,35904,3443,24400,2547,29,51,16478,2244,7893,1089,11504,2130,1014,504,8445,1675,2045,953,820112,4416,341183,7424,1233,634,84708,3804,255242,5715,478929,8522,120718,1303,223663,4893,134548,5685,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219750,1801,12589,1822,7966,1406,92,173,4883,1058,2991,952,4623,967,327,274,4014,900,282,196,207161,2508,80447,3568,154,153,24496,2189,55797,2483,126714,3630,28795,1081,59229,2501,38690,2477,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,196799,1107,9700,1579,4990,1293,0,203,2103,649,2887,1027,4710,1181,119,139,4055,1129,536,384,187099,1935,41518,3093,52,87,16500,2007,24966,2269,145581,3299,18905,1279,87349,2573,39327,2392,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4464346,8583,212782,8764,124208,6931,807,543,86006,5656,37395,3619,88574,5396,9020,1883,68299,4969,11255,2420,4251564,12743,1734765,20269,8188,1570,500718,11286,1225859,15391,2516799,19015,559624,5948,1183511,12680,773664,13837,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2527147,7588,126637,6248,75248,5520,943,526,56073,4645,18232,2309,51389,3977,6981,1546,39623,3840,4785,1181,2400510,9716,1017865,11493,3622,1005,310266,8469,703977,10635,1382645,14359,339058,6846,629369,9103,414218,9538,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,318851,1719,18332,2019,12388,1787,17,32,8991,1529,3380,724,5944,1273,1050,602,4174,1100,720,357,300519,2760,140214,4944,700,411,47022,3202,92492,3084,160305,5261,36979,1426,80903,3681,42423,3074,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,366115,2423,21018,2449,16369,1990,232,269,12942,1853,3195,1008,4649,1330,734,409,3785,1241,130,104,345097,3265,171932,5192,566,332,65097,3570,106269,3572,173165,4697,53331,1962,74635,3562,45199,3123,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
