B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,GEO_ID,B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006MA,B15002H_007MA,B15002H_007EA,B15002H_008EA,B15002H_008MA,B15002H_009EA,B15002H_009MA,B15002H_010EA,B15002H_010MA,B15002H_011MA,B15002H_011EA,B15002H_012EA,B15002H_012MA,B15002H_013EA,B15002H_013MA,B15002H_014EA,B15002H_014MA,B15002H_015EA,B15002H_015MA,B15002H_016MA,B15002H_016EA,B15002H_017EA,B15002H_017MA,B15002H_018EA,B15002H_018MA,B15002H_019MA,B15002H_019EA,NAME,B15002H_001MA,B15002H_001EA,B15002H_002MA,B15002H_002EA,B15002H_003EA,B15002H_003MA,B15002H_004EA,B15002H_004MA,B15002H_005EA,B15002H_005MA,B15002H_006EA,state
4291,240946,6168,77574,3892,185407,5757,102609,4471,1175487,1440,43276,3152,108109,5548,291388,7610,69168,4310,261388,7158,105757,4031,184640,6400,111761,4875,0400000US01,2261274,2303,1085787,1533,47528,3112,99100,5090,264987,6494,67636,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,01
1721,46915,2722,13675,1899,32767,2575,18680,1783,148907,182,2103,829,4022,751,27597,2277,4049,831,41448,2595,14601,1805,34930,2240,20157,1992,0400000US02,317755,390,168848,358,1975,668,6547,1112,38588,2584,9701,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,02
4270,363550,9163,123756,5311,298721,7621,178489,6466,1429988,906,19327,2315,60785,3818,309633,7445,43699,2702,389056,7879,143024,5990,289801,7393,174663,5544,0400000US04,2790891,1625,1360903,1010,23557,2765,61508,4215,248136,7685,63186,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,04
3856,160296,5375,37242,3021,105590,4716,58270,3337,790694,1146,33169,3070,67825,4043,221410,5642,46659,2622,188432,6197,56705,3192,116345,5270,60149,3379,0400000US05,1526124,1685,735430,1354,32918,2200,64549,3708,222727,6352,53838,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,05
5710,1363750,15119,466362,9978,1380829,15140,936484,14168,5690414,2433,99102,4482,216934,7937,1025224,16421,94358,4265,1459093,19254,566928,9901,1364360,16383,864415,12472,0400000US06,11221820,4368,5531406,2835,87970,4691,246706,8211,895527,17405,153778,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,06
3804,297564,8128,105136,4998,357660,7227,213795,6291,1325459,1699,10821,1272,42380,2860,232212,6088,34897,2617,303480,5690,126321,4899,368779,7703,206569,5464,0400000US08,2614677,2679,1289218,2095,13474,1738,46027,3673,203099,6687,52463,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,08
2653,148797,5631,59301,3712,204625,6446,159765,5510,954966,832,23405,2417,38103,3336,232379,5480,21340,2032,164077,5800,81984,3814,217030,6209,176648,6517,0400000US09,1825161,1319,870195,660,21239,2342,37193,2900,208467,6250,30808,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,09
1302,39503,2305,14180,1756,39392,2428,27040,1779,228016,280,4563,1122,13478,1657,68996,3517,6760,1028,42703,2725,20752,1926,42125,2758,28639,1989,0400000US10,434756,1080,206740,980,5419,1080,14158,1861,58141,2855,8907,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,10
316,5107,1349,893,405,30146,2440,50938,2491,87547,170,315,312,225,177,1363,575,265,261,5101,1199,1054,456,29506,2477,49718,2663,0400000US11,176850,354,89303,223,95,146,200,219,1424,553,500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,11
6673,875804,15381,347278,11265,819953,13613,495214,11765,4332790,2560,92821,4357,253756,8005,1149642,15992,166803,6202,966626,13356,463300,11855,805905,12865,433937,10592,0400000US12,8383272,4074,4050482,2359,97625,5444,265363,8740,935021,17267,214224,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,12
