GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001EA,C25093_001MA,C25093_002EA,C25093_002MA,C25093_003MA,C25093_003EA,C25093_004MA,C25093_004EA,C25093_005MA,C25093_005EA,C25093_006EA,C25093_006MA,C25093_007EA,C25093_007MA,C25093_008MA,C25093_008EA,C25093_009EA,C25093_009MA,C25093_010MA,C25093_010EA,C25093_011MA,C25093_011EA,C25093_012MA,C25093_012EA,C25093_013EA,C25093_013MA,C25093_014MA,C25093_014EA,C25093_015MA,C25093_015EA,C25093_016MA,C25093_016EA,C25093_017EA,C25093_017MA,state
0400000US01,1240017,12974,11530,1633,6897,1298,3955,1059,678,403,115068,4618,90451,4050,23360,2596,1257,476,728247,9439,575022,8891,143489,5688,9736,1799,385172,4718,301671,4993,80860,4016,2641,688,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156107,3268,1023,367,627,301,396,206,0,147,18249,1701,14103,1582,4133,953,13,23,104121,3002,82896,2956,20974,1648,251,203,32714,1639,25503,1446,7152,1108,59,66,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1490031,12319,16700,1764,9818,1415,6341,1404,541,388,134078,4945,101013,4723,30998,3115,2067,766,836666,9667,620148,8827,202954,7061,13564,1792,502587,6196,373467,5912,123567,5512,5553,1198,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,739987,8706,9173,1346,7114,1320,2059,825,0,192,72283,3592,58800,3678,12736,1584,747,478,426900,6135,345713,5524,75455,3814,5732,1412,231631,4177,188412,4008,41873,3268,1346,485,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6804639,28833,36914,2719,16566,1954,18151,1775,2197,691,515060,9665,330026,7941,181928,7029,3106,800,4262568,23525,2732076,21385,1490592,17980,39900,3929,1990097,12633,1332088,12356,642219,10617,15790,1723,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1291945,10661,11454,1741,5776,1403,5339,1131,339,266,136330,5239,102115,4818,33653,2932,562,343,824390,8112,619187,7421,199687,6312,5516,1209,319771,4380,237369,4430,80606,3556,1796,503,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,888478,8542,4118,1219,2767,977,1233,557,118,172,64308,3125,43133,2516,20853,2484,322,259,570970,7347,405395,7877,162384,6104,3191,898,249082,4627,151576,4329,95247,3940,2259,645,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243047,3975,2455,828,1727,642,728,397,0,189,21297,2208,15574,2006,5663,1187,60,110,144047,3256,107552,3284,35442,2911,1053,480,75248,2156,56120,1867,18350,1776,778,399,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110513,3814,414,306,107,130,307,286,0,203,13363,1582,10471,1365,2783,882,109,134,66325,3275,49014,2809,16440,1967,871,441,30411,1600,21783,1546,8422,1170,206,176,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4672482,24352,25942,2415,12889,1849,10783,1494,2270,674,285538,9218,201816,6706,80513,5994,3209,978,2582437,18600,1780952,16708,765865,13183,35620,3310,1778565,13348,1239636,12506,518789,10533,20140,2341,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
