GEO_ID,C19201_001E,C19201_001M,C19201_002E,C19201_002M,C19201_003E,C19201_003M,C19201_004E,C19201_004M,C19201_005E,C19201_005M,C19201_006E,C19201_006M,C19201_007E,C19201_007M,C19201_008E,C19201_008M,C19201_009E,C19201_009M,C19201_010E,C19201_010M,C19201_011E,C19201_011M,NAME,C19201_001MA,C19201_001EA,C19201_002MA,C19201_002EA,C19201_003EA,C19201_003MA,C19201_004MA,C19201_004EA,C19201_005MA,C19201_005EA,C19201_006MA,C19201_006EA,C19201_007MA,C19201_007EA,C19201_008MA,C19201_008EA,C19201_009EA,C19201_009MA,C19201_010MA,C19201_010EA,C19201_011EA,C19201_011MA,state
0400000US01,599871,11825,113724,4916,78740,4494,112864,4735,81754,5067,84210,4226,73398,4408,27599,2431,18507,2524,4135,1052,4940,1396,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,80584,3744,5539,1110,6675,1062,11446,1616,8080,1382,12312,1825,17156,2013,8077,1220,7731,1358,2163,659,1405,587,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,828499,11938,114908,4831,78119,5319,143415,6338,110704,5639,129721,6106,123279,5922,58089,4052,47348,3464,11985,1555,10931,1373,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,374775,8769,69945,4612,53400,3540,75541,3986,53602,4203,51930,4025,44470,3796,12259,1748,8078,1704,2842,867,2708,714,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4004622,27783,468935,10527,394397,9908,529721,10586,418223,10859,510082,11026,642147,11991,384643,9548,368332,9324,136593,7568,151549,7056,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,722859,10884,82249,4635,56240,4092,107621,4788,96704,4734,115672,5114,118789,4561,63158,3798,51938,3482,16263,1954,14225,1955,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,449567,8875,52271,3433,36527,3060,72585,3770,49075,3968,63378,4190,77210,4190,43388,3105,34009,2379,10463,1582,10661,1454,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,110707,4007,13244,1646,9508,1593,15917,1680,14511,1894,20761,2267,17974,1928,9232,1298,5582,1040,2483,841,1495,532,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,151184,4516,19638,2112,7472,1493,11248,1931,8778,1348,15078,1884,24202,2713,17984,2175,25583,2225,11379,1775,9822,1264,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2585196,26111,382070,10266,267345,9241,466102,11020,354662,8846,397375,10926,365117,9829,156722,7877,118290,4853,35610,3249,41903,2730,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1157162,14852,188898,6952,119874,5463,189775,6240,148882,6042,174898,7900,166519,6076,78581,4671,58413,4604,16883,2073,14439,1987,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,138917,4576,17254,2105,9893,1419,19872,2663,15482,1650,18022,2051,26240,2765,13183,1663,12065,1504,4044,1032,2862,628,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,178428,6386,29026,2910,21888,2485,32709,3020,28868,2999,27313,2698,21969,2887,8973,1779,5300,1227,1309,525,1073,620,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1655052,16321,242654,6479,146501,5424,262190,6513,209054,6713,234066,7682,258840,7702,132067,5270,105178,5916,29889,2964,34613,2528,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,850454,10768,122031,4412,89875,4694,166052,5878,133735,4665,134993,5551,113467,5533,47723,3532,30975,2894,4634,1170,6969,1429,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,442460,7146,57291,3813,46481,2988,82064,3671,69014,3793,74382,4026,61661,3613,26476,2402,16321,1791,4016,878,4754,971,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
