GEO_ID,B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,NAME,B19001I_001EA,B19001I_001MA,B19001I_002MA,B19001I_002EA,B19001I_003EA,B19001I_003MA,B19001I_004MA,B19001I_004EA,B19001I_005EA,B19001I_005MA,B19001I_006EA,B19001I_006MA,B19001I_007MA,B19001I_007EA,B19001I_008MA,B19001I_008EA,B19001I_009MA,B19001I_009EA,B19001I_010MA,B19001I_010EA,B19001I_011EA,B19001I_011MA,B19001I_012EA,B19001I_012MA,B19001I_013EA,B19001I_013MA,B19001I_014EA,B19001I_014MA,B19001I_015EA,B19001I_015MA,B19001I_016EA,B19001I_016MA,B19001I_017EA,B19001I_017MA,state
0400000US01,46806,2950,4369,1176,2317,652,4282,1279,5990,1452,3210,1003,3402,1232,2272,841,2612,912,2644,1125,3867,1188,3536,1013,3411,1134,2701,1094,855,493,626,388,712,393,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12988,1351,671,386,410,321,384,272,613,483,281,239,558,326,1151,634,553,589,732,554,1116,681,1077,513,2051,700,985,494,1055,470,936,537,415,296,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,525492,7810,53497,3701,38176,3775,39298,3305,42796,3689,37088,3512,35758,3473,31170,3214,32550,2991,25728,2802,45887,3154,46996,3771,47195,3186,24199,2291,11393,1671,8623,1545,5138,1306,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,46844,2466,3870,1173,4237,1200,4905,1387,4327,971,4773,1208,4251,1069,2258,845,3493,1213,2730,1068,3872,1118,3473,1119,2736,770,638,404,506,338,414,327,361,320,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3550701,15675,222934,7143,209163,7317,229131,8422,237275,7940,226748,7939,226891,8750,200431,7700,192360,7839,172659,6962,310383,9031,371625,11734,402611,9983,227790,7396,127006,5527,110538,4854,83156,4665,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,309147,5712,26205,2724,17700,1963,20410,2601,24529,2889,23102,2557,22388,2614,17945,2213,16639,1790,12891,2022,23912,2263,34027,3299,31519,3406,19167,2479,7892,1687,8055,1519,2766,607,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,151383,3602,18125,2120,13020,2102,10831,1801,12557,2044,6968,1330,10364,1905,7883,1587,7320,1579,5739,1224,11251,1778,12092,1720,14706,1987,8405,1460,4329,1189,3787,1130,4006,1132,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20944,1454,2721,1027,695,417,1646,779,1454,689,1608,942,1538,694,1525,587,335,263,1004,541,1879,718,1828,685,2218,723,1040,420,467,375,807,489,179,177,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22883,1594,1986,771,992,693,783,564,1294,552,1344,742,1765,655,700,481,1258,699,1035,718,1789,782,1725,762,2282,872,1567,726,1173,776,1201,559,1989,770,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1358121,13334,134905,7269,95849,5200,92527,5313,95397,4646,83594,5188,91279,5514,77517,5374,80889,6069,58239,3918,112396,5591,127554,6213,124397,7425,78578,5720,35131,3583,33031,2472,36838,3137,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,223407,5507,14514,2327,11452,2278,17642,2745,22656,3394,17397,3009,21004,3042,15970,2555,14348,2580,11477,2020,18672,2763,19978,2672,17453,2785,8208,1957,4417,1034,4401,1200,3818,1114,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,31263,2269,1945,787,792,417,1161,456,2363,957,1193,520,2116,731,935,475,1417,507,1377,538,2388,774,4197,1083,4105,1141,2725,810,1615,525,1868,663,1066,416,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,46664,2148,4435,1053,1420,620,3387,1009,2663,841,3840,882,4395,1133,3341,898,3349,910,2865,813,3996,885,5359,1240,4679,975,1492,801,456,333,580,407,407,311,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,528916,7408,34375,3348,24139,2779,32250,3105,35472,3566,37479,3184,35906,2761,34063,2879,30339,2687,25994,2428,42905,3628,57198,4178,63153,4171,33675,2536,16753,2164,15025,2161,10190,1788,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,109946,3536,11838,1890,8600,1772,9388,1779,8922,1687,8174,1728,8059,1398,5373,1252,5173,1312,7126,1530,7850,1398,10163,1660,9954,1715,4264,947,2147,802,1586,658,1329,646,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,43041,2544,3668,982,1915,637,1728,705,4595,1227,3305,954,3965,1053,2820,862,1572,626,2275,742,3608,922,3727,1010,4703,1221,2978,1042,1498,587,263,205,421,296,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,86634,2478,7144,1350,5468,1401,5607,1472,7852,1327,6865,1321,5423,1093,5040,1014,7938,1409,3741,1082,7562,1450,8637,1342,7150,1255,4526,1075,1300,456,1447,620,934,444,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,34227,2170,2821,801,3155,1043,3125,1093,1773,689,2818,909,3276,968,1872,796,1504,590,1828,816,2511,734,3179,815,2803,692,1539,647,646,355,700,361,677,428,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,62114,2435,6285,1404,4244,1131,3818,1028,3450,871,3570,1212,3171,932,3424,1049,2556,776,2559,908,4569,1168,6367,1421,8036,1368,4436,1226,2053,745,1662,537,1914,589,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5155,1099,273,257,329,194,369,339,522,393,525,478,195,242,314,221,245,207,43,63,862,605,369,372,443,396,233,210,64,57,247,405,122,150,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,136086,4021,5866,1507,3668,1126,3258,1018,5541,1477,5416,1495,6722,1428,7870,1593,5934,1406,6333,1446,13796,1823,16773,1989,20931,2007,11847,1624,8373,1447,7131,1301,6627,1159,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,208446,4400,29985,2860,19703,2038,16494,2284,15374,1997,11185,1901,11240,1779,10327,1977,8201,1521,8653,1798,12291,1825,16326,2090,20479,2552,11731,1971,6125,1179,5601,1193,4731,1155,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
