C07408_006M,C07408_007E,C07408_007M,C07408_008E,C07408_008M,C07408_009E,C07408_009M,C07408_010E,C07408_010M,C07408_011E,C07408_011M,C07408_012E,C07408_012M,C07408_013E,C07408_013M,C07408_014E,C07408_014M,C07408_015E,C07408_015M,C07408_016E,C07408_016M,C07408_017E,C07408_017M,C07408_018E,C07408_018M,C07408_019E,C07408_019M,C07408_020E,C07408_020M,C07408_021E,C07408_021M,C07408_022E,C07408_022M,C07408_023E,C07408_023M,C07408_024E,C07408_024M,C07408_025E,C07408_025M,GEO_ID,C07408_001E,C07408_001M,C07408_002E,C07408_002M,C07408_003E,C07408_003M,C07408_004E,C07408_004M,C07408_005E,C07408_005M,C07408_006E,C07408_006MA,C07408_007EA,C07408_007MA,C07408_008MA,C07408_008EA,C07408_009EA,C07408_009MA,C07408_010MA,C07408_010EA,C07408_011MA,C07408_011EA,C07408_012EA,C07408_012MA,C07408_013MA,C07408_013EA,C07408_014MA,C07408_014EA,C07408_015EA,C07408_015MA,C07408_016MA,C07408_016EA,C07408_017MA,C07408_017EA,C07408_018MA,C07408_018EA,C07408_019MA,C07408_019EA,C07408_020MA,C07408_020EA,C07408_021MA,C07408_021EA,C07408_022MA,C07408_022EA,C07408_023MA,C07408_023EA,C07408_024EA,C07408_024MA,C07408_025MA,C07408_025EA,NAME,C07408_001EA,C07408_001MA,C07408_002EA,C07408_002MA,C07408_003EA,C07408_003MA,C07408_004MA,C07408_004EA,C07408_005EA,C07408_005MA,C07408_006EA,state
15226,935348,15241,1662362,23589,482263,13838,264570,7390,336568,12022,145470,7781,109938,7050,67038,4220,14122,2090,129285,6340,59964,3735,37397,4157,26900,2543,5024,1102,81317,5586,35080,3899,30120,3508,13334,2128,2783,1054,0400000US01,3891713,9788,1175862,14049,1839817,25996,589535,15412,286499,8131,3344543,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,01
6890,150176,6544,239743,7911,57839,3626,19848,1971,60275,5420,28732,3593,21996,2897,8440,1402,1107,507,14876,2375,8676,1708,3734,938,2139,624,327,193,79129,6844,34787,3937,29459,4471,12154,2235,2729,1025,0400000US02,621886,7782,222371,7790,294932,9204,80572,4565,24011,2285,467606,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,02
21408,1301060,17864,2148986,21500,599839,12518,257148,6884,629402,17308,293103,9409,201850,12067,114871,5979,19578,2654,103995,6847,52289,4105,30791,3705,17878,2931,3037,809,150754,7387,64632,4415,53832,4579,25285,2964,7005,1365,0400000US04,5191184,12258,1711084,15619,2435459,25058,757873,13528,286768,6983,4307033,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,04
11951,518819,11625,1059838,15573,300192,9590,143354,5415,198125,9876,80426,5889,66684,5872,41899,3607,9116,1677,82184,5861,33620,3171,27104,3218,17572,2290,3888,989,62717,5399,23964,3001,27016,3824,8833,1352,2904,783,0400000US05,2365229,7788,656829,11759,1180642,17635,368496,10548,159262,5969,2022203,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,05
44628,9082476,39038,12598510,56072,3064229,29821,1400030,17688,2999460,40959,1422573,24137,1038815,26182,439065,12732,99007,5537,921694,19303,488167,13043,280566,10151,126487,5390,26474,3017,491082,14796,236986,8758,176350,9536,62281,5010,15465,2094,0400000US06,30557481,23162,11230202,43695,14094241,59549,3692062,31722,1540976,18314,26145245,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,06
18519,926540,16830,1845083,20881,455554,12098,166385,4884,412540,16862,194166,9501,140451,9475,65844,5759,12079,2016,217346,9218,112742,5897,62640,6190,35094,3258,6870,1525,140067,7425,64536,4116,50183,5018,22039,3148,3309,863,0400000US08,4163515,11495,1297984,15266,2098357,23097,578531,15191,188643,5600,3393562,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,08
11128,826402,13824,1296918,16907,309784,10349,164147,5224,203771,8626,96152,6036,67058,6120,31939,3090,8622,1259,62729,4120,38960,3390,13653,2168,7923,1607,2193,1104,80664,6252,44064,3948,26122,3895,7784,1759,2694,727,0400000US09,2944415,8472,1005578,13400,1403751,17944,357430,11366,177656,5098,2597251,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,09
6264,200286,6448,325511,8429,86871,5089,40914,2293,57232,4458,30340,3185,16389,2804,8414,1530,2089,643,8110,1711,4133,1163,1909,730,1687,654,381,214,20602,2952,11786,2043,5516,1285,2850,963,450,307,0400000US10,739526,4817,246545,6146,349325,8512,99822,5758,43834,2320,653582,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,10
5081,225582,7020,129692,6146,58076,3927,21828,2247,60788,4582,42403,3907,10941,2065,6008,1255,1436,536,0,203,0,203,0,203,0,203,0,203,51973,4216,32288,3366,13450,2215,4816,1311,1419,615,0400000US11,547939,5533,300273,7117,154083,6731,68900,4257,24683,2491,435178,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,11
41511,4000680,33075,6561638,50775,2066812,31542,1027906,15896,1466173,27902,643804,17243,469387,18061,284222,11655,68760,5369,505900,17517,252604,12123,145957,9793,86450,6436,20889,3020,358830,13180,150256,7324,137643,8002,49699,3767,21232,2315,0400000US12,15987939,21468,5047344,32105,7314625,52690,2487183,36181,1138787,17233,13657036,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,12
