GEO_ID,B12502_001E,B12502_001M,B12502_002E,B12502_002M,B12502_003E,B12502_003M,B12502_004E,B12502_004M,B12502_005E,B12502_005M,B12502_006E,B12502_006M,B12502_007E,B12502_007M,B12502_008E,B12502_008M,B12502_009E,B12502_009M,B12502_010E,B12502_010M,B12502_011E,B12502_011M,NAME,B12502_001MA,B12502_001EA,B12502_002MA,B12502_002EA,B12502_003EA,B12502_003MA,B12502_004MA,B12502_004EA,B12502_005EA,B12502_005MA,B12502_006MA,B12502_006EA,B12502_007MA,B12502_007EA,B12502_008EA,B12502_008MA,B12502_009MA,B12502_009EA,B12502_010EA,B12502_010MA,B12502_011EA,B12502_011MA,state
0400000US01,3910998,3826,1870698,4613,624137,9820,1246561,9266,7864,1473,1238697,9784,2040300,3552,560067,8673,1480233,8311,21005,1982,1459228,8129,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,576379,1408,304721,1723,119349,4154,185372,4292,372,272,185000,4337,271658,1627,82025,3144,189633,2979,1450,564,188183,3157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5281089,1395,2609804,1840,952891,10839,1656913,10621,8876,1431,1648037,10641,2671285,1773,788288,9927,1882997,9707,20350,2301,1862647,9861,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2363879,3205,1151058,3436,357959,7844,793099,7560,4774,953,788325,7729,1212821,3585,298052,7092,914769,6872,11183,1431,903586,6902,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30732852,3548,15182718,4293,6144649,26080,9038069,24815,40853,2656,8997216,25472,15550134,4157,5158797,23383,10391337,24079,104223,4467,10287114,24278,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4224677,3383,2110584,2715,744052,10278,1366532,10191,7053,1188,1359479,10189,2114093,3401,582322,8282,1531771,8576,11981,1505,1519790,8493,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2955331,1273,1426766,2000,533616,7587,893150,7661,4738,973,888412,7726,1528565,1350,472375,7475,1056190,7455,10848,1670,1045342,7691,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,754812,623,361111,1047,130211,3699,230900,3728,1018,401,229882,3694,393701,1004,122516,3652,271185,3795,2834,920,268351,4003,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,550110,307,257524,580,145319,3821,112205,3696,887,502,111318,3652,292586,512,162736,3530,129850,3637,1147,483,128703,3625,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16226496,3939,7863088,4676,2762490,19078,5100598,19043,31786,2747,5068812,18945,8363408,4668,2335383,21626,6028025,22132,72563,3977,5955462,22632,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7916383,5465,3819234,6029,1410404,14484,2408830,14664,12149,1403,2396681,14919,4097149,5196,1273085,13197,2824064,12759,29062,2748,2795002,13208,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1145298,580,576976,1172,216508,5677,360468,5771,1871,659,358597,5801,568322,1329,164423,5309,403899,4856,5083,1072,398816,4905,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1255359,1802,626569,2254,186505,5265,440064,5014,1584,550,438480,5043,628790,2074,140221,4368,488569,4592,4330,862,484239,4440,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10384284,2817,5049119,4117,1923606,17663,3125513,17496,16970,1852,3108543,17909,5335165,3542,1698611,15076,3636554,14050,38242,3158,3598312,14250,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5251594,2933,2552856,4027,842743,10353,1710113,10602,11426,1384,1698687,10799,2698738,3803,743422,10102,1955316,10025,21488,2186,1933828,10232,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2491492,2866,1221528,2870,398062,5415,823466,5258,5040,957,818426,5400,1269964,3150,328721,6607,941243,6393,11759,1326,929484,6696,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
